id,created_at,total engagement Jan 2021,status as of Jan 2021,summarised status as of Jan 2021,status as of Jan 2022,status as of Dec 2023
1243275747382431747,2020-03-26,1161,This Tweet is from a suspended account,This Tweet is from a suspended account,Online,Online
1243275667191533577,2020-03-26,1966,This Tweet is from a suspended account,This Tweet is from a suspended account,Online,Online
1242864760040968192,2020-03-25,3981,Online,Online,Online,This Tweet is from a suspended account
1242864764084248576,2020-03-25,21110,Online,Online,Online,Online
1242864764084248576,2020-03-25,21110,Online,Online,Online,Online
1242864764084248576,2020-03-25,21110,Online,Online,Online,Online
1242864785080766464,2020-03-25,16,Online,Online,Online,Online
1242864818761195526,2020-03-25,2036,Online,Online,Online,Online
1242864844304453634,2020-03-25,0,Online,Online,Online,Online
1242864860267835394,2020-03-25,670,Online,Online,Online,Online
1242864860267835394,2020-03-25,670,Online,Online,Online,Online
1242864863858360323,2020-03-25,37,Online,Online,Online,Online
1242864965423431680,2020-03-25,17168,Online,Online,Online,Online
1242864965545070592,2020-03-25,21151,Online,Online,Online,Online
1242864974294376454,2020-03-25,46552,Online,Online,Online,Online
1242877388393938945,2020-03-25,8147,Online,Online,Online,Online
1242877401983524869,2020-03-25,5705,Online,Online,Online,Online
1242877414289494016,2020-03-25,5165,Online,Online,Online,Online
1242877430756331520,2020-03-25,285,Online,Online,Online,Online
1242877452126490625,2020-03-25,4,Online,Online,Online,Online
1242877488956608512,2020-03-25,6876,Online,Online,Online,This Tweet is from a suspended account
1242877488956608512,2020-03-25,6876,Online,Online,Online,This Tweet is from a suspended account
1242877494144966656,2020-03-25,37647,Online,Online,Online,This Tweet is from a suspended account
1242877523253395462,2020-03-25,63833,Online,Online,Online,Online
1242877573291479043,2020-03-25,6190,Online,Online,Online,Online
1242877586411307013,2020-03-25,4456,Online,Online,Online,Online
1242877615301636096,2020-03-25,1613,Online,Online,Online,Online
1242877627800657927,2020-03-25,33,Online,Online,Online,Online
1242904274671210496,2020-03-25,7036,Online,Online,Online,Online
1242904274671210496,2020-03-25,7036,Online,Online,Online,Online
1242904274826227712,2020-03-25,5394,Online,Online,Online,Online
1242904299723788290,2020-03-25,96,Online,Online,Online,Online
1242904299723788290,2020-03-25,96,Online,Online,Online,Online
1242904320275877905,2020-03-25,78,Online,Online,Online,Online
1242904321907441666,2020-03-25,0,Online,Online,Online,Online
1242904354471936001,2020-03-25,6364,Online,Online,Online,Online
1242904375359467520,2020-03-25,237309,Online,Online,Online,Online
1242904379360935943,2020-03-25,2828,Online,Online,Online,You’re unable to view this Tweet because this account owner limits who can view their Tweets
1242904379360935943,2020-03-25,2828,Online,Online,Online,You’re unable to view this Tweet because this account owner limits who can view their Tweets
1242904379360935943,2020-03-25,2828,Online,Online,Online,You’re unable to view this Tweet because this account owner limits who can view their Tweets
1242904421585113089,2020-03-25,27284,Online,Online,Online,This Tweet is from a suspended account
1242904426118955008,2020-03-25,11097,Online,Online,Online,Online
1242904446918692867,2020-03-25,27000,Online,Online,Online,Online
1242904446918692867,2020-03-25,27000,Online,Online,Online,Online
1242904450865532928,2020-03-25,295,Online,Online,Online,Online
1242904450865532928,2020-03-25,295,Online,Online,Online,Online
1242904450882289665,2020-03-25,18517,Online,Online,Online,Online
1242904471459336199,2020-03-25,26019,Online,Online,Online,Online
1242959673533358082,2020-03-25,75050,Online,Online,Online,Online
1242959681477177345,2020-03-25,941,Online,Online,Online,You’re unable to view this Tweet because this account owner limits who can view their Tweets
1242959685268856833,2020-03-25,11082,Online,Online,Online,Online
1242959685268856833,2020-03-25,11082,Online,Online,Online,Online
1242959717770674176,2020-03-25,5748,Online,Online,Online,Online
1242959731809009665,2020-03-25,19420,Online,Online,Online,Online
1242959752960720896,2020-03-25,15823,Online,Online,Online,Online
