Specific,Summarised,Comment
ask someone to remove the offending Tweet,Ask to remove content,
ask to remove,Ask to remove content,
we will require you to remove this content,Ask to remove content,
we will require you to remove the content,Ask to remove content,
block the user and end any communication,Block and ignore,
anti-spam challenge,Captcha,
reCAPTCHA,Captcha,
disable Spaces,Close Spaces and disable Spaces feature,
we urge you to call 911,Contact authorities,
Contact local law enforcement or legal representation,Contact authorities,
you should file a report with the National Center for Missing and Exploited Children,Contact authorities,
your local law enforcement,Contact authorities,
you can report it here on the International Association of Internet Hotlines website,Contact authorities,
Law Enforcement Agencies,Contact authorities,
please contact your local law enforcement authority,Contact authorities,
"If you believe the content or behavior you are reporting is prohibited in your local jurisdiction, please contact your local authorities",Contact authorities if you think it violates your local jurisdiction,
place it behind a notice that provides context about the violation and allows people to click through should they wish to see the content,Context,
link to additional explanations,Context,
Denylisting URLs,Denylisting URLs,
blacklist,Denylisting URLs,
investigated for abuse,Investigate for abuse,
investigate for abuse,Investigate for abuse,
label,Label,
labeling,Label,
Apply a label and/or warning message,Label,
Show a warning to people,Label,
Turn off people’s ability to reply,Label,
interstitial,Label,
warning,Label,
#KnowTheFacts,Label,
Temporarily lock user of account,Lock account,
temporarily lock you out of your account,Lock account,
may be temporarily locked,Lock account,
temporary account locks,Lock account,
your account may be locked,Lock account,
temporarily lock them out,Lock account,
temporarily lock your account,Lock account,
temporarily locking account,Lock account,
exception,Make exception,
violators will be prohibited from creating any new accounts in the future,No future accounts,
permanent suspension,Permanent suspension,
permanent account suspension,Permanent suspension,
permanently suspended,Permanent suspension,
we may require you to edit the content on your profile,Profile modification,
reach out,Reach out,
Reach out to the people you trust,Reach out,
reduce the visibility,Reduce visibility,
Making Tweets and Retweets from those accounts ineligible,Reduce visibility,
amplification limitations,Reduce visibility,
disable the ability for others to Retweet,Reduce visibility,
Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Reduce visibility,
Making Tweets ineligible for amplification,Reduce visibility,
Limiting the visibility of Tweets,Reduce visibility,
Preventing the recommendation of Tweets,Reduce visibility,
Preventing trends from appearing,Reduce visibility,
limiting impressions,Reduce visibility,
Displaying Replies from the account in a lower position in conversations,Reduce visibility,
Excluding Tweets by the account itself in email or in-product recommendations,Reduce visibility,
prevent it from being recommended,Reduce visibility,
"Turn off likes, replies, and Retweets",Reduce visibility,
Accounts under investigation may be removed from Search for quality,Reduce visibility,
Excluding Tweets or accounts in email or in-product recommendations,Reduce visibility,
Downranking Tweets,Reduce visibility,
Ask to remove content,Removal,
ask someone to delete the violating content,Removal,
Tweet deletion,Removal,
Tweet removal,Removal,
Requiring the removal of specific Tweets which violate the Twitter Rules,Removal,
Remove imagery,Removal,
Remove content,Removal,
Remove,Removal,
remove the content,Removal,
remove content containing manifestos,Removal,
remove the imagery,Removal,
remove this content,Removal,
we’ll require you to remove it under our abusive behavior policy,Removal,
remove the offending content,Removal,
remove the violating Tweet,Removal,
remove the symbol,Removal,
report,Report,
read-only periods,Serve a period of time in read-only mode,
read-only mode,Serve a period of time in read-only mode,
strike,Strike,
Suspending accounts,Suspension,
Suspension of accounts,Suspension,
may be suspended,Suspension,
we may suspend an account,Suspension,
suspend any account,Suspension,
We may suspend any account,Suspension,
temporarily suspend your account,Temporary suspension,
temporarily suspended,Temporary suspension,
Temporary account suspension,Temporary suspension,
termination,Termination,
consequences for violating our rules vary,Varies depending on severity,
consequences for violating this policy depend,Varies depending on severity,
Twitter does not screen content and does not remove potentially offensive content unless such content is in violation of the Twitter Rules and Terms of Service,Won't suspend except,
immediate and permanent suspension,Zero tolerance,
immediately and permanently suspend,Zero tolerance,
we will permanently suspend the account on first violation,Zero tolerance,
Zero tolerance,Zero tolerance,
zero-tolerance,Zero tolerance,
We do not tolerate,Zero tolerance,"Can be noisy. Hateful conduct in 2017 mentions ""we do not tolerate"" but measures are lax. "
permanent suspension at first detection,Zero tolerance,
permanently suspended at first detection,Zero tolerance,
we may require the deletion,Ask to remove content,
permanently suspend accounts for repeated violations,Permanent suspension,
label and/or warning,Label,
require you to edit the content on your profile,Profile modification,
Temporary Suspension,Temporary suspension,
temporarily suspend,Temporary suspension,
we may permanently suspend your account,Permanent suspension,
required to remove the imagery,Ask to remove content,
required to delete the violating tweet,Ask to remove content,
depend on the severity of the violation,Varies depending on severity,
requiring you to delete prohibited content,Ask to remove content,
temporarily limiting your ability to create posts,Lock account,
asking you to verify account ownership,Verification,
permanently suspending your account,Permanent suspension,
we may sometimes require you to remove media,Ask to remove content,
may be permitted in Tweets when they are marked as sensitive media,Mark as sensitive media,
