Policy name,abbreaviated technique,Type,Earliest,Latest
Twitter Rules,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Violent threats,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Twitter Rules,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Child exploitation,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Impersonation,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Impersonation,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Twitter Rules,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Media policy,Label,Label,2011-07-28 23:45:05,2022-12-12 20:53:31
Media policy,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Child exploitation,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Abusive behavior,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Username squatting,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Twitter Rules,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Terms of service,Removal,Deplatforming,2006-11-09 07:37:01,2022-12-14 17:18:31
Abusive behavior,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Election integrity,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Media policy,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Abusive behavior,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Plaform manipulation,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Violent threats,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Sexual exploitation,Lock account,Suspension,2016-01-12 22:28:58,2022-12-13 11:42:48
Terms of service,Report,User-led moderation,2010-06-01 00:05:59,2022-12-14 17:18:31
Election integrity,Label,Label,2011-07-28 23:45:05,2022-12-12 20:53:31
Violent threats,Label,Label,2011-07-28 23:45:05,2022-12-12 20:53:31
Manipulated media,Label,Label,2011-07-28 23:45:05,2022-12-12 20:53:31
Abusive behavior,Label,Label,2011-07-28 23:45:05,2022-12-12 20:53:31
Violent threats,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Child exploitation,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Plaform manipulation,Denylisting URLs,Disconnection,2019-06-06 18:44:48,2022-12-13 11:42:48
Abusive behavior,Zero-tolerance,Deplatforming,2017-11-04 02:14:34,2022-12-12 19:12:26
Hateful conduct,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Sexual exploitation,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Media policy,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Violent groups (terrorism),Zero-tolerance,Deplatforming,2017-11-04 02:14:34,2022-12-12 19:12:26
Abusive behavior,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Election integrity,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Violent threats,Serve a period of time in read-only mode,Suspension,2018-01-05 21:38:07,2022-12-12 17:40:15
Election integrity,Strike,Suspension,2021-01-08 23:48:31,2022-12-12 09:47:43
Violent groups (terrorism),Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Abusive behavior,Serve a period of time in read-only mode,Suspension,2018-01-05 21:38:07,2022-12-12 17:40:15
Media policy,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Plaform manipulation,Suspension,Suspension,2010-07-23 01:31:49,2022-12-13 11:42:48
Violent threats,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Intimate media,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
Hateful conduct,Serve a period of time in read-only mode,Suspension,2018-01-05 21:38:07,2022-12-12 17:40:15
Sexual exploitation,Permanent suspension,Deplatforming,2010-07-23 01:31:49,2022-12-13 11:42:48
