ID,Date of capture,Type (contemporary name),Branch 0 (pre-section),Branch 1 (section),Branch 2 (title),Branch 3 (specifics 1),Branch 4 (specifics 2),Branch 5 (specifics 3),Technique 1,Technique 2,Technique 3,Technique 4,Technique 5
503,2007-03-01,Abusive behavior,Terms of Service,Terms of Service,Terms of Service,Basic Terms,You may not use the Twitter.com service for any illegal or unauthorized purpose. International users agree to comply with all local laws regarding online conduct and acceptable content.,,Termination of your Twitter.com account,,,,
504,2007-03-01,Platform manipulation and spam,Terms of Service,Terms of Service,Terms of Service,Basic Terms,"You must not modify, adapt or hack Twitter.com or modify another website so as to falsely imply that it is associated with Twitter.com .",,Termination of your Twitter.com account,,,,
506,2007-03-01,Platform manipulation and spam,Terms of Service,Terms of Service,Terms of Service,Basic Terms,You must not transmit any worms or viruses or any code of a destructive nature.,,Termination of your Twitter.com account,,,,
505,2007-03-01,Platform manipulation and spam,Terms of Service,Terms of Service,Terms of Service,Basic Terms,"You must not create or submit unwanted email to any Twitter members (""Spam"").",,Termination of your Twitter.com account,,,,
502,2007-12-12,Abusive behavior,Terms of Service,Terms of Service,Terms of Service,Basic Terms,"You must not abuse, harass, threaten, impersonate or intimidate other Twitter users",,Termination of your Twitter.com account,,,,
1,2010-05-29,Misleading and deceptive identities,Help Center,Report a violation,The Twitter Rules,Impersonation,"Impersonating others through the Twitter service in a manner that does or is intended to mislead, confuse, or deceive others",,Investigate for abuse,Suspension,Permanent suspension,,
267,2010-05-29,Misleading and deceptive identities,Help Center,Report a violation,The Twitter Rules,Impersonation,"Impersonating others through the Twitter service in a manner that does or is intended to mislead, confuse, or deceive others",,Investigate for abuse,Suspension,Permanent suspension,,
7,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Invitation spam,"Using Twitter.com's address book contact import to send repeat, mass invitations",Investigate for abuse,Suspension,,,
9,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Malware/phishing,Publishing or linking to malicious content intended to damage or disrupt another user's browser or computer or to compromise a user's privacy,Investigate for abuse,Suspension,,,
10,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Following a large amount of users in a short amount of time,Investigate for abuse,Suspension,,,
