id;wayback url;url;name;date;title_then;subtitle_then;wayback id;name_today;section;word_count;words_added;words_removed;word_diff_absolute;word_diff_relative
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20230920201641id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20230920201641id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-09-20;About X limits;Why have limits?;20230920201641;About X limits;Safety and cybercrime;903;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20230930031237id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20230930031237id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-09-30;About X limits;Why have limits?;20230930031237;About X limits;Safety and cybercrime;903;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231001104257id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231001104257id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-10-01;About X limits;Why have limits?;20231001104257;About X limits;Safety and cybercrime;903;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231013165118id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.html.md;wayback.archive.org/web/20231013165118id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits.html;2023-10-13;About X limits;Why have limits?;20231013165118;About X limits;Safety and cybercrime;862;11;51;62;0.06866002214839424
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231021172908id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231021172908id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-10-21;About X limits;Why have limits?;20231021172908;About X limits;Safety and cybercrime;863;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231030012446id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231030012446id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-10-30;About X limits;Why have limits?;20231030012446;About X limits;Safety and cybercrime;863;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231103193530id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.html.md;wayback.archive.org/web/20231103193530id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits.html;2023-11-03;About X limits;Why have limits?;20231103193530;About X limits;Safety and cybercrime;862;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231113021520id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231113021520id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-11-13;About X limits;Why have limits?;20231113021520;About X limits;Safety and cybercrime;863;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231120035259id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231120035259id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-11-20;About X limits;Why have limits?;20231120035259;About X limits;Safety and cybercrime;863;0;0;0;0.0
/Users/edekeulenaar/Projects/PhDs/PhD 2020-2025/Publications 📇/AUP Twitter to X/wayback_downloads_html_v2/wayback.archive.org/web/20231202031223id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits.md;wayback.archive.org/web/20231202031223id_/https%3A/help.twitter.com/en/rules-and-policies/x-limits;https://help.twitter.com/en/rules-and-policies/x-limits;x-limits;2023-12-02;About X limits;Why have limits?;20231202031223;About X limits;Safety and cybercrime;863;0;0;0;0.0
