rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;0ca6d7cdfead9871;eb27d253723c2e85;6bcacec1880450ad;2024-09-11T18:01:32.000Z;"Campagne tegen pesten. Goed idee, maar plots allen blanken, geen allochtoon te zien terwijl er geen programma, artikel, reclame,… is zonder de allochtonen.

Cynisch … wetende hoe vaak “jongeren” (u weet wel !) in het nieuws komen omdat ze anderen pesten of in elkaar slaan.";98;351;1,3K;20K;allochtoon;2024-09-29 11_35_52.904207;0.158676251769066;0.004945298656821;0.004266735166311;0.000951247871853;0.000406846840633;0.353551506996155;0.001357851899229;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;f08e4f0eeb0e7d6f;eb27d253723c2e85;6bcacec1880450ad;2024-09-09T17:26:01.000Z;Wegens politieke correctheid hebben de media moeite om de waarheid te zeggen. Nergens allochtoon (wat nochtans geen detail is) en steeds “jongeren”. Volgens Van Dale is een jongere tussen 15-20 jaar. Twee daders zijn 21 en 22. Dus VOLWASSEN ALLOCHTONEN !!;43;269;1,3K;54K;allochtoon;2024-09-29 11_35_52.904207;0.475131541490555;0.000189718150068;0.000668829190545;0.001529043540359;0.000758137786761;0.263309210538864;0.000411117478507;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;1eabd4ae314f8020;61a6a4f3ae32e721;1e7b262e4b72ab09;2024-09-25T07:35:23.000Z;"Als allochtoon mag je mensen als Marysia niet tegenspreken, want dan ""wil je erbij horen"" en ben je ""racistisch aan het doen"". De ironie....";56;34;459;14K;allochtoon;2024-09-29 11_35_52.904207;0.025456417351961;0.000004265848020;0.000077121243521;0.000026873181923;0.000014771176211;0.002464085118845;0.000003066653562;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
4;ea87d8f3436e8ad5;685feec7c9147dff;b9b335928b68be38;2024-09-12T11:34:28.000Z;Noem hem zeker geen ‘allochtoon’ en nee de gevangenissen zitten niet vol ‘allochtonen’;;;3;101;allochtoon;2024-09-29 11_35_52.904207;0.276233583688736;0.000938141543884;0.000113080088340;0.000007354040463;0.000002247882094;0.016560738906264;0.000251126679359;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
5;bc1b3451b31161df;02dbe28a702a72bc;b5d4a211d35b0edd;2024-09-12T06:37:19.000Z;"Een Noor of een derde wereld allochtoon (van mohammedaanse/afrikaanse snit) met een Noors paspoort?

De vraag stellen, is de vraag beantwoorden.....";2;4;14;176;allochtoon;2024-09-29 11_35_52.904207;0.038036905229092;0.000017297810700;0.000120952230645;0.000036731620639;0.000017845613911;0.002655072603375;0.000269551615929;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;2b4981c0c873d33d;2658f96e60fa5608;a58d71e210cab070;2024-09-26T11:38:57.000Z;Als #Omvolking niet zou bestaan, hoe verklaart men dan de enorme groei van het aantal inwoners van ons al jaren overbevolkte landje, terwijl onder de autochtone vergrijzende bevolking minder kinderen geboren worden? Zelfs vier jaar geleden was rotterdam al voornamelijk allochtoon;3;2;6;403;allochtoon;2024-09-29 11_35_52.904207;0.363436102867126;0.000164366996614;0.000469368969789;0.000027874777516;0.000016115556718;0.008402847684920;0.000251029967330;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;150f5b72c79dba12;6a8b8278e8378514;79d3fc5abea505d4;2024-09-20T07:13:32.000Z;Wat moet je doen om allochtoon te worden?;14;8;74;3,5K;allochtoon;2024-09-29 11_35_52.904207;0.432176858186722;0.000608591653872;0.001528003602289;0.000014935958461;0.000043655993068;0.006310793571174;0.000087018619524;5. Is neutral.
8;377b00a49c254e5a;ea4e1385e46382ba;01563f53b3829f9e;2024-09-15T10:58:31.000Z;Verlinden blijft in de #7dag rond de pot draaien. Een hufter is een hufter, allochtoon of autochtoon. De Vlaming houdt niet van wereldvreemde, voor electoraal bestemde, politiek correcte uitspraken.;2;3;18;582;allochtoon;2024-09-29 11_35_52.904207;0.263755321502685;0.000024105871489;0.000103077632957;0.000008737591088;0.000022562027880;0.024928806349635;0.000035325952922;5. Is neutral.
9;4bcc16493a34e887;b8d370cec0e76827;6eca6f528cb92b33;2024-09-23T20:26:39.000Z;"Dit allochtoon krapuul schopte een 14-jarige in Herk enkele tanden uit, takelde zijn neus en oogkas toe en brak zijn kaak. Remigratie is voor dit soort tuig de enige oplossing. Hun bijdrage aan onze samenleving is nihil.

Bekijk de vreselijke beelden.
https://instagram.com/p/DARdceROzxF/";4;6;20;2,6K;allochtoon;2024-09-29 11_35_52.904207;0.411927968263626;0.004332892131060;0.000245300703682;0.001160110812634;0.002974923700094;0.976154744625092;0.874886453151703;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;72a3f8ba41d7b8bd;6b17d1ba81cd83cf;7c7b5fa00e897ea5;2024-09-10T14:22:08.000Z;Als je wil dat politie-, zieken- en brandweerwagens nog vaker het mikpunt zijn van allochtoon geweld, stem dan op @JosDHaese van @pvdabelgie!;31;79;449;4,7K;allochtoon;2024-09-29 11_35_52.904207;0.120726630091667;0.000207401797525;0.000004658907983;0.000049493628467;0.000068634464697;0.304718315601349;0.000289921124931;1. Against immigration, migrants, foreigners, refugees, or Muslims.
