rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;a0033ddd3f05187b;8a3616dd0c5108cf;dfba4b8cb300212e;2024-09-29T15:17:31.000Z;"Moord & brand schreeuwen over wat protesterende boeren maar MUISSTIL over de asielzoeker, de machete-zwaaiende Syriër die mensen AFSLACHT op straat!

Doe een  & RT als je WALGT van hypocriete Timmermans!";169.0;812;3,8K;41K;asielzoeker;2024-10-07 10_50_22.360731;0.458946973085403;0.012399938888848;0.000925991625991;0.000274932099273;0.000014513134374;0.629599571228027;0.018425041809678;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;3cab95776d0a8ac3;05a4610505b96299;951458ad962e0217;2024-10-07T09:44:35.000Z;"Wie bepaalt er eigenlijk of een asielzoeker een ""gelukszoeker"" is of een ""vluchteling""? Waar ligt de grens? 
Zijn mensen die een beter leven willen ""gelukszoekers""?
Zie onderstaand plaatje. Wie van deze mensen is volgens domrechts een ""gelukszoeker""?";1.0;;3;49;asielzoeker;2024-10-07 10_50_22.360731;0.017271656543016;0.000084738683654;0.000006084784218;0.000100810473668;0.000017253640181;0.002854489255696;0.000076281285146;5. Is neutral.
3;2c28b7741029102f;a8cfcd7483200495;2a825c5b1a5ed4a0;2024-10-04T07:11:06.000Z;Kom je als echte asielzoeker aan in Nederland, zie je dit. Een Fabertje:;6.0;6;30;1,3K;asielzoeker;2024-10-07 10_50_22.360731;0.137767031788826;0.000045061267883;0.000438882969320;0.000332049821736;0.000109519030957;0.022361302748322;0.000340532540577;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;4eef9ba4bea5bf85;cf672d5ba48061bc;26318ceefa5be0fb;2022-07-16T12:10:41.000Z;Dit kreeg ik toegestuurd: Een asielzoeker vernielde bezittingen van een inwoner van Ter Apel. De politie probeerde eerst aangifte te voorkomen. Toen probeerde ze aangifte in te laten trekken. Toen kwam OM met brief dat asielzoeker ziek is.;826.0;2K;5,3K;/geertwilderspvv###/geertwilderspvv###/geertwilderspvv/status/1548278950094196739;asielzoeker;2024-10-07 10_50_22.360731;0.064564906060696;0.000001212853135;0.004705992992967;0.000124936341308;0.000031384610338;0.055852729827166;0.001411290955730;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;2703f8e5743fa403;8a3616dd0c5108cf;dfba4b8cb300212e;2024-03-08T18:17:58.000Z;"Asielzoeker in Ter Apel INTIMIDEERDE een jongen in rolstoel en zijn moeder, wilde ze tevens van een tas BEROVEN! Dit is hoe de #Burgerwacht hem te pakken nam! 

Doe een  & RT als je de burgerwacht helden vindt!";419.0;1,3K;7,4K;246K;asielzoeker;2024-10-07 10_50_22.360731;0.003903782693669;0.000096786279755;0.000007227919014;0.011896964162588;0.003703359281644;0.138469949364662;0.000602633808739;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;8d1a1e9299c025ce;f5aa5054a5747dba;367554e2dc38e6d3;2024-10-03T07:16:26.000Z;"Duidelijk, wij hoeven toch niet opgescheept te worden met die Afghanen.
En die Kati Piri, van die rooie PVDA club, hoeft niet zo te zeuren, ze is zelf ook een asielzoeker.
Moet ook maar op de reïmmigratielijst.";;;3;212;asielzoeker;2024-10-07 10_50_22.360731;0.607805073261261;0.002756121335551;0.000168037324329;0.000082640304754;0.000057899909734;0.237340286374092;0.000242192880251;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;405ed277c829ce54;cf672d5ba48061bc;26318ceefa5be0fb;2024-03-06T06:55:12.000Z;Een asielzoeker die vier meisjes van 11 jaar heeft aangerand hoeft niet de cel in. Dat is toch totaal onaanvaardbaar. Tien jaar op water en brood zou een gepaste straf zijn en dan ben ik nog mild.;959.0;1,2K;7,2K;346K;asielzoeker;2024-10-07 10_50_22.360731;0.123217873275280;0.001458054059185;0.000036262383219;0.082666568458080;0.100919269025326;0.461933970451355;0.003892231499776;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;2a917550687ce3a2;91d6bf67d49e0f9a;3912f796ca751f64;2024-09-23T08:02:44.000Z;Beslisambtenaren die eindelijk eens hun werk moeten doen. Dat is schrikken! https://nrc.nl/nieuws/2024/09/22/ind-werkt-met-ingrijpend-nieuw-toelatingsbeleid-asielzoeker-moet-nu-zelf-aantonen-dat-hij-gevaar-loopt-a4866714…;9.0;34;130;5,5K;asielzoeker;2024-10-07 10_50_22.360731;0.110191024839878;0.000114086149551;0.000023670361770;0.000058198729675;0.000115093927889;0.032852817326784;0.000033487554902;5. Is neutral.
9;c563a8b8d0b2992e;40f77b9d8fe2b797;0a3efe0ea7ab463c;2024-08-14T06:40:36.000Z;"Inmiddels al ruim 36.000 meldingen van crimineel gedrag bij asielzoekers. Bent u het met mij eens dat de asielaanvraag van een asielzoeker die crimineel gedrag laat zien per direct moet worden ingetrokken?

#asielzoeker #crimineel #asielaanvraag 
Bron: https://archive.is/EELj3";717.0;845;4,3K;55K;asielzoeker;2024-10-07 10_50_22.360731;0.014465033076703;0.000131844572024;0.000016368912839;0.000014106612070;0.000080006175267;0.003844309132546;0.000002081824050;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;5f317795a9a1dbe5;8a3616dd0c5108cf;dfba4b8cb300212e;2023-11-09T16:37:43.000Z;"Er is weer een stelende asielzoeker aangehouden door de #burgerwacht in Ter Apel. Wederom neemt de politie de burgerwacht op de korrel i.p.v stelende asielzoekers. Ze willen de burgerwacht zelfs VERBIEDEN! 

Doe een  & RT als je de burgerwacht steunt! Ze verdienen het!";276.0;1,5K;5,4K;78K;asielzoeker;2024-10-07 10_50_22.360731;0.236195504665375;0.000431420688983;0.000036022189306;0.000276419217698;0.000044020365749;0.096412055194378;0.000078134129581;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;3df3fb4408563926;40f77b9d8fe2b797;0a3efe0ea7ab463c;2024-08-25T09:06:30.000Z;"Prangende vraag: hoe zouden de krantenkoppen eruit zien als in Solingen drie migranten bruut vermoord en negen migranten verwond zouden zijn door een Duitser met blonde haren en blauwe ogen?

#solingen #asielzoeker #migratie #asielcrisis";364.0;673;3,3K;87K;asielzoeker;2024-10-07 10_50_22.360731;0.166420161724090;0.011677446775138;0.000051653492847;0.000073090239312;0.000042668947572;0.350785166025162;0.021610351279378;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
12;7977025a6c120ca8;7e9d54cd44a2ef53;3bc3014eadc559f1;2024-09-23T21:12:04.000Z;Yohannes Abrha, een Eritrese asielzoeker in Nederland, werd gedwongen zijn familie en thuisland te ontvluchten vanwege het onderdrukkende regime van de dictator Als burger in Eritrea vecht hij voor zijn rechten en vrijheid  voor de mensen van Eritrea door zich te verzetten tegen;5.0;136;121;1,6K;asielzoeker;2024-10-07 10_50_22.360731;0.000888402864803;0.000021701805963;0.000503343529999;0.000078885488620;0.000001567790264;0.018247896805406;0.000429669016739;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
13;641b0fa1564881c3;4ecde249d747d51d;8f610bbbe98088e7;2024-10-01T14:32:48.000Z;"Nieuwe week, nieuwe stemmingen.

Vandaag werd er weer gestemd over verschillende moties die asielzoeker-overlast aan kunnen pakken.

Gezien de wensen van dit kabinet en de #PVV in het bijzonder niet gek om eens mee te kijken.

Een draadje
#asielcrisis #asielcrisiswet #Wilders";27.0;426;546;101K;asielzoeker;2024-10-07 10_50_22.360731;0.005838040262461;0.000435235415353;0.000123685545986;0.000234765757341;0.000206137279747;0.007043016608804;0.000072297421866;1. Against immigration, migrants, foreigners, refugees, or Muslims.
14;71af0012aac7b750;fcaee1623592796a;8633391125b670a7;2024-10-04T11:46:04.000Z;"Niet de Speld! #terugvolgvrijdag
""Ditte"" schijnt ons land te Besturen
Jezus/GWwas zelf asielzoeker
Please. mensen voor de #HerfstVakantie moet dit Zieke Kabinet toch afgelopen zijn?
Alleen enorme borden met #FABER'S kop erop, is voldoende de hele wereld af te schrikken!";2.0;;13;966;asielzoeker;2024-10-07 10_50_22.360731;0.237590506672859;0.002531231846660;0.002463122829795;0.000036417604861;0.000012977948245;0.172368153929710;0.000178705624421;6. Other: Criticizes current government leadership.
15;312759645f85c93d;0276e59668392c7f;c67ada2504253e30;2024-10-05T09:21:42.000Z;"‘Gaza speelt geen rol van betekenis in het naar isolationisme neigende Nederland, waar men zich, politiek gezien, tevredenstelt met het divertissement van de zondebok die asielzoeker heet.’ Arnon Grunberg

@arnonyy @nrc_opinie https://nrc.nl/nieuws/2024/10/04/zolang-netanyahu-israel-regeert-duurt-het-tijdperk-van-het-zwaard-voort-a4868181#…";;5;6;1,4K;asielzoeker;2024-10-07 10_50_22.360731;0.064720220863819;0.001513087423518;0.000021454397938;0.000114379057777;0.000033331947634;0.019039398059249;0.000135589420097;1. Against immigration, migrants, foreigners, refugees, or Muslims.
16;9c6d4b4b3da88350;8e9c52a30a39dbc1;027942068fd9fc7c;2024-10-04T13:00:49.000Z;"Snapten ze de filmpjes niet?
Hier een bericht van een vader waarvan zijn dochter en schoonzoon door een asielzoeker zijn vermoord.(Duitsl). Het zou je kind maar zijn.";2.0;6;21;357;asielzoeker;2024-10-07 10_50_22.360731;0.032772399485111;0.000156537673320;0.000089383087470;0.006531960796565;0.002378800185397;0.530029058456421;0.024026434868574;1. Against immigration, migrants, foreigners, refugees, or Muslims.
17;9b3239fd72079c85;a4d5c103d411d9e8;f23d346a78e08f98;2024-09-30T20:25:45.000Z;Ik stuit op dit stuk. Stomverbaasd. Sinds wanneer is Annemarie van het nibud of zoiets, asielzoeker-deskundige. Wat doet haar mening ertoe? En wat weet zij van de interne organisatie van het COA? En hoezo zouden vluchtelingen met een verblijfsstatus minder rechten hebben?;78.0;23;192;21K;asielzoeker;2024-10-07 10_50_22.360731;0.094639249145985;0.000007175187875;0.000195472370251;0.000013549847608;0.000006987039797;0.016050355508923;0.000033522253943;5. Is neutral.
18;7e22c64b24787425;dee5d30edb760edd;706299900d1bdfbb;2024-09-24T17:19:27.000Z;Kunnen ze geen asielzoeker vinden die even dat onkruid kan weghalen ?;2.0;1;8;252;asielzoeker;2024-10-07 10_50_22.360731;0.470578402280807;0.002364744432270;0.000094119328423;0.000039133901737;0.000008037899534;0.220834344625473;0.000070637783210;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;6e8a47267b764402;d45e285177fdb84b;500c620c78418641;2024-10-05T16:25:27.000Z;"nieuws;

De McD koe wordt gekoppeld aan een databank met Higtech telecomverbinding in een volautomatische ophokstal, waar de evegreen kids een promo draaien voor  Hightech farming

En de gg'Z doet een pleidooi voor meer GELD om de ernstig gestoorde asielzoeker op te kunnen vangen";;;2;139;asielzoeker;2024-10-07 10_50_22.360731;0.034633550792933;0.000051635026466;0.000008723429346;0.000629322428722;0.003331633284688;0.024725213646889;0.000840365421027;1. Against immigration, migrants, foreigners, refugees, or Muslims.
20;ac93be3465e4d515;f008c19b2479eb91;e8eff762ad1f035e;2024-09-23T15:49:17.000Z;"Nederland, altijd verontwaardigd over besnijdenis, altijd een grote mond. Maar als het iets kan doen om meisjes te redden van zo’n vreselijke besnijdenis: NJET. 

https://nrc.nl/nieuws/2024/09/22/ind-werkt-met-ingrijpend-nieuw-toelatingsbeleid-asielzoeker-moet-nu-zelf-aantonen-dat-hij-gevaar-loopt-a4866714…";24.0;133;415;15K;asielzoeker;2024-10-07 10_50_22.360731;0.518647313117981;0.003767677582800;0.002536252140999;0.020600961521268;0.015603270381689;0.480930000543594;0.017890438437462;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
21;3097e00edfc51413;4ecde249d747d51d;8f610bbbe98088e7;2024-10-01T14:32:57.000Z;"Overlast voorkomen door de terugreis te regelen vóórdat je een asielzoeker de straat op stuurt?

De PVV is tegen:";5.0;44;177;16K;asielzoeker;2024-10-07 10_50_22.360731;0.484581232070923;0.002457698574290;0.000763443938922;0.000164915691130;0.000021030975404;0.079191565513611;0.000115857576020;1. Against immigration, migrants, foreigners, refugees, or Muslims.
