rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;b87e7763acbae3c2;e0e714006c923222;b00e67dd42ac8d9e;2024-03-19T17:51:44.000Z;Onların zamanında Hypsistos (Ὕψιστος) adında bir Elioun (Ἑλιοῦν) ve Berouth (Βηρούθ) adında bir kadın doğdu ve Byblos yakınlarında yaşadılar. Bunlardan Epigeios Autochton (Ἐπίγειος Αὐτόχθων) doğdu, Ona daha sonra Ouranos (Οὐρανόν) adını verdiler.;1.0;2.0;5.0;1.5K;autochton;2024-09-26 19_21_54.477709;0.000170662722667;0.000002588235475;0.000001175343641;0.000731033680495;0.000286025519017;0.001639204216190;0.000015624895241;6. Other: nor for or against immigration
2;48cfde65f7b6f60c;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-26T10:52:26.000Z;"Czy to ciche wołanie Xboxa o pomoc? Nie wiem co się przed chwilą stało :)
#Xbox #TokyoGameShow";;;;41;autochton;2024-09-26 19_21_54.477709;0.001291742897592;0.000001070408643;0.000223558279686;0.000134858957608;0.000041273004172;0.000109702661575;0.000015505285774;6. Other: unrelated to immigration topic.
3;59e261a0c3f722ba;d8337daed2c581dd;8ff45f09c18b234a;2024-05-09T15:12:01.000Z;… kiedy nad polskim morzem poznałeś ceny ryby, po czym przy drinku, autochton wytłumaczył zakres terminu „świeża” w okresie zakazów połowów.;;;6.0;518;autochton;2024-09-26 19_21_54.477709;0.000180945251486;0.000002804959649;0.000035641769500;0.001085374504328;0.000597055885009;0.003247467800975;0.000396486022510;6. Other: Discusses fish prices and freshness.
4;35c37b524afe59e4;809d3302d425ad16;b6c7a9c2ed7ffd6f;2023-11-04T11:38:55.000Z;"Daher auch keine Palästina-Flaggen (wichtig!).

4) das Metier der Hizb ut-Tahrir ist sehr autochton, weniger von neu eingewanderten oder Geflüchteten geprägt. Viele Abiturienten.

5) die Gruppe ist sektenartig, hierarchisch, und lehnt Bündnisse mit anderen Islamisten meist ab";5.0;32.0;266.0;18K;autochton;2024-09-26 19_21_54.477709;0.033068239688873;0.000077202923421;0.000006081750143;0.000098003751191;0.000013051289898;0.001294457470067;0.000034290227632;5. Is neutral.
5;88d19f3daf678198;15794ceeedd7fb7d;8d316f7c4f0a7f53;2023-07-27T10:14:54.000Z;Przedwczoraj arabski autochton na targu w Jerozolimie, wczoraj niemiecki turysta nad Morzem Martwym. Muszę przyznać, że jeszcze bywają chwile, w których Lewy daje powody do dumy. Ale jako snajper Bayernu, a nie Barcelony. :-P;;;2.0;296;autochton;2024-09-26 19_21_54.477709;0.068311020731926;0.000482394098071;0.000225569412578;0.003112762933597;0.000228698700084;0.154023408889771;0.002309731207788;6. Other: unrelated to immigration topic.
6;6c008ef385c55e85;205fdc3562111efe;4a73404266f8b75a;2023-11-28T09:57:55.000Z;"The Sacred #ParthenonSculptures, a Miracle of Autochton Greek European Culture, are held hostage by an anti-European government of BrexitStan, composed of non-Europeans that actively support #EuroGenocide of British European Autochtons & their total replacement.
#ElginMarbles";;;;54;autochton;2024-09-26 19_21_54.477709;0.290273189544678;0.002359199337661;0.000003151667215;0.001414802507497;0.000059699472331;0.078205443918705;0.000349346344592;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;b83e516cd1922fc0;396ba0c342214b2a;d677902ad7ddfced;2023-12-31T17:43:48.000Z;Dziś w wieku 91lat odszedł od nas kolejny zasłużony dla Hajmatu autochton - ks. prałat Wolfgang Globisch, twórca duszpasterstwa mniejszości narodowych w Diecezji Opolskiej i wieloletni jego duszpasterz, zasłużony współtwórca Caritas Diecezji Opolskiej.;2.0;;6.0;140;autochton;2024-09-26 19_21_54.477709;0.000068340508733;0.000111864188511;0.000321929983329;0.000191484621609;0.000053732488595;0.070232219994068;0.000283106579445;6. Other: Tribute to a religious figure.
8;093fe2c220883917;89d7c8032590c6ea;2debf1f8418f1037;2023-11-07T16:42:05.000Z;"Importiert oder autochton? - 

Lesetipp für alle, die sich mit Anti-Judaismus beschäftigen wollen.";9.0;2.0;11.0;4.7K;autochton;2024-09-26 19_21_54.477709;0.028500070795417;0.000114633032354;0.000006689730071;0.000098385506135;0.000048264664656;0.000955101044383;0.000130763437483;6. Other: nor for or against immigration
9;0976dddc37122666;d392c571604f4b55;d18a3389717fffd1;2023-11-14T20:56:59.000Z;"THESARET ARKEOLOGJIKE TE LASHTESISE SE KOSOVES
The archaeological treasures of Kosovo's antiquity

#KOSOVA #ALBANIANS #AUTOCHTON #ILLYRIANS
#DARDANET #Archaeology #historical #antiquity";1.0;2.0;4.0;731;autochton;2024-09-26 19_21_54.477709;0.017921105027199;0.000301009538816;0.000001118039449;0.000020082850824;0.000003784140745;0.003050809726119;0.000102151781903;6. Other: nor for or against immigration
10;7d45f19139706400;8dbf20bca7ba99f5;98bc9b0c6f2c0cdf;2024-02-11T14:50:27.000Z;"Hitler referred to ""Black"" Americans as the true Children of Israel. He means the oldest group on the planet & that our people have been around 338,000+years that we are Autochton,created from the soil,the trees, the earliest known inhabitants of not just America but worldwide.";;1.0;1.0;47;autochton;2024-09-26 19_21_54.477709;0.014655286446214;0.000013352570932;0.000000820378432;0.000025292409191;0.000016074573068;0.001791832619347;0.000017713988200;6. Other: Historical claim about identity.
11;77c948e86a81f4a8;ab1342be8edf9bcb;303b9d86e8251cdb;2023-11-08T14:48:59.000Z;To są bunkry zbudowane na krainieU za pieniądze EU. Koszt wybudowania tego czegoś, 60 tyś $ lub 2 mln hrywien lub 250 tyś złotych. Filmujący autochton twierdzi, że ten bunkier to pomnik korupcji, dla kolesi, jest tak czy nie?;1.0;3.0;9.0;216;autochton;2024-09-26 19_21_54.477709;0.015543393790722;0.000010632314115;0.000068017187004;0.001533599686809;0.000101284931588;0.005446512252092;0.002176322275773;6. Other: Criticizes corruption, not immigration.
12;50aae9724c7b9ea9;2a4b0fe927707b04;e83bf7256465b97d;2024-04-07T12:09:00.000Z;Oft schon wurde Waschmittel oder eben Seife rassistisch damit beworben dass es gab schwarze Babies  weiß mache. Das ist nix anderes hier. Wird halt der sexy Handwerker in dem Fall zum akzeptablen autochton aussehenden Mann. Haha. Lustig. haha. Schwarze sind dreckig.;;;2.0;402;autochton;2024-09-26 19_21_54.477709;0.980677545070648;0.000012634835002;0.000020545528969;0.000476059649372;0.000069467430876;0.002696642884985;0.000059841971961;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;881d2ef81431c00b;984255c1b6144949;b575c100d1d064ff;2024-07-18T18:13:54.000Z;"Comment expliquer qu'un dg de la sous traitance nommé pour le compte du katanga parvient à délaissé une sous traitance des congolais puis autochtones du territoire de kipushi pour faire gagner le marché à un sujet libanais? 
Aujourd'hui jeudi,plus des 170 congolais puis autochton";;;1.0;65;autochton;2024-09-26 19_21_54.477709;0.027084251865745;0.000948831962887;0.000209442674532;0.000307201931719;0.000163219243404;0.002816120162606;0.000039609571104;6. Other: Criticizes preference for Lebanese over locals.
14;21bfb1e9a370c352;71913c74909b9c22;227c338773e9b184;2024-05-08T15:35:52.000Z;"If an orangutan is able 2heal his wound by using an autochton plant,  without following  human scientific principalities, why should the orangutan be obliged 2follow your  rule under ‘disdain for native wisdom’, aka “One World. One Health”? 

   #CrimesAgainstHumanity";;;;86;autochton;2024-09-26 19_21_54.477709;0.028177300468087;0.000036089269997;0.000029304213967;0.000023265178243;0.000001090078854;0.039146263152361;0.002583493012935;6. Other: Critiques global health policies.
15;b90d4f53b82c8518;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-26T09:59:49.000Z;Kto ogląda na żywo Xbox Tokyo Game Show? :);;;;9;autochton;2024-09-26 19_21_54.477709;0.000261016801232;0.000223262424697;0.000006697569006;0.004133094567806;0.000215722029679;0.000623564235866;0.001068381592631;6. Other: unrelated to immigration topic.
16;33a10de0fe37100a;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-25T17:44:56.000Z;"Moim faworytem State of Play, nie licząc Ghost of Yotei, jest Hell is Us. Poza tym, mam ambiwalentne uczucia.

#Gameralnie #StateOfPlay2024 #Playstation #Sony";;;;19;autochton;2024-09-26 19_21_54.477709;0.000587644695770;0.000009173529179;0.000041057803173;0.000071441631007;0.000011014085430;0.000268465431873;0.000090261361038;6. Other: unrelated to immigration discussion.
17;4038c8904f021108;42e7ce1428da967a;65270a91c304de04;2023-12-29T11:12:09.000Z;Napisał do mnie jakiś autochton z Podlasia, ale chyba pomylił ze swoją konkubiną, bo użył języka miłości.;2.0;;5.0;752;autochton;2024-09-26 19_21_54.477709;0.000582274224143;0.000001523294941;0.000008251268810;0.012350469827652;0.000349811743945;0.001826397725381;0.000030900286220;6. Other: unclear stance on immigration.
18;53aa966361e27d07;52cbb4167f403ebd;1eebfff35bc32e54;2024-01-12T20:30:00.000Z;"When we talk about upcoming #WorldWarIII, we tend to forget about the descendants of immigrants on our soil, and all the autochton leftist degens who are disconnected from reality.

They could make #WWIII mostly a civil war.
Sharing one united culture is essential.

#Yemen";;;;311;autochton;2024-09-26 19_21_54.477709;0.474783718585968;0.007326352875680;0.000000482841813;0.000070488604251;0.000008693348718;0.153013974428177;0.000157532820594;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;7b4d6ec6340df393;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-16T07:41:01.000Z;"Wyskoczyłem ostatnio do Snato Domingo na fajeczkę z moim ulubionym fixerem i jakoś nie mogę opuścić Night City. Już nawet nie chodzi o zaliczanie kolejnych misji. Czasem po prostu plączę się po mieście.  
#Cyberpunk2077 #Muamar #NightCity #SantoDomingo";;;1.0;32;autochton;2024-09-26 19_21_54.477709;0.000043668733269;0.000004724230621;0.000235607338254;0.000667926913593;0.000031782452425;0.000994329107925;0.000017923337509;6. Other: unrelated to immigration topic.
20;13f507d491608b12;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-25T05:29:16.000Z;"Where is @Rand_al_Thor_19 on this graph? ;)";1.0;;5.0;281;autochton;2024-09-26 19_21_54.477709;0.000081584883446;0.000000240665941;0.000000282407086;0.000030032073482;0.000012774139577;0.000096118354122;0.000003909031420;6. Other: unclear stance on immigration.
21;56ef1b2dfcb4cfc4;b1009535cc281c42;5e5620c5a521128b;2024-09-23T21:35:22.000Z;Rdzenny Bawarczyk, wręcz autochton !;;;2.0;62;autochton;2024-09-26 19_21_54.477709;0.001389402314089;0.000001957437917;0.000013529743228;0.000102081772638;0.000014548126273;0.001245504477993;0.000129490101244;6. Other: unclear stance on immigration.
22;71e77cb052aa3533;8dde3962bd40361d;2df6c0fbf0099b41;2024-09-25T06:06:18.000Z;I'm just kidding. I love Rand and his voice. That's all I need.;1.0;;2.0;22;autochton;2024-09-26 19_21_54.477709;0.000023581316782;0.000000352602683;0.000017533564460;0.000254570360994;0.000041944167606;0.000179538241355;0.000018002378056;6. Other: nor for or against immigration.
1;b87e7763acbae3c2;e0e714006c923222;b00e67dd42ac8d9e;2024-03-19T17:51:44.000Z;Onların zamanında Hypsistos (Ὕψιστος) adında bir Elioun (Ἑλιοῦν) ve Berouth (Βηρούθ) adında bir kadın doğdu ve Byblos yakınlarında yaşadılar. Bunlardan Epigeios Autochton (Ἐπίγειος Αὐτόχθων) doğdu, Ona daha sonra Ouranos (Οὐρανόν) adını verdiler.;1.0;2.0;5.0;1,5K;autochton;2024-09-27 20_52_32.971218;0.000170662722667;0.000002588235475;0.000001175343641;0.000731033680495;0.000286025519017;0.001639204216190;0.000015624895241;6. Other: nor for or against immigration
2;59e261a0c3f722ba;d8337daed2c581dd;8ff45f09c18b234a;2024-05-09T15:12:01.000Z;… kiedy nad polskim morzem poznałeś ceny ryby, po czym przy drinku, autochton wytłumaczył zakres terminu „świeża” w okresie zakazów połowów.;;;6.0;519;autochton;2024-09-27 20_52_32.971218;0.000180945251486;0.000002804959649;0.000035641769500;0.001085374504328;0.000597055885009;0.003247467800975;0.000396486022510;6. Other: Discusses fish prices and freshness.
3;35c37b524afe59e4;809d3302d425ad16;b6c7a9c2ed7ffd6f;2023-11-04T11:38:55.000Z;"Daher auch keine Palästina-Flaggen (wichtig!).

4) das Metier der Hizb ut-Tahrir ist sehr autochton, weniger von neu eingewanderten oder Geflüchteten geprägt. Viele Abiturienten.

5) die Gruppe ist sektenartig, hierarchisch, und lehnt Bündnisse mit anderen Islamisten meist ab";5.0;32.0;266.0;18K;autochton;2024-09-27 20_52_32.971218;0.033068239688873;0.000077202923421;0.000006081750143;0.000098003751191;0.000013051289898;0.001294457470067;0.000034290227632;5. Is neutral.
4;88d19f3daf678198;15794ceeedd7fb7d;8d316f7c4f0a7f53;2023-07-27T10:14:54.000Z;Przedwczoraj arabski autochton na targu w Jerozolimie, wczoraj niemiecki turysta nad Morzem Martwym. Muszę przyznać, że jeszcze bywają chwile, w których Lewy daje powody do dumy. Ale jako snajper Bayernu, a nie Barcelony. :-P;;;2.0;297;autochton;2024-09-27 20_52_32.971218;0.068311020731926;0.000482394098071;0.000225569412578;0.003112762933597;0.000228698700084;0.154023408889771;0.002309731207788;6. Other: unrelated to immigration topic.
