rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;3f1b64ccb1e4f58d;3f92788482af7c14;5dba3cf295f318d3;2023-01-25T10:49:28.000Z;"#azielzoeker
#steekpartij
#vriendenvanD66";3.0;1.0;1.0;161;azielzoeker;2024-09-26 19_58_00.030786;0.000068149041908;0.000017748381651;0.009112034924328;0.000276042090263;0.000010849742466;0.038424532860518;0.000444192119176;6. Other: unclear stance on immigration.
2;0e8b9c6189cc79e5;7600a5c1a4e5810a;b2763567fabe6842;2023-01-21T08:33:11.000Z;LEKKERDING;;;;157;azielzoeker;2024-09-26 19_58_00.030786;0.000371406524209;0.000026781563065;0.000010905074305;0.014617194421589;0.004104080144316;0.000810281140730;0.000153636356117;6. Other: unclear position on immigration.
3;a4299f03fdf99c8f;1064af22df439c77;a5c8111810c5e08b;2023-12-12T17:50:01.000Z;"Wanneer gaan NLse kranten dit soort berichten posten? 
In NL krijgt (kreeg) de Oekraïner gratis OV, inwondend meer geld, nieuwge bouwde huizen tot zelfs wijken! 

En de NLdr (rechts) wordt wijsgemaakt dat het de schuld is van de azielzoeker! 

Je hoort geen 1 politieke partij!";;1.0;1.0;126;azielzoeker;2024-09-26 19_58_00.030786;0.065290816128254;0.000051037481171;0.001357550616376;0.000068535708124;0.000081405909441;0.014141295105219;0.000267084746156;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;0661c281d765f033;fef0b172890a9715;d52fa8ce5d28e971;2023-01-25T20:57:22.000Z;ma bruh;;;;77;azielzoeker;2024-09-26 19_58_00.030786;0.000306248926790;0.000000172912934;0.000005199918178;0.000433806999354;0.000091282403446;0.000014404136891;0.000015297413483;6. Other: unclear position on immigration.
5;82764cdc486c35f3;1a65f7251bfdab3a;e54403fa786d0c12;2023-01-27T16:04:35.000Z;İk weet letterlijk waar je woont;;;1.0;305;azielzoeker;2024-09-26 19_58_00.030786;0.009966439567506;0.000002496959041;0.000104636535980;0.000022713622457;0.000004638271093;0.002319764345884;0.000067000619310;6. Other: unclear stance on immigration.
6;b335a8ab88e23298;654925957dd633be;caf18e53ef165e53;2023-01-25T19:48:23.000Z;Gaat sowieso over mij;;;;149;azielzoeker;2024-09-26 19_58_00.030786;0.023527937009931;0.000320466846460;0.017956286668777;0.001796715194359;0.000451688509202;0.010044167749584;0.000770424201619;6. Other: unclear stance on immigration.
7;f73e81c434395c30;654925957dd633be;caf18e53ef165e53;2023-01-21T22:45:28.000Z;Niemand praat tegen jou kopti;;;;53;azielzoeker;2024-09-26 19_58_00.030786;0.110775761306286;0.000050478320190;0.000024497787308;0.000076528573118;0.000000224945083;0.000654695963021;0.000000434658602;6. Other: unclear stance on immigration.
8;a59552e45f4a87b6;49360931c48c4e51;43c80f4af04ed9db;2023-01-25T17:06:45.000Z;Pomp 3 aub en pakje marlboro;;;2.0;222;azielzoeker;2024-09-26 19_58_00.030786;0.000291427277261;0.000057991972426;0.000007618455584;0.000840763153974;0.000213839419303;0.001540702767670;0.000039271773858;6. Other: unrelated to immigration topic.
9;022bd7f97f72a537;3de5addce5603123;41515502c89e6622;2023-11-29T15:00:19.000Z;Dan moet de azielzoeker wel nederlands spreken. Verreiste bij de bus maatschappij.;1.0;;;20;azielzoeker;2024-09-26 19_58_00.030786;0.024862926453352;0.000056807981309;0.000261736742686;0.000065672160417;0.000027975514968;0.003750708885491;0.000184855394764;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;0a084a654158884e;87ac4f3593e3c375;ecf551892baeed46;2024-04-11T18:45:23.000Z;In tegendeel! Elke azielzoeker die ze WEL opnemen kost België meer dan 30.000€ heeft men berekend!;1.0;1.0;2.0;40;azielzoeker;2024-09-26 19_58_00.030786;0.045905020087957;0.000400600983994;0.000183992873644;0.000052759882237;0.000017765027224;0.025051407516003;0.000932565773837;1. Against immigration, migrants, foreigners, refugees, or Muslims.
