rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;0fd6f62b5dfdc43e;d4d0157ed994cd2f;587d1dbf587f337c;2024-09-20T09:24:42.000Z;Hardwerkende buitenlander.;1.0;;5.0;548;buitenlander;2024-10-04 12_38_17.294265;0.086077228188515;0.000032210606150;0.000596601981670;0.000673558213748;0.000272886274615;0.002655782504007;0.000158158334671;5. Is neutral.
2;af6ebe716d7c6f38;6e30129c82f6918b;235abe15bf82edb8;2024-10-04T11:04:53.000Z;Helft van alle steuntrekkers in Merkelland is buitenlander. On top of this: Bulgaarse misdaadfamilie, goede bekenden van de Polizei, ontvangt ruim 17.000 euro per maand. 17 fucking duizend euro...;;;1.0;2;buitenlander;2024-10-04 12_38_17.294265;0.248698845505714;0.000076214026194;0.000131266278913;0.000713686516974;0.000318540871376;0.022838573902845;0.012466601096094;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;803ce77eef422be0;6b17d1ba81cd83cf;7c7b5fa00e897ea5;2024-09-15T10:40:33.000Z;25% van de buitenlander onze cellen hebben Marokkaanse nationaliteit. Heeft u hiervoor een verklaring? Benieuwd?;6.0;8.0;69.0;1,2K;buitenlander;2024-10-04 12_38_17.294265;0.009890599176288;0.000037033329136;0.000033974691178;0.000015873445591;0.000059852813138;0.000638565456029;0.000958957185503;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;0fa36ba187885c41;bafcc330c85f96c7;9c12f1cf296a143a;2024-08-30T19:37:54.000Z;Klinkt overdreven, maar ik zou Farioli met geen één andere coach willen ruilen. Geen één. Iemand die zoveel passie legt in zn werk en zoveel besef heeft (als buitenlander) van de waarde van Ajax, ik geloof niet dat dat iemand dat meer of beter had  kunnen doen dan onze Italiaan.;92.0;25.0;841.0;85K;buitenlander;2024-10-04 12_38_17.294265;0.004376633092761;0.000062402621552;0.000010057708096;0.000330877111992;0.000046325279982;0.002041088650003;0.000094887560408;6. Other: praising foreign coach's dedication.
5;412f1e51730f6375;96e3e05525e88710;8518553aaff1d35e;2024-09-01T19:56:23.000Z;Het is een schokkend en verwerpelijk patroon van gedrag dat absoluut niet getolereerd zou moeten worden. Lees hoe ze vulgair tekeer gaat. Daarnaast de rechtextremisten re-posten, ophitsen met posts wanneer misschien een buitenlander ergens bij betrokken is, de transhaat.;5.0;6.0;30.0;1,3K;buitenlander;2024-10-04 12_38_17.294265;0.130428671836853;0.000048121037253;0.000137095557875;0.008262684568763;0.001647906261496;0.021629000082612;0.000510576122906;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
6;99bbc566bb55ca3d;59cbe947adef16be;bdcedfe906182683;2024-09-25T19:06:41.000Z;"FC Twente start met 10 Nederlanders en 1  buitenlander: Lars Unnerstall. Maar die is geboren op 54 minuten rijden van Enschede.

Bizar contrast met menig vreemdelingenlegioen in de huidige Eredivisie. #MUNTWE";4.0;3.0;49.0;11K;buitenlander;2024-10-04 12_38_17.294265;0.027737883850932;0.000130587373860;0.000023686188797;0.000190424223547;0.000646104454063;0.003010304644704;0.000230576173635;5. Is neutral.
7;1c1d43da8ef59d30;97eaab065ae62d59;6472065b96a2a018;2024-10-02T09:14:42.000Z;Wees principieel Nederlanders: als je door een buitenlander vermomd als politieman/vrouw aangehouden/aangesproken wordt, dien je dat contact direct te verbreken of vermijden. NEGEER ZE IN HET VERVOLG.;;1.0;1.0;14;buitenlander;2024-10-04 12_38_17.294265;0.081551536917686;0.000014321050003;0.000011137911315;0.000049352940550;0.000015291272575;0.042710363864899;0.000178007685463;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;2f2ed63f05e8dedd;74607ab5486101c8;3f4b06727f5114f1;2024-09-12T20:05:24.000Z;"Burgerpatrouilles in Śrem na moord op een Pool door buitenlander. De gemeenschap laat zien dat ze voor hun veiligheid opkomen. 

#Śrem #Veiligheid #Burgerpatrouille";;2.0;5.0;831;buitenlander;2024-10-04 12_38_17.294265;0.019401876255870;0.000624967797194;0.000155121189891;0.001348345424049;0.000052065941418;0.138452708721161;0.003027112223208;5. Is neutral.
9;851a9aad13f15e18;3f92788482af7c14;5dba3cf295f318d3;2024-10-01T19:11:44.000Z;LACHWEKKEND het komt hem duur te staan HOU OP zeg het is een zielige buitenlander...WIJ BETALEN DUS DE BOETE VAN BELASTINGGELD!;2.0;4.0;12.0;342;buitenlander;2024-10-04 12_38_17.294265;0.408230155706406;0.000506825512275;0.000610254879575;0.000033417338273;0.000016202129700;0.179966986179352;0.000030320014048;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;6e1283629a71ef65;32987c4b7a9fb90e;8d401e4dd216f320;2024-10-03T08:03:59.000Z;Verhitte verkeersruzie in Apeldoorn met rake klappen en pepperspray: ‘Gesprek had geen kans’ Cem E ook weer zo’n oververhitte kut buitenlander;;;;29;buitenlander;2024-10-04 12_38_17.294265;0.720096766948700;0.005960984155536;0.000046089091484;0.018799884244800;0.001090021687560;0.789230048656464;0.015222135931253;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;e23e88687710dbb6;9c4ca2f5b71690d4;4d4af90689dc1a8e;2024-09-26T09:47:59.000Z;"Herinner jij je Chico Lama nog?
Werd destijds met linkse subsidie in Fabeltjeskrant gedropt door Max van den Berg.
De kromsprekende buitenlander. 
Nederlanders moesten er maar aan wennen.
Was goed voor ze.";3.0;;1.0;243;buitenlander;2024-10-04 12_38_17.294265;0.084114603698254;0.000018928234567;0.000084072882601;0.000032266281778;0.000011603447092;0.024544084444642;0.000100866440334;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;c26c77e1ec9eb689;8f2c45899d3b312f;920b3b725cdf6532;2024-09-29T10:38:46.000Z;Dit heb je ook in mijn gemeente en waarschijnlijk over heel Nederland. Vooral de medewerkers in de gemeente die over de uitkeringen gaan zijn voor 80% buitenlander.;;;;67;buitenlander;2024-10-04 12_38_17.294265;0.172760829329491;0.000021840331101;0.000132892688271;0.000006114101780;0.000006998297067;0.007847397588193;0.000040726994484;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;c9ce4e77a762169a;6fc98ee08042dd46;da76a33092cc91cb;2024-10-02T13:39:26.000Z;"Links & woke Amsterdam heeft geen enkele interrese in onze eigen geschiedenis & oorlogshelden. Liever een buitenlander die geen hond kent in Amsterdam.

Amsterdam vernoemt geen brug naar Soldaat van Oranje: ’Draagt niet bij aan diversiteit’ via @Telegraaf";;;;27;buitenlander;2024-10-04 12_38_17.294265;0.212408363819122;0.000070923168096;0.000047943180107;0.000185122262337;0.000105384940980;0.021242309361696;0.000168175334693;1. Against immigration, migrants, foreigners, refugees, or Muslims.
14;8cdf00841c68e285;0253a379f4138855;f54f8add925a0477;2024-09-30T17:30:15.000Z;Groot deel van dit tuig is of buitenlander of moslim of geestelijk gestoord. Voor alle drie de groep is er een oplossing. 1 en 2 uitwijzen , 3 terug naar wat vroeger paviljoen 3 was in Overveen.;;;;10;buitenlander;2024-10-04 12_38_17.294265;0.900445044040680;0.007071649190038;0.000141638738569;0.000007636976079;0.000010289924830;0.642026424407959;0.000063836989284;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;8b598abadaafb705;159eea4303125de0;4d1cc974738ff725;2024-09-26T14:14:53.000Z;"Nederlander (49) trekt mes naar Spaanse politie na arrestatie: probeerde in te breken                         

u gelooft het echt, een Nederlander! Of een buitenlander met ons internationale vod, dat we vroeger trots “Mijn Nederlandse identiteit,” paspoort noemden";;1.0;2.0;96;buitenlander;2024-10-04 12_38_17.294265;0.163789525628090;0.000546552240848;0.001694102305919;0.001396107138135;0.000138119808980;0.301087796688080;0.013668491505086;1. Against immigration, migrants, foreigners, refugees, or Muslims.
16;0390b13e8af28575;;07e1c9dcbd694dfe;2024-08-19T21:17:59.000Z;"Verkaasde buitenlanders zijn tt gek want hz vroeg een verkaasde buitenlander op me werk. Ben je hier bekend mee? Zou je dat ook vragen aan me witte collega?
likee-never ever heb ik deze shit gehoord. Of een buitenlandse vrouw vroeg hoe ben je hier terecht gekomen? It be your ow";1.0;;;31;buitenlander;2024-10-04 12_38_17.294265;0.413514077663422;0.000007403099971;0.000037476747821;0.000571230193600;0.000012356932530;0.002132236259058;0.000064600026235;1. Against immigration, migrants, foreigners, refugees, or Muslims.
17;020f9f2958893d28;77f2404fb890e12c;40070699743c026e;2024-09-28T20:35:10.000Z;Wat dacht je van dit 'Bruintje'? Deze buitenlander en kleurling kan niet snel genoeg uitgezet worden, terug naar zijn eigen land: Indonesie!;1.0;;2.0;163;buitenlander;2024-10-04 12_38_17.294265;0.416594088077545;0.009016273543239;0.000213074381463;0.000318561505992;0.000318932259688;0.589571475982666;0.000453858170658;1. Against immigration, migrants, foreigners, refugees, or Muslims.
18;3f7f6844c82376d2;61cb7353841e5915;782e30aa45f5f07b;2024-09-23T17:25:19.000Z;"De laffe hond was een buitenlander.
Importeer de derde wereld, wordt de derde wereld.
#asielcrisiswet #asielcrisis
https://nos.nl/ttapp";1.0;;;15;buitenlander;2024-10-04 12_38_17.294265;0.291402369737625;0.000092271511676;0.000103974518424;0.001529433764517;0.000383320468245;0.021203923970461;0.001143024303019;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;b0dccc5dcf52bd98;8f968387a16b6800;5fed79389fc01133;2024-09-03T09:37:17.000Z;Elke keer zie ik witte meisjes verliefd zijn op een buitenlander, wanneer ik.;;1.0;5.0;822;buitenlander;2024-10-04 12_38_17.294265;0.100740313529968;0.000019800276277;0.001418732805178;0.010088538751006;0.002296458231285;0.006609633099288;0.000379380770028;6. Other: incomplete thought on immigration.
20;54507d3d788c1456;1dd856f15a69e63f;725627b0cab9f7f2;2024-10-03T06:28:10.000Z;"Ook in Denemarken zijn ze allang teruggekomen van het anti-buitenlander beleid. 

Waar dit kabinet lekker spruitjes de universiteiten in het Nederlands wil laten doceren, draait Denemarken dat terug want tekorten https://veto.be/internationaal/denemarken-laat-engelstalige-opleidingen-na-twee-jaar-opnieuw-toe/336439…";1.0;1.0;3.0;575;buitenlander;2024-10-04 12_38_17.294265;0.109128072857857;0.000067990076786;0.000306291272864;0.000165131888934;0.000103073209175;0.014776567928493;0.000828329706564;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
