rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;760ee49448e89123;c7db0e7ae9b7bc74;d5e6b500af19b582;2024-09-24T18:05:27.000Z;En wie was er kritisch? Juist, ja. De PvdA. En dat vanwege de verdringing van Nederlandse werknemers en de druk op de lonen. Daarom eiste de PvdA dat gastarbeiders maar twee jaar mochten blijven. /11 @VVD @DilanYesilgoz;1.0;1.0;3;47;gastarbeiders;2024-10-01 17_04_48.163647;0.012380379252136;0.000080388628703;0.000006022567050;0.000470327824587;0.000224455521675;0.002497338224202;0.000394066271838;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;d553585439c160d4;c7db0e7ae9b7bc74;d5e6b500af19b582;2024-09-24T18:06:54.000Z;"De actieve werving van gastarbeiders werd in 1973 door het kabinet-Den Uyl gestaakt; het wervingsverdrag werd gestopt. Voor de jonge lezers: Den Uyl was geen VVD’er. /13 @VVD @DilanYesilgoz";1.0;2.0;4;123;gastarbeiders;2024-10-01 17_04_48.163647;0.001415866659954;0.000001443751557;0.000001029103601;0.000245995353907;0.000209000048926;0.000705852406099;0.000102475787571;5. Is neutral.
3;d56bd74a66351ee1;a059ebd6b03f65c6;1f5b1c22e960d0a5;2024-09-25T16:34:56.000Z;Goede draad. Voor mensen die twijfelen -> https://historiek.net/gastarbeiders-nederland-betekenis-marokko-turkije/135726/…;;;4;265;gastarbeiders;2024-10-01 17_04_48.163647;0.000765472126659;0.000005600775694;0.000011335855561;0.000064650870627;0.000077715398220;0.000445267447503;0.000051788782002;5. Is neutral.
4;9bd2f17c8a7a2e81;b8f5b09425eb8025;457190826e0f2ea1;2024-09-25T10:19:13.000Z;Was er dan niemand kritisch in die tijd? Jazeker. De PvdA. De linkse partij waarschuwde voor verdringing van Nederlandse werknemers en de druk op de lonen. Daarom eiste de PvdA dat gastarbeiders maar twee jaar mochten blijven.;6.0;32.0;243;8,4K;gastarbeiders;2024-10-01 17_04_48.163647;0.011446328833699;0.000059359772422;0.000261230656179;0.000034835087718;0.000183915530215;0.006249436177313;0.000586216454394;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;1644423ca0d042cb;18c8e698e67a7e81;b02c4b400d921556;2024-09-27T02:01:55.000Z;Ik bedoel dat de gastarbeiders indertijd graag wilde assimileren met hun gastland. Ik denk niet dat ze stonden te springen om hun cultuur of religie te importeren naar hier. Latere generaties hebben die drang meer en meer gekregen wat m.i. de verdeeldheid alleen maar voedt.;1.0;;14;1,2K;gastarbeiders;2024-10-01 17_04_48.163647;0.072240635752678;0.000010811166248;0.000623629603069;0.000028205682611;0.000186195218703;0.017209179699421;0.000544078939129;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;fe35887bad7f8f24;03073f718ed81d74;da85485925c0c26c;2024-09-30T14:12:07.000Z;De eerste moslimmigranten in Nederland waren geen #Turkse en #Marokkaanse gastarbeiders, maar #Indonesiërs en #Surinamers uit de koloniën, toont de eerste tentoonstelling van het @moslimarchief. Zie link hieronder voor het hele verhaal.  https://buff.ly/3Y3uPbd #islam #moslims;1.0;6.0;5;598;gastarbeiders;2024-10-01 17_04_48.163647;0.001282870885916;0.000006954990113;0.000000179558015;0.000070416244853;0.000038689613575;0.000098706426797;0.000019353936295;5. Is neutral.
7;ca595020257713f2;855717c44a2d9a1a;b96c950d445a4eb5;2024-09-27T07:55:25.000Z;Je liegt ook, die gastarbeiders kwamen op het geld af, mijnwerkers waren goed betaald in die tijd in verhouding tot andere arbeiders.  Ze kwamen ook uit regio's in Marokko waar er weinig te verdienen viel.;;;5;130;gastarbeiders;2024-10-01 17_04_48.163647;0.012228545732796;0.000005716902251;0.000115977498353;0.000060303180362;0.000040584513044;0.001394371152855;0.000917628989555;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;b1fe46d3343fbf24;481cf487bc5a5e60;69ae89ffac055d21;2024-09-28T07:59:33.000Z;Banen in slachthuizen. Vooral gastarbeiders. In de bouw kunnen ze het dubbele verdienen.;;;3;58;gastarbeiders;2024-10-01 17_04_48.163647;0.061233203858137;0.000651609094348;0.001613353961147;0.000408643973060;0.000092367292382;0.174953177571297;0.022037392482162;5. Is neutral.
9;f020be1960c2f966;77fd91771febafff;9dedcae3ea4a2e6a;2024-09-27T06:16:10.000Z;Mensen en dus ook kinderen kunnen walgelijk zijn. We krijgen via de oveheid en de media te horen dat elk kind veilig moet zijn op school. Iets van 50 jr geleden trof mijn moeder een mes bij mijn jongste broertje aan. Alle jongens van gastarbeiders hebben een mes zei hij, ik moet;1.0;;7;504;gastarbeiders;2024-10-01 17_04_48.163647;0.202125370502472;0.000712905777618;0.001355989021249;0.000150057021528;0.000192788065760;0.628342926502228;0.066680260002613;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;a28797774d570ac3;07bd5ed0e667e1be;7d25f32ba8a80124;2024-09-25T10:44:58.000Z;En vergeet niet dat toen de werkloosheid hoog was en o.a. deze Turkse gastarbeiders minder productief waren, ze in de WAO werden gedumpt door de werkgevers. De Nederlandse taal niet spreken woog mee als criterium. En Kok ( PVDA) heeft de WAO vereisten daarna aangepast.;2.0;;10;906;gastarbeiders;2024-10-01 17_04_48.163647;0.096113115549087;0.000035468674469;0.000527076830622;0.000054616823036;0.000122019751870;0.009829771704972;0.000119303229439;5. Is neutral.
