rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;a81958a2a477ff22;77cdd2206289c043;ee9cd68faa969cf8;2024-09-25T16:14:00.000Z;Dit zijn geen vluchtelingen maar gelukzoekers.;1.0;;10;128;gelukzoekers;2024-10-02 10_26_53.907574;0.531615376472473;0.000000368361242;0.000000539224061;0.000001360264946;0.000000435733938;0.004224641248584;0.000008505066944;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;2b95cd412284211e;e29a7f31cac05abc;0ae8adb9c5e5ee78;2024-09-22T19:13:40.000Z;Heel goed links moet  goed afgestraft worden .ze hebben zoveel gelukzoekers binnen gehaald.Ze  hebben zoveel kapot gemaakt in ons http://land.Nu mag rechts de troep op ruimen .;;;2;23;gelukzoekers;2024-10-02 10_26_53.907574;0.692098557949066;0.045453630387783;0.000000418432677;0.000592950382270;0.000071888025559;0.718390882015228;0.000519300403539;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;6d55686ae042e15b;cf672d5ba48061bc;26318ceefa5be0fb;2022-10-01T18:53:13.000Z;"En ondertussen maken gelukzoekers op tiktok reclame voor onze super-de-luxe luxe vijfsterren-opvanglocaties op cruiseschepen. 

Dit kabinetsbeleid is gestoord, krankzinnig en ziek. 

Onze mensen krijgen een kruimel, vreemdelingen krijgen alles.";667.0;2,1K;6,4K;/geertwilderspvv###/geertwilderspvv###/geertwilderspvv/status/1576284114906673152###/i/status/1576248453013069824;gelukzoekers;2024-10-02 10_26_53.907574;0.060942519456148;0.000011656672541;0.000011470769095;0.000107014326204;0.000056797689467;0.006918106693774;0.001224114443175;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;883de0f9a6dc8245;f88c1bcca191203f;8aaf9f2f69e06a74;2024-09-30T08:52:50.000Z;Gemeente kan MAKKELIJK  en SNEL Geld halen bij jouw en mij !  Dat gaat altijd supersnel en vlot.  Ra Ra  ?   Gelukzoekers  worden altijd Beschermd helaas;1.0;1;2;38;gelukzoekers;2024-10-02 10_26_53.907574;0.202159836888313;0.001324190990999;0.001482324325480;0.000106769388367;0.000079167097283;0.134215742349625;0.005804762709886;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;519ad72fff571509;b904f1f1972d4555;cbdeb30955ffdff2;2024-09-25T11:56:18.000Z;Gelukzoekers!;2.0;3;18;481;gelukzoekers;2024-10-02 10_26_53.907574;0.003103777999058;0.000020793517251;0.000216933389311;0.001395449857227;0.000235683037317;0.000776408764068;0.000203558156500;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;e8ade0aafe7e5493;d797d6810594eb4c;d200c2be1e48eada;2024-09-23T17:54:24.000Z;Uiteraard mag NL dit ophoesten voor de invasie kansenparels uit alle windstreken. Terwijl het zoveel goedkoper kan, een tentje als dit kan wel  2 personen herbergen, en bij normaal gebruik gaat ie maanden mee. En het levert niet zo'n aanzuigende werking voor nog meer gelukzoekers;1.0;4;23;430;gelukzoekers;2024-10-02 10_26_53.907574;0.207290813326836;0.002254261169583;0.001377952401526;0.000167305086506;0.000012894761312;0.106246218085289;0.000694590038620;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;7ededd901df6d29d;422329c37243dd54;036e7d080f8ae5aa;2024-09-24T15:14:05.000Z;Plaats genoeg in hun f#cking eigen land,zijn dienstweigeraars en gelukzoekers.;;;2;50;gelukzoekers;2024-10-02 10_26_53.907574;0.974878132343292;0.000220322777750;0.000014768275832;0.000044764197810;0.000000401738617;0.241811856627464;0.000055724900449;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;61006287a12bf397;1a4540bfcfd1bcfd;7d4d11b72a4ad09b;2024-09-29T22:10:07.000Z;Links is zelf schuldig hieraan, zolang links de asiel crisis ontkent en gelukzoekers binnenhaalt of het Sinterklaas is en ten koste van de belasting betaler van een gaaf gratis onderdak en verzorgd leven voorziet , dan jaagt de linkse kerk de belasting betaler zelf naar rechts;1.0;;4;78;gelukzoekers;2024-10-02 10_26_53.907574;0.579705417156219;0.000089470573585;0.001047472003847;0.000208959594602;0.000097731426649;0.050510697066784;0.000074746792961;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;73aa7ecc420f2111;5404a5153d4a5a85;5725affbdaa67046;2024-10-01T16:31:32.000Z;"Zoekplaatje. Waar zijn de chirurgen,  advocaten en architecten?
#asielzoekers #gelukzoekers #Israel #Libanon #Hezbollah‌";3.0;7;9;322;gelukzoekers;2024-10-02 10_26_53.907574;0.004428173881024;0.000050842587370;0.000006640392712;0.000026024477847;0.000002784052640;0.000566742790397;0.000033774053009;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;343df9242b73e537;c60156c11a25d8b0;e67af6dad5f2a5b0;2022-11-09T11:16:18.000Z;Bij het AZC in Ter Apel worden nu automobilisten bekogeld door gelukzoekers die @VVD onbeperkt ons land binnen laat.;613.0;1,5K;3,2K;/GidiMarkuszower###/GidiMarkuszower###/GidiMarkuszower/status/1590302256444112896###/VVD;gelukzoekers;2024-10-02 10_26_53.907574;0.310426115989685;0.000047831159463;0.000001412936285;0.000132526489324;0.000003063780241;0.512321949005127;0.000673636852298;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;30825f7775392b1c;d7bb53dca2ae574b;d3642ad6145b54a6;2024-09-19T11:36:22.000Z;"Gooi die gelukzoekers tuig toch de grens over .   

INLIA schiet Ter Apel opnieuw te hulp: 'Dit is geen asielcrisis, maar politieke onwil' https://rtvnoord.nl/politiek/1213515/inlia-schiet-ter-apel-opnieuw-te-hulp-dit-is-geen-asielcrisis-maar-politieke-onwil… #rtvnoord";;;;38;gelukzoekers;2024-10-02 10_26_53.907574;0.094089932739735;0.001731648342684;0.000238132444792;0.000165946665220;0.000033879601688;0.277006626129150;0.000259299878962;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;a6f4bcc8691d8abb;cf672d5ba48061bc;26318ceefa5be0fb;2022-08-16T18:18:43.000Z;"Einde democratie. 
Ze worden gemeentes door de strot geduwd. Massa’s gelukzoekers. Die ons land helemaal kapot maken. Onze straten onveilig maken, Dit kabinet gedraagt zich als een totalitaire bezetter die lak heeft aan de lokale democratie.";424.0;1,1K;4,2K;/geertwilderspvv###/geertwilderspvv###/geertwilderspvv/status/1559605591055687688###https://t.co/pOYkHZpUAz###https://t.co/pOYkHZpUAz;gelukzoekers;2024-10-02 10_26_53.907574;0.293845951557159;0.000144395409734;0.000118225441838;0.000172888278030;0.000090520719823;0.216010749340057;0.002865833928809;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;df737e03de19f739;499fd1f65e2005b1;d11060a34e878191;2024-09-25T06:10:59.000Z;Nederland sta op en laat je horen. Stop gelukzoekers en al het andere uitschot. Stop #Links boycot de zorgverzekeraars @zorgenzekerheid  en al die andere uitbuiters. #zorgpremie;;;1;321;gelukzoekers;2024-10-02 10_26_53.907574;0.447191238403320;0.008839150890708;0.002400908386335;0.000302932108752;0.000016523446902;0.057073168456554;0.000039608701627;1. Against immigration, migrants, foreigners, refugees, or Muslims.
14;aa3e1b0355756bc6;7706c4fa02b8f543;4a285419cec29974;2024-09-28T13:38:01.000Z;"Vluchtelingenwerk is vervreemd van onze samenleving. Ze zadelen ons al jaren op met gelukzoekers in plaats van oorlogsslachtoffers. Ze zijn mede verantwoordelijk voor de ""bezetting"" van Nederland door barbaarse religieuzeculturen.  De meerderheid heeft hier genoeg van.";1.0;3;34;261;gelukzoekers;2024-10-02 10_26_53.907574;0.793670177459717;0.006581115070730;0.000047165369324;0.000018420232664;0.000025162566089;0.389942228794098;0.000695966300555;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;584e9031f2b8f537;44ac58cc04d635a1;08c5b5109e264084;2024-10-01T16:35:33.000Z;"Gerard ze zijn compleet de regie kwijt.
De sluizen staan wijd open.
Die gelukzoekers lachen hun eigen een breuk, ze hebben nog nooit zoiets meegemaakt dat je alles gratis krijgt.
NEDERLAND IS GEK GEWORDEN!";1.0;1;3;27;gelukzoekers;2024-10-02 10_26_53.907574;0.607415199279785;0.001892706961371;0.000184775577509;0.000442604970885;0.000060944712459;0.130759090185165;0.000610975665040;1. Against immigration, migrants, foreigners, refugees, or Muslims.
16;a8ccbfafa535ccb6;e6e09d4220e5d9b0;fcb4b75c284a4ca8;2022-01-31T17:23:53.000Z;"Gelukzoekers? Dat waren onder meer: 
Onze vader (roots in Duitsland)
Onze moeder (roots in Indonesie)
Echtgenote Wilders (roots in Hongarije)
Minimaal 1 ex van mij (roots in Duitsland)

Per saldo: de gehele familie #Wilders uiteindelijk. Nuff said. #PVV #gelukszoekers";390.0;1,4K;5,1K;/paul_wilders###/paul_wilders###/paul_wilders/status/1488201383144833024###/hashtag/Wilders?src=hashtag_click###/hashtag/PVV?src=hashtag_click###/hashtag/gelukszoekers?src=hashtag_click;gelukzoekers;2024-10-02 10_26_53.907574;0.003286343766376;0.000017855880287;0.000039221846237;0.000134682006319;0.000183483236469;0.000200484879315;0.000065020976763;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
17;a3d9b62baa539b73;40e289e6bb370711;6f22f578b4f017bd;2024-09-29T14:41:23.000Z;"Met valse papieren in het vliegtuig gestapt naar Nederland gevlogen niet te filmen dit  
2 keer is zn asielaanvraag geweigerd en terecht !
Eruit trappen deze gelukzoekers 
Met alle Oekraïense parasieten terug moeten maar niet willen.";2.0;;33;893;gelukzoekers;2024-10-02 10_26_53.907574;0.968236446380615;0.008612025529146;0.000469094287837;0.000454297754913;0.000152792810695;0.415708959102631;0.000149746992974;1. Against immigration, migrants, foreigners, refugees, or Muslims.
18;5217687d3dda6a7c;b8def65498e84870;16ce2a3cf0f91701;2024-09-23T12:36:23.000Z;Gelukzoekers reizen 7 of 8 veilige landen door om hier te komen...Dat zijn geen asielzoekers maar gelukzoekers en opportunisten...(en veel criminelen)...NL staat wereldwijd bekend als 'alles-gratis-nooit-meer-werken' land...BizarNederland gaat he-le-maal kapot aan asielgekte;;2;18;354;gelukzoekers;2024-10-02 10_26_53.907574;0.715537786483765;0.000232162070461;0.000552208337467;0.000039356771595;0.000010575753549;0.020201304927468;0.000168555809068;1. Against immigration, migrants, foreigners, refugees, or Muslims.
