rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;0778397f5dca9b07;9dbae9ff42597659;d539c397f3193592;2024-09-22T18:27:50.000Z;"""Als Amerikaan kan ik maar 90 dagen in Europa verblijven, maar als ik immigrant ben, kan ik voor altijd verblijven? 

* Linkse deugers in een notendop!!";12;18;42;14K;immigrant;2024-10-02 10_26_53.907574;0.724994361400604;0.000014334071238;0.000012659378626;0.000125282662338;0.000059377154685;0.011843060143292;0.000239331769990;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;616b12d922d698e1;8334189876be0d2e;8b6d2f118209a58e;2024-09-29T12:27:08.000Z;"Inteelt immigrant zet zijn voet op een lege stoel in een bus, terwijl Europese vrouwen staand wachten, hier haalt Frans Timmermans kracht en rijkdom uit, en lakei Leo Lucassen probeert iedereen wijs te maken, dat het allemaal wel mee valt en we ze nodig hebben.

Stop de INTEELT";9;25;71;2,9K;immigrant;2024-10-02 10_26_53.907574;0.303026139736175;0.000200660244445;0.000010073634257;0.000219679015572;0.000064690582803;0.018152132630348;0.000173415101017;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;5c41bfdc443976b9;d52d4ffeeac6be59;221508436b609d54;2024-09-25T03:13:43.000Z;Whuut?;;;3;143;immigrant;2024-10-02 10_26_53.907574;0.000347447115928;0.000000443819829;0.000012292193787;0.000257243984379;0.000003445142966;0.000121879500512;0.000007631129847;6. Other: unclear position on immigration.
4;235f4a8730019215;5c1c25c3f2854d51;e817dc2db8addd14;2024-10-01T07:48:43.000Z;Nou moe.;1;;2;65;immigrant;2024-10-02 10_26_53.907574;0.011650375090539;0.000003967042630;0.000278365681879;0.002026623114943;0.000107785708678;0.002439160831273;0.000141652926686;6. Other: unclear stance on immigration.
5;90c80f88a1b411a1;34db91fc798c8192;002c3c876290666b;2024-09-26T09:41:48.000Z;"Opnieuw beelden van een immigrant die een blanke jongen zwaar toetakelt: kaak gebroken, tanden uit zijn mond en oogkas zwaar beschadigd.

Voor elk incident dat op beeld staat, zijn er nog talloze die ongezien blijven. De multiculturele nachtmerrie laat niets heel van onze";170;378;867;37K;immigrant;2024-10-02 10_26_53.907574;0.218989625573158;0.008537930436432;0.000079851830378;0.000545915972907;0.000140219271998;0.952798008918762;0.572717785835266;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;87c7d7ac4f64e540;be725da4ea7263b0;857f19aecb1afed6;2024-09-27T18:22:03.000Z;"Ondertussen in Parijs: studente (Sciences Po) trekt posters van de muur van de vandaag begraven Philippine(19).

Haar lichaam werd zaterdag gevonden, de verdachte is een veroordeelde verkrachter en illegale immigrant die in juni werd vrijgelaten.

Waarom?";34;152;457;328K;immigrant;2024-10-02 10_26_53.907574;0.007585115730762;0.000069768240792;0.000014756844394;0.035879261791706;0.007419886533171;0.198461920022964;0.015017244964838;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;178c06dd81c70f27;f5e150af3be2572b;27d9f051e27d1bb6;2024-09-28T16:21:06.000Z;"Franse studente Philippine is in Parijs vermoord door een Marokkaanse immigrant. Hij heeft eerder vastgezeten voor verkrachting en zou worden uitgezet. Dit is echter nooit uitgevoerd door bureaucratisch geneuzel. 

Wanneer is er genoeg bloed vergoten? We moeten per direct de";2;24;90;2K;immigrant;2024-10-02 10_26_53.907574;0.508134245872498;0.255010575056076;0.000184514647117;0.023419285193086;0.000541605695616;0.931750059127808;0.049456644803286;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;ea2b42dd1965449a;e16d88d88707842a;a326ec5a529f611b;2024-09-23T21:14:30.000Z;En een video van Rosanne Hertzberger die immigranten uit de samenleving wil weren. Omdat zij nergens last van wil hebben. En een minister die tegen een immigrant zegt dat ie even moet opkrassen omdat je ook niet weet wat er in een frikadel zit.;;;2;105;immigrant;2024-10-02 10_26_53.907574;0.078840479254723;0.000281903659925;0.000248599331826;0.000098512435216;0.000017295780708;0.242023885250091;0.001833190675825;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;5439943844f2cba7;fc0aa5137eeb95d8;869dd72a8afafb54;2024-09-26T10:33:29.000Z;Triest dat FvD vol op het anti-immigrant orgel gaat om bruinhemd stemmen te trekken. Immigratie is niet het probleem maar niet optreden tegen criminaliteit is het probleem. De politie is van straat gehaald om onveiligheid te scheppen en een controlestaat te organiseren.;2;;3;147;immigrant;2024-10-02 10_26_53.907574;0.716053843498230;0.000513047329150;0.000197942092200;0.000021692349037;0.000026268258807;0.240491494536400;0.000507414282765;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
10;2d318beaa1a2bb11;8334189876be0d2e;8b6d2f118209a58e;2024-09-30T12:31:01.000Z;"LAATSTE NIEUWS

De 17-jarige bokser Kylian Binard werd gisteren door een Algerijnse immigrant doodgestoken buiten een nachtclub in Bayeux, Frankrijk.

Frans Timmermans en de Linkse deugneuzenbrigade willen dit tuig massaal binnen laten, steken, roven, verkrachten doen ze";;4;9;514;immigrant;2024-10-02 10_26_53.907574;0.963717401027679;0.005528210662305;0.000016059068003;0.150062724947929;0.052011061459780;0.969159781932831;0.043899934738874;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;c4f2be710b3cfec2;3379bc8f1317e601;3529ef16295981a7;2024-09-26T09:36:15.000Z;Eens, maar Trump strijkt op geen enkele manier met de overgrote meerderheid van de christelijke waarden. Anti-immigrant, seksueel extreem losbandig, machtswellustig, geen compassie voor armen maar voor rijken, etc. Die hypocrisie mag best eens worden blootgelegd;;;4;64;immigrant;2024-10-02 10_26_53.907574;0.103233218193054;0.000119354888738;0.000048204678023;0.010838828049600;0.000702431367244;0.008569366298616;0.001042919466272;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
12;969e3d477ad3c3f7;5f98d073b1783c9a;b0e77a7e563f310a;2024-09-28T14:03:34.000Z;Stilstaan bij de verkrachting van en moord op een Frans meisje door een immigrant = fascisme.;6;19;58;1,6K;immigrant;2024-10-02 10_26_53.907574;0.370176047086716;0.000955007853918;0.000009805618902;0.012139207683504;0.000461155723315;0.480273842811584;0.001629279344343;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;eb500c5d81d3e913;f626698638524db2;c716ffb0bc2ec757;2024-09-29T15:06:35.000Z;Mijn Mexicaanse immigrant is met een waterkanon aangevallen, terwijl hij niet eens aan het demonstreren was. Ik heb hem naar mijn woonkamer geëvacueerd.;3;;7;475;immigrant;2024-10-02 10_26_53.907574;0.122715242207050;0.000189065147424;0.000025924748115;0.000406664621550;0.000004486115358;0.698390543460846;0.057383310049772;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
14;73f26844f6a34eeb;45e2a27feebd850a;2dd1d0ed5114dce1;2024-09-23T13:22:47.000Z;"Tom Jan Meeus, een mavoklant, en Roos Vonk (berispt om onzorgvuldig handelen!) verkneukelen zich over de afwijzing van het proefschrift van @Martinbosma_pvv door @UvA_Amsterdam.
Een universiteit die n boek van @Leolucassen gebruikt waarin hij zegt dat Rembrandt een immigrant was";1;;15;2,5K;immigrant;2024-10-02 10_26_53.907574;0.096725925803184;0.000017214852051;0.000206753204111;0.005032618995756;0.002676474628970;0.013792685233057;0.001609727274626;6. Other: Criticizes individuals and university.
