rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;24f0c03e3d8f3c5d;0b54bfd23e4b8bef;9aba06297dc5c37e;2024-10-10T06:07:51.000Z;"Europa terug voor ons.
Overdreven immigranten gaat Europa teniet doen.
Wie dit niet ziet of wil zien is waarschijnlijk Links naïef.";;1;2;145;immigranten;2024-10-18 16_04_37.370274;0.629027128219604;0.002634187228978;0.000001257221697;0.000048857415095;0.000010414545613;0.214975669980049;0.000075284311606;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;673f6bbe71b05e4c;0b54bfd23e4b8bef;9aba06297dc5c37e;2024-10-10T06:15:27.000Z;Hoeveelheid immigranten = hoeveelheid ondergang,verarming.;1;1;2;132;immigranten;2024-10-18 16_04_37.370274;0.784877061843872;0.001092806574889;0.000061815204390;0.000035508983274;0.000044839907787;0.012193454429507;0.000133364432259;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;4f88f72f35a1e9b6;04a6c8386cc6e785;95f20bfb50793072;2024-10-08T12:16:07.000Z;RUST IN VREDE Nederland  !!!!!  Je bent te zacht voor de immigranten, te hard voor onze mensen!!!! Je hebt de kosten van levensonderhoud zo hoog gemaakt dat beide ouders altijd aan het werk zijn, in plaats van tijd door te brengen met hun kinderen.;2;8;24;545;immigranten;2024-10-18 16_04_37.370274;0.356384694576263;0.000053454106819;0.000024194683647;0.000171277977643;0.002808543620631;0.016116024926305;0.000025005858333;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;fec45e2211167b74;fa129050d030e534;456634848fa0335c;2024-10-16T07:40:09.000Z;Ff door de zure appel heen bijten. Als immigranten merken dat Nederland geen walhalla is voor ze komen ze niet meer en blijven ze in de regio. De ouders zijn verantwoordelijk!;;;3;25;immigranten;2024-10-18 16_04_37.370274;0.375198423862457;0.000452949025202;0.002880887594074;0.000064732797910;0.000164355718880;0.191318437457085;0.000136880669743;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;b13d36acb916a263;0d1797b517cf790e;559e0d44586d4044;2024-10-16T14:46:33.000Z;We worden zo bedonderd. Dit is geen democratie meer. Immigranten blijven komen terwijl het merendeel dit niet wil. Boeren moeten weg.2e huisje weg. ze pakken alles af. Wat een gaaf land.;;;7;72;immigranten;2024-10-18 16_04_37.370274;0.603357076644897;0.000929078727495;0.000001499494033;0.000008091189557;0.000007746033589;0.475210249423981;0.000081964957644;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;dafb73e35d196ead;6bfa671ccc5cdfd5;32ca509fb20ea27f;2024-10-11T18:25:04.000Z;Daar heb je het al. Die oorlog komt er, omdat jullie dat willen je hebt de oorlog zelf binnengehaald , met al die immigranten,+ nog andere calamiteiten. En bedankt, hoop dat Trump dit nog kan, die is niet zo oorlogs ziek.!!!;21;24;77;1,8K;immigranten;2024-10-18 16_04_37.370274;0.703353166580200;0.003776342608035;0.000201383809326;0.000042910560296;0.000003049261068;0.634363830089569;0.000046483841288;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;70c0f4d7734399a6;8a5d72faecff97fa;28d42ada74809703;2024-10-11T18:00:31.000Z;"Als je de bevolking in elk land zou vragen om massaal immigranten binnen te halen dan zal 99,99% tegen zijn.
Toch roept links die ze binnenhaalt dat ze een democratie zijn en de wil van het volk uitvoeren.
Ze snappen het volk dus niet. Maar des te meer hun eigen regenboogdromen.";;4;11;95;immigranten;2024-10-18 16_04_37.370274;0.329646766185760;0.000013624872736;0.000023844653697;0.000034610682633;0.000018213502699;0.034874748438597;0.000288899638690;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;89ca5973c41df0df;ecf90afa69b597ef;4ab161bb7da98fe0;2024-10-06T17:34:05.000Z;"RUST IN VREDE Nederland  !!!!!

Je bent te zacht voor de immigranten, te hard voor onze mensen!!!!
Je hebt de kosten van levensonderhoud zo hoog gemaakt dat beide ouders altijd aan het werk zijn, in plaats van tijd door te brengen met hun kinderen.
Nederland je zult oogsten wat";124;643;1,7K;55K;immigranten;2024-10-18 16_04_37.370274;0.556304574012756;0.011068318039179;0.000045820630476;0.000270738964900;0.001085889525711;0.391483843326569;0.000170592611539;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;73d887dfb92a9825;727625507cfc03cc;bd889935bc27e8b5;2024-10-11T16:47:33.000Z;Hoe lang blijven we als NEDERLAND NOG LID VAN DE EU, U de burger vind toch ook dat de prijzen voor het levensonderhoud onbetaalbaar zijn, KIJK KIJK lees even mee, EU, MASSA IMMIGRANTEN, BOERWN EN VISSERS WEG,  NEXIT Bekijk de video van Best-Talk! #TikTok;;1;2;43;immigranten;2024-10-18 16_04_37.370274;0.332699328660965;0.030398223549127;0.027193093672395;0.000110131353722;0.000535698083695;0.181855693459511;0.000665186729748;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;6d404b0b2e3bcd9c;9dc223d4d7f66c05;f5c8ff3bed017b50;2024-10-10T21:44:02.000Z;"""De Spaanse premier Sánchez wil de stroom migranten naar de Canarische Eilanden verminderen en legale migratie vergemakkelijken.""";;2;4;148;immigranten;2024-10-18 16_04_37.370274;0.024609476327896;0.000040532569983;0.001690096454695;0.000072402079240;0.000129250547616;0.002452105283737;0.000097013318737;5. Is neutral.
