rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;a387f4469dd51998;c518fdece4cc8a12;d45c0f80d095bf30;2024-10-09T11:17:38.000Z;"""Angsthaas"" vonderLeyen durfde Orban niet aan te kijken...omdat Orban wel gelijk heeft! https://nypost.com/2024/02/13/opinion/migrant-crime-is-turning-cities-into-war-zones/…";;22;137;2,2K;migrant;2024-10-15 11_09_22.504745;0.099031597375870;0.000113884423627;0.000036437962990;0.000038956884964;0.000036833131162;0.014572961255908;0.000159910254297;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;4232f9aa546a48d6;64c00a9ea91aa246;8c0276d2185d9f94;2024-10-08T04:31:00.000Z;‘Open borders’  https://cbsnews.com/news/u-s-mexico-border-migrant-crossings-reach-new-biden-era-low/…;1;4;11;107;migrant;2024-10-15 11_09_22.504745;0.000214074432733;0.000001129260113;0.000003783130978;0.000047601908591;0.000002873427547;0.000171115549165;0.000033513209928;5. Is neutral.
3;a7b76578390de08f;e72bf2cdaa2a3cce;93a969571e1d7c6d;2024-10-14T16:38:40.000Z;"Een #asielzoeker uit #Bangladesh zit in hechtenis en wordt beschuldigd van het verkrachten en zwanger maken van een 10-jarig meisje in een opvangcentrum voor migranten in #Italië.
https://rmx.news/article/italy-10-year-old-child-undergoes-abortion-after-rape-by-bangladeshi-migrant-in-asylum-center/… via @RMXnews";;2;4;68;migrant;2024-10-15 11_09_22.504745;0.003790443763137;0.000729111314286;0.000067307824793;0.781384348869324;0.738856017589569;0.370444595813751;0.004862636327743;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;e7ce688080d14423;675fc69c860d25e1;5a33d4fc0ecfeaf7;2024-10-11T15:30:42.000Z;Begrafenisondernemer geschokt: migrant verkracht het lijk van een man https://dissident.one/begrafenisondernemer-geschokt-migrant-verkracht-het-lijk-van-een-man… via @DissidentNI Zou hij dat in zijn land van herkomst ook hebben gedaan.;6;6;15;151;migrant;2024-10-15 11_09_22.504745;0.140738204121590;0.001932738930918;0.000259836378973;0.517526626586914;0.028568800538778;0.774493753910065;0.078869573771953;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;0fab66ceef78c8dc;16d530cc21abf4ed;a7a4c5dae2ebea03;2024-10-11T21:14:46.000Z;"Het gaat ze helemaal niet om een migratieachtergrond. Het gaat puur om een bepaald type migrant óf nazaat daarvan.
De volledige leiding heeft nota bene zélf een migratieachtergrond danwel een verhouding met een migrant.";5;1;73;2,2K;migrant;2024-10-15 11_09_22.504745;0.026695819571614;0.000004769335646;0.000038583864807;0.000007126021956;0.000002182219760;0.001102726673707;0.000061957194703;5. Is neutral.
6;01a9be4a104e9269;50e28aba43ae83fd;9c7a2cda464ef610;2024-10-07T03:07:46.000Z;Één geïntegreerde migrant. Zie jij je al als Nederlander zo te keer gaan in Mekka tegen de lokale bevolking? Misschien iets met fatsoen te maken?;94;94;270;12K;migrant;2024-10-15 11_09_22.504745;0.077592499554157;0.000104728867882;0.008131331764162;0.001344089396298;0.000499035115354;0.092264667153358;0.006342382170260;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;084dd7268c2a1144;3b36a5a1d4cfd023;ad618a11dc5e6345;2024-10-12T17:20:29.000Z;Wat is eigenlijk de kwalificatie voor de term migrant? Is een Australier die hier aan het werk is in een knelpuntberoep een migrant? Is iemand uit Suriname die aan het werk is een migrant? Want ik heb er zo 2 die actief bijdragen,werken,huur en alle belastingen betalen 1/2;1;;2;224;migrant;2024-10-15 11_09_22.504745;0.122260019183159;0.000120284814329;0.000245373696089;0.000032937095966;0.000012839125702;0.001955051906407;0.000075594078226;5. Is neutral.
8;bdcdbd6206ba3792;f98dfa8ccff47905;a6d06b49b5567c27;2024-10-09T10:13:11.000Z;"Eerste Kamer draagt minister Faber op aan spoedwet asiel te werken https://nos.nl/artikel/2540050-eerste-kamer-wil-liever-spoedwet-asiel-dan-noodrecht-van-minister-faber…

""Wij gaan niet instemmen met noodwet, die in strijd is met de democratische rechtsstaat"" #democratie #rechtsstaat #Migrant #asielbeleid #asielzoekers #Migranten";1;2;6;1,1K;migrant;2024-10-15 11_09_22.504745;0.007134106475860;0.000025165591069;0.000052357318054;0.000119440839626;0.000378644763259;0.001556944451295;0.000086994819867;5. Is neutral.
9;d8bd61162b150d64;3988cec618a4300a;bde2800c4cac7a63;2024-10-07T14:42:34.000Z;Precies. Terwijl huiselijk geweld een crisis met een noodwet waard is. 1,1 miljoen slachtoffers per jaar. Maar het komt pas in de krant als een migrant de schuld kan krijgen. En actie of een oplossing volgt al helemaal niet.;;4;9;69;migrant;2024-10-15 11_09_22.504745;0.087290719151497;0.000083085884398;0.004223789088428;0.000460729963379;0.000760725350119;0.210872918367386;0.004385962616652;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
10;;;;;This post is unavailable.;;;;;migrant;2024-10-15 11_09_22.504745;0.000118929085147;0.000000015512335;0.000000097311784;0.000661179888994;0.000003063055601;0.000033176205761;0.000041807754315;
11;;;;;This post is unavailable.;;;;;migrant;2024-10-15 11_09_22.504745;0.000118929085147;0.000000015512335;0.000000097311784;0.000661179888994;0.000003063055601;0.000033176205761;0.000041807754315;
12;8c1ca2bdf613a021;bd7b5ab7d8b3e2ef;c511c13529da1c5f;2024-10-13T19:42:48.000Z;Geleerde politieke kopjes die teneinde raad waren kozen na de migrant om de jeugdkiezers  aan te boren als goudmijn. Blijkt nu toch dat die liever Instagrammen, TikTokken of in hun nest bleven liggen. Dat viel ferm tegen.;;;3;41;migrant;2024-10-15 11_09_22.504745;0.186466097831726;0.000315860612318;0.000124176804093;0.000525757961441;0.001054726657458;0.026146452873945;0.000538380350918;5. Is neutral.
13;5883f15a118c160d;f8172f049cf26bba;2f0f9fc769281523;2024-10-07T19:27:38.000Z;Die migrant uit West-Vlaanderen die altijd maar bezig is over 'onze' stad enerveert mij. Die ontkent flagrant dat Antwerpen een internationale, diverse stad is en wilt iets opleggen dat Antwerpen niet was, niet is en niet zal zijn.;;;7;976;migrant;2024-10-15 11_09_22.504745;0.307608962059021;0.000007708338671;0.000166789017385;0.000157985457918;0.000016466754460;0.009098977781832;0.000111694185762;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
