rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;6a5695b19f2122e3;e96e536bfed7d12a;59d2013510f52df9;2023-05-15T06:13:01.000Z;Uitstekend idee dit @StasJenV !? Zo draai je het verdienmodel van de mensensmokkelaars de nek om en dan stokt migratie vanzelf. Ietsom over na te denken toch!? #migrantcrisis;;;;16;migrantcrisis;2024-10-12 11_04_33.324198;0.108791477978229;0.002765034558252;0.000172852334799;0.000045652624976;0.000004703967988;0.043769866228104;0.000238612687099;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;ea4e301f4c5c0f30;e72bf2cdaa2a3cce;93a969571e1d7c6d;2023-03-26T19:12:47.000Z;"Volle boot met #gelukszoekers onderweg Luilekkerland.
#ASIELSTOP #migrantcrisis";43.0;67.0;77.0;4K;migrantcrisis;2024-10-12 11_04_33.324198;0.002384479856118;0.000038576694351;0.000088939850684;0.000672064255923;0.000260375294602;0.000345456675859;0.000014890334569;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;20e4492af6ff8ad1;74607ab5486101c8;3f4b06727f5114f1;2024-08-26T12:05:33.000Z;"Opnieuw 301 illegale migranten aangekomen in Lampedusa op 8 boten 

Vandaag arriveerden 301 migranten in Lampedusa, terwijl er gisteren al 450 aankwamen. De korte termijn opvangcentra zijn inmiddels overvol. Een nieuwe migrantcrisis lijkt zich te ontwikkelen op Lampedusa";4.0;5.0;2.0;379;migrantcrisis;2024-10-12 11_04_33.324198;0.078819736838341;0.000735753739718;0.000207481512916;0.002849531592801;0.004227765370160;0.019401161000132;0.000215249863686;5. Is neutral.
4;b3b1312ccdcea55b;30de264b292732e5;6d2942f8760f3370;2023-01-26T22:13:55.000Z;"De beste grappen hoor je in verkiezingstijd
in 1 jaar 402.000 migranten zonder uitnodiging.
#verkiezingen #VVD #D66 #groenlinks #Politiek #migrantcrisis #Mensenhandel zonder Grenzen ( op andermans kosten ) #Politiek";;;;83;migrantcrisis;2024-10-12 11_04_33.324198;0.020132267847657;0.000053326108173;0.000014462745639;0.000924904481508;0.000078056524217;0.003248497843742;0.000097952834039;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;c4ac8fde51ab3d2f;28fbc175ccf963db;5915afe945514a83;2021-08-27T21:31:25.000Z;"#Afghanistan #migrantcrisis 
Oef, wat een opluchting zeg !
#simplisme bij @vrtnws";;;2.0;/Belgonerd1###/Belgonerd1###/Belgonerd1/status/1431368780437929984###/hashtag/Afghanistan?src=hashtag_click###/hashtag/migrantcrisis?src=hashtag_click###/hashtag/simplisme?src=hashtag_click###/vrtnws;migrantcrisis;2024-10-12 11_04_33.324198;0.011305084452033;0.000006193373792;0.000071519745688;0.000194654188817;0.000074605522968;0.000812798738480;0.000085416926595;5. Is neutral.
6;48445a75892f070d;1934fec4d9309d32;a22310a113639dbb;2022-07-18T08:43:16.000Z;"Een paspoort kopen vind EU niet leuk.

Men moet namelijk afhankelijk zijn, jarenlang in de migratiemolen hangen, zodat alle migratiebaantjes intact blijven.

Zomaar een zak geld op tafel leggen, dat is veelste efficient!

#migrantcrisis #miljonairs";;;;/Democratikusje###/Democratikusje###/Democratikusje/status/1548951525141118980###/hashtag/migrantcrisis?src=hashtag_click###/hashtag/miljonairs?src=hashtag_click;migrantcrisis;2024-10-12 11_04_33.324198;0.085448749363422;0.000053530671721;0.000011912257833;0.000029692075259;0.000005044983482;0.000999555923045;0.000094048366009;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;cb0b5059b8a4d694;3947eb5bdd00c1cb;07a7c39c709d04d1;2022-10-25T13:02:09.000Z;"Amper 25 km de EU-grens over. Kamp bij het Servische Sombor. Duizenden jonge mannen,
vooral uit Syrië, stranden hier. Volgende hindernis: het hek van Orbán #migrantcrisis";7.0;11.0;13.0;/tijnsadee###/tijnsadee###/tijnsadee/status/1584893076312817664###/hashtag/migrantcrisis?src=hashtag_click;migrantcrisis;2024-10-12 11_04_33.324198;0.003769404720515;0.000037152007280;0.000851715274621;0.000660121790133;0.000452414358733;0.003285614540800;0.000265500246314;5. Is neutral.
8;9f4e6bc65f0c49a3;ed5324cd4ee8b88f;2dc80c0a078bfdcd;2022-07-30T18:50:55.000Z;"Er móét gewoon een verdienmodel aan ten grondslag liggen getuige de vele tripjes tussen Libië en Italië van #NGO-schepen, die met volledig medeweten en goedkeuring van de #EuropeseUnie 1000-en #migranten Europa in smokkelen. 
#migrantcrisis #Immigration";3.0;55.0;54.0;/CoraWeg###/CoraWeg###/CoraWeg/status/1553453100287025156###/hashtag/NGO?src=hashtag_click###/hashtag/EuropeseUnie?src=hashtag_click###/hashtag/migranten?src=hashtag_click###/hashtag/migrantcrisis?src=hashtag_click###/hashtag/Immigration?src=hashtag_click;migrantcrisis;2024-10-12 11_04_33.324198;0.033936806023121;0.000047389577958;0.000032524054404;0.001304855919443;0.001452531432733;0.003652906510979;0.000094316710602;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;6d495b658ccb36d6;f38fc9ea7ba75f04;dd00fc95aacb2c72;2020-08-14T18:57:22.000Z;"Inside Europe: Ten Years of Turmoil

It covers matters affecting the European Union, and in particular #Brexit, the #debtcrisis and the #migrantcrisis

Als je deze 3 crisissen uiteindelijk bekijkt, door de ogen van deze leiders, besef je dat Europa nog veel uitdagingen heeft.";1.0;;1.0;/KarlBoumans###/KarlBoumans###/KarlBoumans/status/1294347400472072192###/hashtag/Brexit?src=hashtag_click###/hashtag/debtcrisis?src=hashtag_click###/hashtag/migrantcrisis?src=hashtag_click;migrantcrisis;2024-10-12 11_04_33.324198;0.001297234324738;0.000000790602712;0.000000137253451;0.000097016367363;0.000012057387721;0.000127578634419;0.000038749542000;5. Is neutral.
10;e603f092707ac638;c5753345f65416a3;d426e75bc6b6ac36;2018-07-29T14:27:06.000Z;Blog op Zondag | Stop de (gewelddadige) asieleiser https://bit.ly/2v19t0g #Ceuta #asieleiser #migranten #EU #buitengrens #borderpatrol #Spanje #borderprotection #bordercontrol #migrantcrisis #EUmigrantcrisis;;3.0;3.0;/BlogopZondag###/BlogopZondag###/BlogopZondag/status/1023575648294658048###https://t.co/VxtpbvIozV###/hashtag/Ceuta?src=hashtag_click###/hashtag/asieleiser?src=hashtag_click###/hashtag/migranten?src=hashtag_click###/hashtag/EU?src=hashtag_click###/hashtag/buitengrens?src=hashtag_click###/hashtag/borderpatrol?src=hashtag_click###/hashtag/Spanje?src=hashtag_click###/hashtag/borderprotection?src=hashtag_click###/hashtag/bordercontrol?src=hashtag_click###/hashtag/migrantcrisis?src=hashtag_click###/hashtag/EUmigrantcrisis?src=hashtag_click;migrantcrisis;2024-10-12 11_04_33.324198;0.049288392066955;0.000510531303007;0.000078436467447;0.000298180966638;0.000046093624405;0.015070088207722;0.000108801941678;1. Against immigration, migrants, foreigners, refugees, or Muslims.
