rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;ab0d85ee3fe58c94;3f6cc6f1e90dcf58;a25ef52ea4b6769f;2024-10-05T11:16:34.000Z;´Belgen´ worden gerepatrieerd uit Libanon  #vtmnieuws #deafspraak #terzaketv #7dag #migratie;93;146;720;24K;migratie;2024-10-06 09_57_10.118611;0.013604885898530;0.000618884456344;0.000001690940508;0.000019567321942;0.000020417359337;0.009436896070838;0.000488107150886;5. Is neutral.
2;c8ce5fd9ae2fe611;596ffbf71aafd0c3;b775769142a8f5a2;2024-10-05T13:30:35.000Z;"Een zoveelste slachtoffer ten gevolge van migratie. Kylian Binard doodgestoken door Nasser Bekaddour, een Algerijn, die een nachtclub in Normandië verliet.

 De open grenzen leiden tot hogere criminaliteitscijfers en de import van waarden en normen die haaks staan op de";;4;11;245;migratie;2024-10-06 09_57_10.118611;0.126654446125030;0.000129863910843;0.000507992808707;0.000083097285824;0.000023265580239;0.084253050386906;0.002752858679742;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;cffb54f4217276ed;eed1d3d3635db114;85da6021ed9f6399;2024-10-03T12:38:51.000Z;Dit is het ministerie van Binnenlandse Zaken van GB . Op deze foto ziet u de mensen die het toelaten dat #migratie steeds groteskere vormen aanneemt. Door buitenlandse infiltratie toe te staan creëert men dus de overname/ #omvolking Hoever zijn wij in Nederland? ⁦⁦;1;5;9;239;migratie;2024-10-06 09_57_10.118611;0.152364343404770;0.003752727992833;0.000005304115348;0.000100030418253;0.000070608220994;0.052652299404144;0.001103454502299;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;4d93d59fa6777acc;dcb44c8525bd626a;8526cadf916296b1;2024-10-05T19:45:37.000Z;Iedereen die vindt dat @MinisterAenM goed bezig is op asiel en migratie geef haar een;95;163;2,7K;18K;migratie;2024-10-06 09_57_10.118611;0.017259083688259;0.000009229549505;0.000048344812967;0.000243254646193;0.000009082890756;0.007911893539131;0.000002435995384;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
5;06445b65cb6194d9;dcb44c8525bd626a;8526cadf916296b1;2024-06-14T17:01:07.000Z;Iedereen die Faber steunt voor Asiel en Migratie geef haar een;297;463;6,2K;58K;migratie;2024-10-06 09_57_10.118611;0.015319014899433;0.000079996796558;0.000050362104957;0.000165401346749;0.000011697196896;0.024722019210458;0.000002312547394;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
6;1016c2d787a0bcdb;90ea74db050e8b78;3d1512f3c5045f39;2024-10-04T09:40:41.000Z;"Minister Faber (Asiel & Migratie):
""Er zijn veel mooie voorbeelden uit het verleden van deze informatieve teksten bij kampen en wijken.""

Onderzoek naar exacte woorden nog volop gaande.
""Ik mag het zeggen want ik ben minister en ik ben beleid.""

#Ongewenst #HetHadWaarKunnenZijn";29;91;210;14K;migratie;2024-10-06 09_57_10.118611;0.009434551931918;0.000033758242353;0.000038682381273;0.000204171621590;0.000204424446565;0.001104803406633;0.000021008705517;6. Other: unclear stance on immigration.
7;7605bbb60106f482;69005fce7638274d;f94711063f01f02a;2024-06-13T18:42:55.000Z;"Onze nieuwe Minister van Asiel en Migratie, Marjolein #Faber. Die heeft “don’t fuck with me” op haar voorhoofd staan. Dat wordt feest met #Jetten #Dassen #Timmermans.
Ik kan niet wachten! GO!
#Wilders #PVV #Oranjezomer #Op1 #Schoof #Markuszower";463;1K;5,1K;264K;migratie;2024-10-06 09_57_10.118611;0.002319382503629;0.000022225869543;0.000000895838582;0.004886773414910;0.000045774249884;0.004725927952677;0.000032851083233;6. Other: nor for or against immigration
8;d200e37914f30aeb;21f8a32f2b460b45;9d7132213aeb507a;2024-10-04T18:41:28.000Z;"Overal in het  vrije westen branden kerken af.
Zomaar.
Volgens Timmermans brengt de migratie zoveel extra’s
Normale mensen weten inmiddels wel beter.";3;7;16;1,1K;migratie;2024-10-06 09_57_10.118611;0.309183269739151;0.000047474477469;0.000237959495280;0.000133759240271;0.000027209631298;0.191002875566482;0.006639313418418;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;508afc93c51b5070;eed1d3d3635db114;85da6021ed9f6399;2024-10-03T21:13:20.000Z;Italiaanse politie zet taser in bij arrestatie Afrikaanse man die inheemse vrouwen aanviel.  #migratie #EU #VN2030Agenda;2;12;26;796;migratie;2024-10-06 09_57_10.118611;0.139643833041191;0.001468558795750;0.000021992527763;0.006983558647335;0.000178295944352;0.267942160367966;0.002344758016989;5. Is neutral.
10;38cf1951eb2989fa;cf672d5ba48061bc;26318ceefa5be0fb;2024-09-19T12:31:57.000Z;"Heel goed dat Nederland de wens om tot een opt-out op migratie te komen naar de EU heeft gestuurd. Geweldig ook dat Hongarije dit meteen heeft gesteund. Hoe meer draagvlak en steun hiervoor hoe beter!

#algemenebeschouwingen2024
#APB2024 #PVV #Wilders";395;732;4,7K;144K;migratie;2024-10-06 09_57_10.118611;0.005828090012074;0.000127926425193;0.000020321222109;0.000049476970162;0.000010734114767;0.001944840303622;0.000020418779968;1. Against immigration, migrants, foreigners, refugees, or Muslims.
