rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;3c924c7d7fa258ad;b74c936a856cecc8;9d4bb69970a2387e;2024-10-02T19:13:03.000Z;"De #omvolking moet natuurlijk wel op volle kracht blijven doorgaan.
Motie verworpen door een overgrote meerderheid van de Tweede Kamer.";43;60;161;3,3K;omvolking;2024-10-10 11_34_57.023607;0.186212733387947;0.000332178693498;0.000172827290953;0.000131267399411;0.000017226348064;0.013036964461207;0.000090644854936;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;e741acc8b29b9066;50c7b2261510b833;063d99531a88c182;2024-10-09T12:40:52.000Z;"Het zal eens niet

#omvolking #immigratie #asielzoekers";2;6;18;972;omvolking;2024-10-10 11_34_57.023607;0.033375494182110;0.000364056584658;0.000082517144619;0.000063479077653;0.000015535732018;0.001855497946963;0.000018062186427;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;b075d10f2339da2e;2f4d5c41805a86c8;a6f4d9a3786771b8;2024-10-01T15:10:11.000Z;"Omvolking?
Islamisering is wat ik zie!";1;14;25;297;omvolking;2024-10-10 11_34_57.023607;0.882939994335175;0.001753568183631;0.000022183157853;0.000086479521997;0.000064134634158;0.156551927328110;0.001494850148447;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;3cd2c6c43e83fb82;681e3123fd97e6ed;919acbfe8c046f48;2024-10-06T21:51:33.000Z;"Faber is goud!
Althans, dat vindt de extreemrechtse, haatzaaiende alleenheerser van de #PVV, Geert Wilders.
Ik kom bij Faber echt niet verder dan 18 karaats kermis-blik.
#Wilders #Faber #Agema #noodwet #asielcrisis #zondebok #omvolking #vreemdelingenhaat
#Tweedekamer #Schoof";;;3;825;omvolking;2024-10-10 11_34_57.023607;0.057609792798757;0.000034400018194;0.000134288318804;0.000166644676938;0.000050517181080;0.003592776367441;0.000249773700489;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
5;5c51cc1faaf45d82;7408ed77edc23c02;330dea4584a42f90;2024-10-03T20:26:24.000Z;Wat voert de Vlaamse Regering in het schild? Voelen we weldra de warme omvolking?;3;;9;287;omvolking;2024-10-10 11_34_57.023607;0.076174527406693;0.002565021393821;0.000140659991303;0.000454083405202;0.000172528292751;0.039130009710789;0.001480558770709;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;9f5db1052ddbb57d;9dbae9ff42597659;d539c397f3193592;2024-10-03T16:45:38.000Z;"#Omvolking In Heerlen verdwijnt een ziekenhuis, vanwege personeelstekort en duur enzo...Maar Turkse ziekenhuisketen opent vestiging na vestiging in Nederland. 
Voor de Turken waar ze zich thuis kunnen voelen.";;4;5;512;omvolking;2024-10-10 11_34_57.023607;0.003592187305912;0.000031675819628;0.003921359311789;0.000001608829393;0.000026460271329;0.003478073747829;0.002454032655805;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;4facc5823a02ff0f;f0b8649dbd8cc269;6bb246b604daf897;2024-10-08T06:49:50.000Z;"Over omvolking en islamisering gesproken, feiten die links Nederland weg wuift.
Onze democratie, normen en waarden verdwijnen op deze manier.";1;2;5;97;omvolking;2024-10-10 11_34_57.023607;0.293495297431946;0.000090034591267;0.000069619629357;0.000082112419477;0.000122032302897;0.136044070124626;0.002402216428891;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;42fcfe60414c4318;7f429707bda0f4a2;a50dc581676feb41;2024-10-09T08:34:29.000Z;Het nadeel van gekozen burgemeesters, na de omvolking, is dat het aantal islamitische burgemeesters rap zal stijgen. De hele randstad krijgt gegarandeerd alleen islamieten als burgemeester en de rest van Nederland volgt snel.;1;1;4;40;omvolking;2024-10-10 11_34_57.023607;0.141933768987656;0.000336335942848;0.000159458184498;0.000023021255402;0.000238246910158;0.208883345127106;0.000850770738907;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;2e7c668152fada75;7408ed77edc23c02;330dea4584a42f90;2024-10-08T08:05:07.000Z;"De omvolking heeft enkel voordelen.
Laat er nog veel meer binnen! 

Populaire wiskundeleraar uit Antwerpen geschorst omdat hij bijkluste als drugskoerier: “Maar hij verdiende hooguit 1 euro per gram”";7;4;16;220;omvolking;2024-10-10 11_34_57.023607;0.005106124561280;0.000028236903745;0.001825657906011;0.010608523152769;0.004985081031918;0.028291413560510;0.003169903298840;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;44c1e381d7337eea;9fe6cbb9e933ad0b;2ef37bd848a4d26c;2024-10-06T08:34:27.000Z;Ooit,wanneer het vriendjeskartel er genoeg binnengehaald heeft en de omvolking kompleet is zal het botsen…;4;18;18;283;omvolking;2024-10-10 11_34_57.023607;0.103117816150188;0.007252732291818;0.000034554446756;0.000074061412306;0.000005716199212;0.292530626058578;0.000995153677650;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;03858622f980ff8d;7297bbeaa90bbef4;e55f1b90c0e4eb30;2024-10-02T07:19:55.000Z;Eigen moslimsscholen in #Antwerpen… De volledige segregatie is het doel. Met 54% moslims in het Antwerpse lager en middelbaar onderwijs is dit de logische volgende stap in het proces van #islamisering en #omvolking. https://gva.be/cnt/dmf20241001_97162755…;84;159;522;14K;omvolking;2024-10-10 11_34_57.023607;0.382093936204910;0.003925265278667;0.000006667234629;0.001959285233170;0.002894013654441;0.104932740330696;0.001234428142197;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;d69354cf5e201214;dea14a91b4afe828;bfe877e5d4b4e23b;2024-10-02T19:22:54.000Z;Duitsland ontwaakt. De nachtmerrie begint. Oversterfte en turbokanker na de prik. Opvallend is dat met name leeftijdsgroepen waarvan je 't niet verwacht worden getroffen. Deelstaten met de meeste 'gevaccineerden' kennen de hoogste oversterfte. #omvolking #mRNAgenocide #tribunalen;2;25;37;10K;omvolking;2024-10-10 11_34_57.023607;0.024721348658204;0.002708390587941;0.001352520193905;0.000025350751457;0.000007636662303;0.116266325116158;0.000478614441818;6. Other: unrelated to immigration, health concerns
13;e97cf8e1dec4d236;22641d56785a2fb8;d256eccce93baf48;2024-10-08T09:49:23.000Z;"Omvolking heet ""replacement migration"" op internationaal niveau en dat is onderdeel van het plan. Waarom zouden mensen er geen vragen over mogen stellen als ze letterlijk VERVANGEN dienen te worden? 

https://un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/unpd-egm_200010_un_2001_replacementmigration.pdf…";;;7;66;omvolking;2024-10-10 11_34_57.023607;0.005996975116432;0.000076984943007;0.000038517915527;0.000357474636985;0.000033707605326;0.008334477432072;0.000172696498339;1. Against immigration, migrants, foreigners, refugees, or Muslims.
14;cffb54f4217276ed;eed1d3d3635db114;85da6021ed9f6399;2024-10-03T12:38:51.000Z;Dit is het ministerie van Binnenlandse Zaken van GB . Op deze foto ziet u de mensen die het toelaten dat #migratie steeds groteskere vormen aanneemt. Door buitenlandse infiltratie toe te staan creëert men dus de overname/ #omvolking Hoever zijn wij in Nederland? ⁦⁦;1;5;9;290;omvolking;2024-10-10 11_34_57.023607;0.152364343404770;0.003752727992833;0.000005304115348;0.000100030418253;0.000070608220994;0.052652299404144;0.001103454502299;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;dd515168e84322e3;860a8a780614ece9;7a7c3e30bc64d8fe;2024-10-07T08:29:22.000Z;"Stukje bij beetje levert de PVV fundamentele standpunten in. We zien het bij thema’s als EU, klimaat, Oekraïne en zélfs de omvolking, die de demografie van Nederland onomkeerbaar transformeert. 

Wij varen onze eigen koers. Sluit je aan bij #FVD!";;1;3;277;omvolking;2024-10-10 11_34_57.023607;0.008373913355172;0.000126673607156;0.000098356227682;0.000041231854993;0.000019049235561;0.006552791222930;0.000042353425670;1. Against immigration, migrants, foreigners, refugees, or Muslims.
16;ca5d2e047e037e2b;e6163211734c0eee;5a0f00e194eab981;2024-10-10T07:33:50.000Z;Martin Bosma is diegene die het racistische begrip “omvolking” in Nederland introduceerde.;2;;4;51;omvolking;2024-10-10 11_34_57.023607;0.011699574068189;0.000010161766113;0.000108772270323;0.000020133111320;0.000002390713462;0.005767012014985;0.000037164125388;1. Against immigration, migrants, foreigners, refugees, or Muslims.
17;b96f1e03a2992719;817730bad3fcaced;75df4f3a1e59faa5;2024-10-04T19:59:41.000Z;omvolking in volle gang. wakker worden;;;3;60;omvolking;2024-10-10 11_34_57.023607;0.098887063562870;0.000918645993806;0.000041080984374;0.000064211133576;0.000013101830518;0.163369581103325;0.000667110667564;1. Against immigration, migrants, foreigners, refugees, or Muslims.
18;828083ec7114376a;15ac6df8bd7f99fe;0a37eb13323fa61b;2024-10-09T09:05:24.000Z;Terwijl alles voor de Nederlanders wordt afgebroken, naast de gevolgen van #omvolking dmv voornamelijk migratie uit de derde wereld.;;1;4;35;omvolking;2024-10-10 11_34_57.023607;0.089470528066158;0.000595869729295;0.000288930750685;0.000112509595055;0.000017440841475;0.093667641282082;0.002976110437885;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;ccd9d5f4b93a57cf;ab73256b5ad25155;0040159c05b61158;2024-10-06T11:28:08.000Z;"Dat wat NUnl 'vergeet' te vermelden/weglaat/verzwijgt:

- in Marseille vonden in 2023 49(!) moorden plaats
- bijna allemaal direct te linken aan de omvolking & islamisering 

https://lagazettefrance.fr/article/narchomicides-a-marseille-une-victime-de-15-ans-mercredi-un-tueur-presume-de-14-ans-vendredi…";1;6;17;511;omvolking;2024-10-10 11_34_57.023607;0.106774881482124;0.000378930039005;0.000411565299146;0.000362166872946;0.000389474269468;0.201888427138328;0.001531024929136;1. Against immigration, migrants, foreigners, refugees, or Muslims.
20;68f22485fc5fcf58;e83f45a930a6bc8b;ff676d187dc11b85;2024-10-10T10:43:31.000Z;Terwijl mensen openlijk spreken over massadeportaties, fascistische leuzen bij opvangcentra, raszuiverheid, omvolking, het uitzetten van burgemeesters, lukt het velen maar niet om in elk geval degenen die het meest op het spel zetten te steunen ipv te gaslighten. Ondraaglijk.;;;3;79;omvolking;2024-10-10 11_34_57.023607;0.047793097794056;0.000229458557442;0.000086761268904;0.000123668214655;0.000005283335668;0.107327781617641;0.000209290767089;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
21;5fc5e522f4fba27d;57abc3d3d6e4b738;6ecbda06cafa7a68;2024-10-07T19:12:00.000Z;Hij zag de #omvolking al aankomen;;4;7;166;omvolking;2024-10-10 11_34_57.023607;0.055648878216743;0.000669406901579;0.000015210902347;0.000223666589591;0.000069915957283;0.036592986434698;0.000442751828814;1. Against immigration, migrants, foreigners, refugees, or Muslims.
22;c79c03d2150fbba3;2ea5503b700491ef;5ffb5b4d3f5ca025;2024-10-08T08:37:39.000Z;"Tjongejonge. Ik voel zo'n afkeer hiertegen. Het is een geplande omvolking. 
S . O . S. 

Europees Hof zet Europa open voor miljoenen Afghaanse vluchtelingen";;1;5;193;omvolking;2024-10-10 11_34_57.023607;0.315227657556534;0.003727583447471;0.000345023028785;0.000377204152755;0.000287095142994;0.360270261764526;0.001752532669343;1. Against immigration, migrants, foreigners, refugees, or Muslims.
23;bf76361168cf3609;02dbe28a702a72bc;b5d4a211d35b0edd;2024-10-01T12:03:58.000Z;De omvolking in de vorm van mohammedanisering manifesteert zich in álle geledingen van de samenleving. Dus ook bij de politie.;;6;17;170;omvolking;2024-10-10 11_34_57.023607;0.618704080581665;0.000783166731708;0.000006477210263;0.000074734685768;0.000101699151855;0.081068702042103;0.002653282834217;1. Against immigration, migrants, foreigners, refugees, or Muslims.
24;f2bd85ab3141f7d3;4351a5d09511d319;f013157ed8380b50;2024-10-09T11:57:08.000Z;"In de serie ‘Dagelijkse Migratie- en Asielellende’ deze keer aandacht voor de mishandeling van politiefunctionarissen in München (deelstaat Bayern):

#omvolking #kansenparels

Bild - “Duitse Irakezen slaan vrouwelijke politieagenten in elkaar”

https://bild.de/regional/muenchen/einsatz-eskaliert-in-muenchen-falschparker-attackieren-polizistinnen-6706543a11c9952a2557d129…";;;2;90;omvolking;2024-10-10 11_34_57.023607;0.039795216172934;0.000981285469607;0.000015443525626;0.006439973134547;0.000037049649109;0.074002049863338;0.009124877862632;1. Against immigration, migrants, foreigners, refugees, or Muslims.
25;d35d538ad2273b5a;721e984389996496;ec0820c3e149b99f;2024-10-07T07:59:55.000Z;Omvolking = Verarming;;;2;30;omvolking;2024-10-10 11_34_57.023607;0.031127525493503;0.001237838878296;0.000249081436777;0.000358024437446;0.000006350332114;0.036820895969868;0.000104418155388;1. Against immigration, migrants, foreigners, refugees, or Muslims.
26;4188c17f06a1bb70;17239b6e25011033;1322aa2bdea514f7;2024-10-07T12:48:46.000Z;Spreek vooral niet over omvolking. We staan erbij en we keken ernaar? Nee ... Stem ze weg !;1;5;16;396;omvolking;2024-10-10 11_34_57.023607;0.128426983952522;0.001932235900313;0.000491605896968;0.000606282206718;0.000198722351342;0.046806585043669;0.000074905059591;1. Against immigration, migrants, foreigners, refugees, or Muslims.
