rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;e831ee3bfa7406cd;5702524a248ac085;08d20814af7b4d88;2024-10-17T11:24:00.000Z;Als we Ter Apel aan Duitsland geven is het 'probleem' opgelost. Hoe simpel kan het zijn.;3;1;32;1,1K;ter%20apel;2024-10-18 16_04_37.370274;0.138966366648674;0.002076099393889;0.000117149575090;0.000007154395917;0.000027363968911;0.145438402891159;0.000081736579887;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;016480c62bdb384a;67ed8d0cade6e8cf;d2b969cb3b46b140;2024-10-18T07:08:16.000Z;"Iets van wèl of géén ? 
De kinderopvang in Ter Apel misschien";;;3;37;ter%20apel;2024-10-18 16_04_37.370274;0.003740807995200;0.000370783702237;0.000343335850630;0.001815991476178;0.002140861237422;0.002393853617832;0.000682720507029;6. Other: unclear stance on immigration.
3;cac90cdc2ccc68b4;7a6298bf2be9777a;1d3189df38b806bf;2024-10-16T18:01:01.000Z;De hele asielprocedure kun je ook in #Oeganda doen, zoals Italië dat in Albanië geregeld heeft. Wordt Ter Apel weer een leuk dorp.;2;1;9;285;ter%20apel;2024-10-18 16_04_37.370274;0.011702490039170;0.000091454130597;0.000347361521563;0.000024896116884;0.000019873239580;0.028757447376847;0.000214629515540;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;968ab52a148177ba;f1ef905b06274ff5;0b93854734ba027f;2024-10-17T19:33:49.000Z;Top idee ben helemaal voor, misschien kunnen mensen uit ter Apel en Budel ff een workshop kunnen geven. Dit krijg je nou lekker deugen, totdat het in je achtertuin terecht komt en dan is het niet zo leuk. Zonde van de waarde van je huis,  succes.;;;2;110;ter%20apel;2024-10-18 16_04_37.370274;0.007721108850092;0.000032775449654;0.000175154025783;0.000029095399441;0.000003192548547;0.027459496632218;0.000034741231502;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;1067b98a36316b77;1beb9852fe010af9;e3f340ccba8a168c;2024-10-15T12:24:10.000Z;"""Als we niet oppassen wordt Nederland één groot Ter Apel"" Ik zou zeggen ga dan aan de slag en hanteer geen symbool politiek. #vragenuurtje #TweedeKamer";2;;6;872;ter%20apel;2024-10-18 16_04_37.370274;0.066400021314621;0.000079562771134;0.000060669335653;0.000046983874199;0.000039389022277;0.007182078436017;0.000050550770538;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;a29575545f2de3c6;5991ce426259a177;5374dd3bfe6e5fd7;2024-10-17T13:34:00.000Z;"Je benoemt het zelf al kansloze asielzoekers, daar willen we nou juist vanaf, de minister doet uitstekend werk dat kan je van het vorige kabinet niet zeggen die hebben er een puinhoop van gemaakt.
De mensen in Ter Apel zijn in de steek gelaten, hier een verhaal van een bewoner.";2;1;12;406;ter%20apel;2024-10-18 16_04_37.370274;0.259160369634628;0.000075308933447;0.001709842472337;0.000017775499146;0.000015735971829;0.053695604205132;0.000172644125996;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;fb06a6b1784831e1;453b4439f6c50a14;0bf6d89df6021191;2024-10-13T08:54:25.000Z;"Het is eigenlijk verbijsterend hoeveel politieke wanorde er is uitgebroken over asiel. Let op: dat is het kleine oranje kopje. 

""Het buitenslaapveld voor Ter Apel"" is 99% een gevolg van wanbeleid en dat wanbeleid zet dit kabinet door met extreme bezuinigingen op IND en COA.";6;7;25;10K;ter%20apel;2024-10-18 16_04_37.370274;0.017484638839960;0.000024891060093;0.000713748740964;0.000024216195015;0.000059834270360;0.012575341388583;0.000568266841583;5. Is neutral.
8;b1ce096898d49451;804568253577545b;504fd683f85f6811;2024-10-14T06:15:27.000Z;Ter Apel lijdt onder instroom;4;9;24;6,9K;ter%20apel;2024-10-18 16_04_37.370274;0.140832751989365;0.000595468911342;0.002415256807581;0.001776420162059;0.001120832632296;0.005010196007788;0.000661369645968;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;30e911a6d41cf90c;5d19fe6e3b1a3d5a;a6f6fc46fb4945f3;2024-10-15T15:34:00.000Z;"Weer zo’n fabeltje van minister Faber: de ‘opt-out’. Oftewel: een uitzondering op de Europese regels, speciaal voor Nederland 

Minister Faber, gaat u nog echt iets betekenen voor de mensen in Ter Apel of houdt u het bij symboolpolitiek en ophitserij?";316;172;742;47K;ter%20apel;2024-10-18 16_04_37.370274;0.001973344944417;0.000435940426541;0.000145904443343;0.000080788086052;0.000329556147335;0.024731107056141;0.000076905111200;5. Is neutral.
10;04352f9826d35558;5991ce426259a177;5374dd3bfe6e5fd7;2024-10-15T14:11:20.000Z;"Waar blijven de oplossingen vraagt die mafkees van GL-PVDA, wat een hypocriet tering zooitje zit daar in de tweede slaapkamer.
Die linkse galbakken hebben het zelf allemaal veroorzaakt, Ter Apel wordt al jaren aan hun lot overgelaten door dat linkse tuig.";2;;14;144;ter%20apel;2024-10-18 16_04_37.370274;0.949441254138946;0.000643492385279;0.000071075359301;0.000773941166699;0.000255848310189;0.250939011573792;0.000276786042377;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;06a6861b0f158f91;675fc69c860d25e1;5a33d4fc0ecfeaf7;2024-10-16T16:40:57.000Z;Dit is een verslag van een inwoner bij Ter Apel. Dit verslag was geplaatst bij de fb site van BuurtAlert ter Apel. e/o. Dit is wat die inwoners van ter Apel dagelijks meemaken. Mevrouw leest u dit eens. Alvast heel veel sterkte voor straks.;4;25;55;838;ter%20apel;2024-10-18 16_04_37.370274;0.000242731766775;0.000000405276978;0.005665855482221;0.001124463393353;0.000386158731999;0.028586916625500;0.000367774598999;5. Is neutral.
12;12177451fa2cba11;b74c936a856cecc8;9d4bb69970a2387e;2024-10-14T11:23:37.000Z;De bewoners van het eens zo mooie, rustige dorpje Ter Apel hebben het zwaar te verduren met die klaplopers die via tal van veilige landen naar Nederland zijn gekomen om hier te profiteren en de boel te verzieken.;12;91;175;2,4K;ter%20apel;2024-10-18 16_04_37.370274;0.879288375377655;0.000132691246108;0.000025380819352;0.000052784842410;0.000006783261142;0.139981672167778;0.000067662411311;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;d4e3471a7702b213;b82dfea0bb1da3c8;7bc7a7adad8ecf29;2024-10-12T13:24:31.000Z;Als al die 30.000 daklozen in NL zich nu eens collectief gaan aanmelden in Ter Apel als protest tegen grote onrechtvaardigheid, zou dat een idee zijn?;;1;9;373;ter%20apel;2024-10-18 16_04_37.370274;0.122577659785748;0.004115118179470;0.008030413649976;0.000071668720921;0.000107718711661;0.125194817781448;0.000204129348276;5. Is neutral.
14;c6dedd7083ff9219;e9dc35a740ae63b1;28e09d6172e869ff;2024-10-14T09:09:48.000Z;Ik zou beginnen met Ter Apel AZC  te verplaatsen naar het Museumplein. Wat praktijkervaringen in de habitat van de tolerante wereldburger.;1;3;21;952;ter%20apel;2024-10-18 16_04_37.370274;0.102675914764404;0.000127765742945;0.001429098192602;0.000126630839077;0.000049343623687;0.037686396390200;0.003690754994750;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;7877bd77e7fa941c;ee7cc2e92203ebc1;b2b977e1eb7fa7f3;2024-10-14T15:57:20.000Z;Maximaal 2.000 mensen in azc Ter Apel lukt volgens COA écht niet: 'Zit ramvol';161;24;31;25K;ter%20apel;2024-10-18 16_04_37.370274;0.044922128319740;0.000259363150690;0.000232499005506;0.000038074773329;0.000065477375756;0.036232814192772;0.000668213411700;5. Is neutral.
16;841a755d5dad9e54;c1b36cef39796237;967fa8d8d30eb6d4;2024-10-14T08:28:44.000Z;Strijd in Ter Apel gaat verder: moet opvang vergroot worden?;49;23;26;2K;ter%20apel;2024-10-18 16_04_37.370274;0.008027136325836;0.000338184065185;0.000068097790063;0.000303675798932;0.000386168889236;0.011955424211919;0.000171676598256;5. Is neutral.
17;1cc2a373c281d019;035779ad3351c615;0667eea99116f138;2024-10-14T05:43:08.000Z;Stuur die lui toch terug naar hun land, zonder oorlog!! 2000 euro mee en klaar is Kees. En laten ze hun eigen land opbouwen dan hier hun stempel op ons te drukken.@MinisterAenM;1;4;16;699;ter%20apel;2024-10-18 16_04_37.370274;0.546939134597778;0.011020678095519;0.000000467694150;0.000003884756097;0.000000662089576;0.747249364852905;0.000076982156315;1. Against immigration, migrants, foreigners, refugees, or Muslims.
