rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;ed1afdac4f89ae0d;65003c7a186430e8;59eafd147cfb10b0;2024-10-04T17:22:19.000Z;"Ik ben best braaf en gezagsgetrouw. Maar als Faber echt zo’n bord bij het AZC bij mij in de buurt gaat plaatsen, dan heb ik de neiging om dat weg te gaan halen.
Ik vind dit onacceptabel verwerpelijk pestgedrag. 
Heeft ze ooit weleens een vluchteling ontmoet?";2;17;97;1,5K;vluchteling;2024-10-06 09_57_10.118611;0.022450149059296;0.000039273836592;0.000037300465920;0.000065811531385;0.000005720468835;0.032599147409201;0.000018244776584;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
2;08737a3ae5bc2449;3f86c0b97e82dac1;c8d7c6f6f9e27855;2024-10-03T13:38:00.000Z;"Termen die antisemitsch zijn volgens het  ""onderzoek"" dat Mia Doornaert ophemelt:

 “Palestijnen”, “bezetting”, “bezettende macht”, “bezette gebieden”, “vluchteling”, “humanitaire crisis”, “disproportioneel”, “haaks op internationaal recht”

Polemische, holle onzin.";2;16;63;1,8K;vluchteling;2024-10-06 09_57_10.118611;0.001683389651589;0.000007950842701;0.000000783757798;0.000002787346375;0.000001042705094;0.000065115229518;0.000017678952645;5. Is neutral.
3;c55ad9eee5084c6e;029463f806561ee1;4088dfbc7e7dfbfc;2024-10-02T10:57:21.000Z;Snap ik wel. De VN is alleen maar anti-Israël bezig. Hecht aan die club niet meer waarde dan aan Stg. Vluchteling van Tineke Ceelen...;3;1;6;222;vluchteling;2024-10-06 09_57_10.118611;0.296666353940964;0.000130338186864;0.000019584553229;0.002257159911096;0.000126605737023;0.059063136577606;0.000392196554458;6. Other: Criticizes UN, not immigration.
4;4652d993802720b6;96816ca55e2ef166;fbb421da3416cb06;2024-10-02T09:50:53.000Z;En dit moreel verwerpelijk terroristisch tuig moeten we dan straks opnemen in ons land als politiek vluchteling..?! SODEMIETER TOCH OP...!!!!;1;18;41;356;vluchteling;2024-10-06 09_57_10.118611;0.970363497734070;0.135653287172318;0.000000360791319;0.000004761300715;0.000006516628673;0.979354023933411;0.000568718183786;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;4da7bb21a98e9808;63b7d29e6398d11c;f28881913d476226;2024-09-30T10:37:32.000Z;Slim zou zijn eens een Libanese politieke vluchteling aan te horen.;;;3;24;vluchteling;2024-10-06 09_57_10.118611;0.543350994586945;0.000927532149944;0.000006120367289;0.000032756452129;0.000015468243873;0.020863974466920;0.000056478056649;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
6;2e2de990df7705c8;241b405611a707e7;35e49a3182181f5d;2024-09-29T07:46:13.000Z;"Asiel-instroom naar 0 ?
Tip voor IND/politiek:
""Maakt niet uit waar u vandaan komt. Feit is: In D of B is geen oorlog. U bent dus door veilige landen gereisd, en bent dus migrant, geen vluchteling. Ga weg. Als we u over 1 week nog in NL zien krijgt u celstraf wegens illegaliteit.";1;25;54;647;vluchteling;2024-10-06 09_57_10.118611;0.188230037689209;0.002246438991278;0.000090577021183;0.000026168245313;0.000036710855056;0.104615040123463;0.000089299421234;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;4763e2fc80c00ac8;01455037944fbcff;d1c770f545ab9742;2024-09-30T21:48:44.000Z;"Dit dus;

Zandbakmentaliteit en waarom dit soort van staatsruifvreters die na 6 Jaar n verblijfsvergunning kreeg met droomhuis gewoon met n oprotpremie weer moet vertrekken!";2;1;3;57;vluchteling;2024-10-06 09_57_10.118611;0.395454466342926;0.004273516591638;0.000322473060805;0.000014566465325;0.000018885988538;0.121240235865116;0.000117306073662;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;b185ddd916706de5;dcb6c780b35bd696;3e57805fa40a1385;2024-10-02T12:15:48.000Z;"Ook de IND krijgt het makkelijker. De bewijslast wordt zo veel mogelijk bij de vluchteling gelegd, die vervolgens geen recht meer heeft op juridische bijstand. Ook mag de IND haar ambtsberichten en werkwijzen geheim houden.

Ook hoeven ze geen dwangsommen meer te betalen.";1;1;27;280;vluchteling;2024-10-06 09_57_10.118611;0.118979439139366;0.000058206111134;0.003549784189090;0.000011377260307;0.000010776630006;0.037323821336031;0.000042778465286;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;23f6cdfdf09c93c9;b88428c5c0447cbe;7306ff04899315a7;2024-09-29T16:22:53.000Z;De directeur van Stichting Vluchteling moet eerst zelf maar eens flink doneren:;1;1;19;233;vluchteling;2024-10-06 09_57_10.118611;0.019228799268603;0.000232530699577;0.000378043681849;0.000023821789000;0.000008742842510;0.036650501191616;0.000099071636214;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;1248aa9e1287ce84;d1226f1c76db1bf5;ff8d98cfa6663f84;2024-10-05T15:40:22.000Z;"Ik vind dit echt niet kunnen mensen...

Iemand heeft zijn kartonnen bord gefotoshopt.

Er stond eerst dat hij met voorrang een echte woning wilde en daar heeft hij als vluchteling natuurlijk recht op in NL.

Kunnen we eens ophouden deze mensen zo veeleisend neer te zetten?

Dank!";4;1;17;351;vluchteling;2024-10-06 09_57_10.118611;0.055926803499460;0.000003408729526;0.000599629012868;0.000019635344870;0.000010630296856;0.006610653363168;0.000084388877440;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
11;e1fecfee5873adc0;e641dcead9f061d2;cd99299228c1147a;2024-09-30T13:42:42.000Z;"Stichting Vluchteling is een zeer eenzijdige stichting met een directeur, die steeds in beeld wil. Er zijn echt wel neutralere vluchtelingenbelangenverenigingen, die ik liever steun. 
Ik zal nooit een cent geven aan Stichting Vluchteling.";1;3;36;358;vluchteling;2024-10-06 09_57_10.118611;0.057327091693878;0.000001683037681;0.004742765799165;0.000006202032182;0.000004448187156;0.000812139012851;0.000127351231640;5. Is neutral.
