rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;2e9c593a2b31952f;cf672d5ba48061bc;26318ceefa5be0fb;2023-11-22T06:44:23.000Z;"Het zijn migranten geen vluchtelingen. 95% komt over land Nederland binnen en had volgens de regels dus in onze buurlanden asiel moet aanvragen! Wij moeten zeggen: je komt er hier niet in!

#NederlandKiest #StemPVV #verkiezingen #verkiezingen2023 #verkiezingen22november";335;1,3K;7,6K;617K;vluchtelingen;2024-10-10 11_34_57.023607;0.105721578001976;0.000061483566242;0.000006207174010;0.000001749771855;0.000011233576515;0.002608453389257;0.000007067101706;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;60e3a8f14793d77a;6e2f9a94f3dc928c;c4bba647808447d1;2024-10-09T20:14:31.000Z;"#vandaaginside Ja hoor, gaan we weer ...... ""vluchtelingen"".
Even geheugen opfrissen hoe nota bene smeerlap @F__Timmermans ooit over vluchtelingen dacht ?";1;15;31;1,8K;vluchtelingen;2024-10-10 11_34_57.023607;0.079382956027985;0.000009571726878;0.000073653471190;0.000408574269386;0.000175564171514;0.027570275589824;0.000394708826207;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;a5014a0ac71294b0;beaac951fe530c3a;d81fa9a58c804761;2024-10-08T09:53:36.000Z;"PVV

Deze bord vinden jullie vast en zeker verschrikkelijk.

Hoe moeten getraumatiseerde en van angst verscheurde vluchtelingen die huis en haard achterlaten zich voelen als ze bij een opvanglokatie komen en i.p.v welkom ""Rot op"" lezen op een bord.

Gedraag jullie eens idioten!";1;2;2;110;vluchtelingen;2024-10-10 11_34_57.023607;0.565042257308960;0.000382064026780;0.000076664946391;0.000035655364627;0.000000290585206;0.023034799844026;0.000230021949392;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
4;95c99d6691b30bd1;4c6b859fa887570d;cf5aab42b918d23c;2024-10-10T08:42:42.000Z;Conflict in Libanon baart zorgen. Veilige opvang garanderen in de regio waar vluchtelingen naartoe kunnen is een absolute prioriteit waar Europa werk van moet maken. Ik spreek erover met mijn collega’s van #JHA Council.;6;2;5;394;vluchtelingen;2024-10-10 11_34_57.023607;0.000117512303405;0.000017222602764;0.000001981255537;0.000089441913588;0.000031344949093;0.000429562322097;0.000033491516660;5. Is neutral.
5;f1208820ba96c1d3;3b6c557923441a9f;fd57d90e1445ee34;2024-10-07T18:13:10.000Z;Begin dit jaar heb ik archiefonderzoek gedaan in de papieren van het Nederlandse consulaat in Tel Aviv in 1948. Daar kwam ik onder meer een uitgebreid rapport tegen over de Arabische vluchtelingen in Israël en ik vond deze passage indertijd erg opmerkelijk. De vijfde colonne...;1;1;2;468;vluchtelingen;2024-10-10 11_34_57.023607;0.001086696749553;0.000007224067303;0.000000787404133;0.000040196220652;0.000013532775483;0.001753478893079;0.000159541828907;5. Is neutral.
6;9627943ed0aea4a8;fe1e57851dacdce1;40fd9af009fc8d07;2024-10-07T10:36:44.000Z;Mijn buurvrouw moet urine laten testen bij de huisarts maar krijgt geen urine container. Moet ze zelf kopen. Voor Oekraïners & zogenaamde vluchtelingen/migranten is alles gratis!! @FleurAgemaPVV @ministerVWS wat zijn dit voor praktijken??? En weer wordt de premie duurder in 2025!;8;3;12;267;vluchtelingen;2024-10-10 11_34_57.023607;0.047437462955713;0.000000305798068;0.000009014055649;0.000018814584109;0.000005218338629;0.000993200577796;0.000012631063328;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;d6c04c5ee1a354af;4351a5d09511d319;f013157ed8380b50;2024-10-08T17:29:09.000Z;"Zo, linkse deugkneuzen en andersoortige gutmenschen van Nederland: let this sink in! Zullen we de kraan eens dichtdraaien?

#asiel #migratie #grenzendicht @2eKamertweets

Bild - “De president van de Wereldbank waarschuwt voor 800 miljoen vluchtelingen”

https://bild.de/politik/inland/schock-prognose-weltbank-praesident-warnt-vor-800-mio-fluechtlingen-6703bdf9cae472004103d168…";;3;10;206;vluchtelingen;2024-10-10 11_34_57.023607;0.550260782241821;0.002240373520181;0.000022767990231;0.000411185697885;0.000149927727762;0.037305422127247;0.000191829458345;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;25a4425a749d4aee;620b04da1db3c4fb;2f83abefd50a7ee7;2024-10-06T16:02:34.000Z;Nu snap ik zijn angst voor werkende Syrische vluchtelingen. Hij is als de dood dat er een tandarts tussen zit. #junkiegebit;2;1;13;220;vluchtelingen;2024-10-10 11_34_57.023607;0.131127297878265;0.000000391958849;0.000015600773622;0.000003124502427;0.000001392409899;0.004945955704898;0.000478003057651;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;a06536cf3488f9f2;411173ae828acd2d;13dc8f711a9a64c1;2020-03-06T12:34:27.000Z;Ik hoorde de verhalen, nu is er beeld. Dit is wat de Grieken met vluchtelingen en migranten doen die de landgrens bij Pazarkule oversteken. Ze krijgen klappen, worden uitgekleed en zijn geld, papieren en telefoon kwijt. In onderbroek terug naar Turkije.;1,4K;2,3K;2,1K;/obk###/obk###/obk/status/1235906587526651904;vluchtelingen;2024-10-10 11_34_57.023607;0.262515544891357;0.000380165147362;0.000995430047624;0.010512734763324;0.000398259988287;0.438265383243561;0.010944839566946;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;62542a048b0a26de;90db16d72023e3f3;423db36883a8d765;2024-10-08T12:41:51.000Z;"Vertel eens @MinisterAenM  mogen de Israëlische vluchtelingen wel hier naar toe komen?  Of komt er dan ook een bordje te staan: we zetten u weer zo snel mogelijk het land uit? 
Dit is een beetje hypocriet hé?";1;;2;92;vluchtelingen;2024-10-10 11_34_57.023607;0.079906307160854;0.001517914002761;0.000020012532332;0.000001916087740;0.000000786086559;0.080078929662704;0.000639051955659;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;425a9ca46d3571f8;aac09a648fc382b6;b59a2b8ca1513cc3;2024-09-23T16:08:11.000Z;"11 maanden je bek dichthouden over de 84.000 Israëlische vluchtelingen en nu Israël EINDELIJK iets terugdoet gaan JANKEN over hoe zielig Libanezen zijn. 

GFY @NOS, GFY

Jullie zijn om te KOTSEN zo slecht.";41;269;1,1K;17K;vluchtelingen;2024-10-10 11_34_57.023607;0.538832366466522;0.000475102424389;0.000048158362915;0.004472392611205;0.000307446898660;0.009025596082210;0.000172339539859;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;f44e53732c45f6f3;18abce0a4d7fd582;c7e57571be9eff3c;2024-10-08T07:52:23.000Z;In Mekka staat een volledig ingericht en uitgerust tentenkamp klaar voor zo’n paar miljoen moslim vluchtelingen . Helaas wil geen enkele Arabische Oliestaat ze opnemen ! @telegraaf . Wij ook niet !;1;;3;49;vluchtelingen;2024-10-10 11_34_57.023607;0.281334161758423;0.000002365523642;0.000002599937261;0.000005269905159;0.000004019592780;0.007367059588432;0.000194364329218;1. Against immigration, migrants, foreigners, refugees, or Muslims.
