rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;494fe41b67080e52;d0eb48245ead02ee;0df114e9ee95d886;2024-09-25T13:14:56.000Z;"""40% van de gevangenen is vreemdeling en 30% daarvan is zelfs illegaal in het land. De incidenten in de gevangenissen hadden vermeden kunnen worden als de politiek verantwoordelijken hun werk hadden gedaan. Een écht migratie- en justitiebeleid is nodig!"" @A_Blancquaert #VlaParl";;3.0;25.0;597;vreemdeling;2024-09-27 20_52_32.971218;0.032825771719217;0.000065382038883;0.000017718091840;0.000182472867891;0.000101145080407;0.001359061570838;0.000073503884778;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;06b5f0783948063c;03630d4e54894929;31d4ef99b88a3be9;2024-09-23T14:00:44.000Z;De vreemdeling als ideale zondebok;7.0;1.0;2.0;198;vreemdeling;2024-09-27 20_52_32.971218;0.116651512682438;0.000323365238728;0.000219227673369;0.000581682368647;0.000024059618227;0.110226929187775;0.000207244243938;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;5e745d09a409ff06;2658f96e60fa5608;a58d71e210cab070;2024-09-19T07:09:35.000Z;"Stel, we zouden per vandaag geen ene vreemdeling meer toelaten, en we zouden een nagenoeg 100% waterdichte grensbewaking kunnen realiseren. En stel we zouden daarna ook iedereen in de azc direct verplicht remigreren, idem voor alle illegaal verblijvenden

Wat zou het gevolg zijn?";12.0;4.0;18.0;350;vreemdeling;2024-09-27 20_52_32.971218;0.078724771738052;0.002422543708235;0.000113400143164;0.000061582679336;0.000092220056104;0.145327776670456;0.004710097797215;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;469f641b8499d04c;f41b8e010fc2dc6a;c0f73eb23f21ae89;2024-09-23T21:49:48.000Z;"Waarom  zouden we niet eerst een huis voor ONZE kinderen regelen. 
In plaats van ongewenste vreemdeling huisvesten.
Om maar wat te noemen,  zo min mogelijk geld naar de gelukszoekers";;;2.0;24;vreemdeling;2024-09-27 20_52_32.971218;0.574772655963898;0.000002759161589;0.000002414413984;0.000132616609335;0.001106110750698;0.027728272601962;0.000110246517579;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;0697c432910e7bcb;9fe121aceaaa1450;098e90a22fad3a2f;2024-09-21T07:20:00.000Z;"""Je hebt je land niet verlaten, maar het is alsof je land jou heeft verlaten. Je voelt je een vreemdeling in je eigen land. Jullie zijn ballingen van binnenuit"", spreekt Eric Zemmour de Franse bevolking toe.";2.0;12.0;35.0;989;vreemdeling;2024-09-27 20_52_32.971218;0.013311868533492;0.000001770427957;0.000055771848565;0.000089653942268;0.000005766979029;0.002398093463853;0.000080846963101;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;a73b8efa760c0f7b;b5f866b3ab8f696e;2c9467e4b282942d;2024-09-25T07:49:26.000Z;"Over anderhalve week Israëlzondag. Dit keer over een hoofdstuk uit de oudtestamentische ethiek: over de vreemdeling die in uw steden woont. 

Het zou mooi zijn als niet alleen christelijke maar ook Joodse bronnen daarbij zou hebben.";;;2.0;225;vreemdeling;2024-09-27 20_52_32.971218;0.000569790601730;0.000021055480829;0.000023981758204;0.000038640719140;0.000036147106584;0.000298903643852;0.000047044628445;5. Is neutral.
7;8505881b1ee96729;9b941a539bf93888;ee041f3573e7ee34;2024-09-19T11:07:30.000Z;"Denk dat een heleboel ""vreemdelingenhaat"" ontstaat doordat de meeste asielzoekers vreemdeling willen blijven.
Het zijn geen vluchtelingen maar gelukszoekers met een eisenlijst.
Ze leren de taal niet, integreren niet, dringen hun ideologie Islam op, eisen, eisen, eisen dat alles";;;6.0;113;vreemdeling;2024-09-27 20_52_32.971218;0.596511125564575;0.000013035727534;0.000301668333123;0.000564556103200;0.000122529963846;0.016728993505239;0.000152715190779;1. Against immigration, migrants, foreigners, refugees, or Muslims.
8;16128b6ef1b368d0;077386b1b90ec55f;9d7be5fedd42d1ee;2024-09-21T16:39:35.000Z;Dominee Boiten is overleden. Hij richtte met zijn vrouw Georgine Oudezijds 100 op, en in 1971 de Arabische School. Ze belichaamden het evangelie 'Heb uw naaste lief,' waarbij ook de vreemdeling onder hen werd omarmd. Van die naastenliefde zouden we vandaag meer kunnen gebruiken.;29.0;64.0;411.0;18K;vreemdeling;2024-09-27 20_52_32.971218;0.000048323010560;0.000028209127777;0.000031361301808;0.000044519878429;0.000116215633170;0.002102109137922;0.000027278794732;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
9;c801ab19a37eef0c;2c3c4a70dc08309a;e5cc6e6282f68f11;2024-09-26T10:32:19.000Z;"Voor 4 maanden hebben ze even een gebouw opgeknapt voor asielzoekers.
Waar mogen onze zwervers heen?
Daar gaan ze geen gebouw voor,dus een vreemdeling gaat dus voor.";5.0;;19.0;505;vreemdeling;2024-09-27 20_52_32.971218;0.755316019058228;0.000158775117598;0.000009705440789;0.000047216854000;0.000038089663576;0.210667580366135;0.001059763599187;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;356d6212c11aee73;22c323b499409b9b;49a7f5da81054d1b;2024-09-21T02:32:37.000Z;Hoe het dit gekom dat ons die toekoms van ons kinders in die hande van vreemdeling korrupte amptenare plaas, en dat ons steeds nie uit ons boksie kan breek van staatskole wat ons kinders opvoed nie?;4.0;2.0;23.0;269;vreemdeling;2024-09-27 20_52_32.971218;0.052053716033697;0.000002329546987;0.000070636568125;0.002105890773237;0.006407040636986;0.022714734077454;0.019283168017864;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;bb91801c5f054858;27b10394cfa6644b;5c0433504792c082;2024-09-18T08:40:55.000Z;"Ze zijn allemaal Nederlander.

Een buitenlander of vreemdeling in juridische zin is iemand die niet in het bezit is van de nationaliteit van het land waar hij verblijft.

Migratie zorgt voor hele grote problemen, de instroom van buitenlanders beperken is één van de oplossingen.";;;2.0;17;vreemdeling;2024-09-27 20_52_32.971218;0.486863642930984;0.003801759099588;0.000048815032642;0.000021741721866;0.000018800539692;0.025788048282266;0.000028096152164;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;741ae254e72fcce6;4882f5c78536275e;6fc3e153d83597eb;2024-09-18T12:52:48.000Z;Kom daar regelmatig, heb me nog nooit onveilig gevoeld of een vreemdeling in eigen land.;1.0;;3.0;40;vreemdeling;2024-09-27 20_52_32.971218;0.167284443974495;0.000007112265848;0.002194022992626;0.000048917598178;0.000025603891117;0.039867021143436;0.000201707414817;5. Is neutral.
13;4ecaee2a9b700fbe;e0c6277f17c991c8;281772972fe3316e;2024-09-22T19:47:06.000Z;Een vreemdeling die niet in Christus komt blijft altijd een vreemdeling, zegt je bijbel Thijs.;;;2.0;105;vreemdeling;2024-09-27 20_52_32.971218;0.031225224956870;0.000001074042871;0.000004420268397;0.000024240664061;0.000007517938684;0.002131240209564;0.000019267034077;6. Other: religious perspective on foreigners.
14;4157069c179b2a2a;cc7751252bd685c8;0a9393a6f482a39e;2024-09-23T12:43:23.000Z;Kunnen we Harry niet uitzetten als ongewenste vreemdeling?;1.0;;8.0;356;vreemdeling;2024-09-27 20_52_32.971218;0.179266005754471;0.007193944416940;0.000014824267055;0.000003504137794;0.000004514212833;0.110209017992020;0.000101137360616;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;3ad4dc7617db93eb;cb52fbfd099321c5;a11946768f307872;2024-09-20T08:01:41.000Z;Als men iets durft zeggen over ne vreemdeling ben je ne racist voor deze linkse deugneuzen, maar zelf verdedigen ze en komen op voor terroristen en moordenaars, en hemelen ze jodenhaters, jodenmoordenaars op! Propageren Antisemitisme alsof het normaal is, onvoorstelbaar;2.0;5.0;98.0;1,1K;vreemdeling;2024-09-27 20_52_32.971218;0.947025716304779;0.000021476262191;0.000052606505051;0.000267309951596;0.000051053935749;0.410500377416611;0.000411735789385;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
16;985b532a1f0ee8ce;c8f7f6cb2f13ee5d;dfcc586e81477da6;2024-09-18T10:59:01.000Z;Zolang de werkende klasse zich steeds laat opnaaien (zoals half Nederland) dat alles aan ‘de vreemdeling’ ligt, blijven ze de PVV verkiezen boven andere partijen die wél iets aan bestaanszekerheid willen doen.;;;2.0;20;vreemdeling;2024-09-27 20_52_32.971218;0.150167822837830;0.000090501220257;0.001665850169957;0.000066759035690;0.000144180376083;0.045412026345730;0.000652416900266;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
17;ad5b6dade6b0b873;e34ae04d5eb7fd4c;3874414b4ec53524;2024-09-18T07:03:18.000Z;"Daarom moest het eigen volk zo tolerant zijn om het woord discriminatie niet te hoeven horen. Momenteel zien we hoe ver ons dit nu heeft gebracht...
Een vreemdeling komt in ons eigen land ons de les lezen. Wat zullen ze lachen met ons, nu ze ons hebben klein gekregen...";;;3.0;38;vreemdeling;2024-09-27 20_52_32.971218;0.221523880958557;0.000128269050037;0.000040241669922;0.000293184653856;0.000108949672722;0.208883553743362;0.001198911573738;1. Against immigration, migrants, foreigners, refugees, or Muslims.
18;c39551c3bdaac0b9;143c07d75f814e92;4a9a8e1f904933c0;2024-09-23T15:32:52.000Z;"Goed punt Thierry.

Het zou wat zijn als ik op cruciale thema's beter voor vreemdelingen zou zorgen dan voor bijvoorbeeld mijn eigen kinderen.

De Nederlandse overheid lijkt echter beter voor de vreemdeling te (willen) zorgen, dan voor haar eigen (autochtone) burgers.";;1.0;3.0;50;vreemdeling;2024-09-27 20_52_32.971218;0.069439142942429;0.000021092419047;0.000476524990518;0.000127029095893;0.000322396226693;0.032626658678055;0.000171701816725;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;b595c18221c421f8;82af9d01d3fff000;7556842136ee8126;2024-09-20T19:50:30.000Z;Ze liegen niet. Gümüz was een inwoner van 020, en hij werkte er al jaren. Maar toen kreeg hij het woord, en sprak geen woord NL. Een GL dame nam snel de microfoon en sprak lovende extreem linkse woorden over de vreemdeling. En ik werd politiek wakker.;;;5.0;152;vreemdeling;2024-09-27 20_52_32.971218;0.004611014388502;0.000000754125836;0.000008260567483;0.000617956684437;0.000157970542205;0.001136871054769;0.000789200887084;1. Against immigration, migrants, foreigners, refugees, or Muslims.
20;309ffbe0feb79b41;a89373edc2dee2fa;f6ec49511ef80c12;2024-09-22T13:11:21.000Z;Deze bonkige bloemetjesbloes was de vreemdeling wel goedgezind;;1.0;2.0;5,3K;vreemdeling;2024-09-27 20_52_32.971218;0.008688856847584;0.000445858400781;0.008773790672421;0.065174624323845;0.000274188438198;0.044005420058966;0.002711909124628;5. Is neutral.
21;5411bb7c464aaba4;201f06323bfc45a8;81fbf877d6cd4451;2024-08-28T13:08:15.000Z;België  heeft de zgn Snel Belgwet gehad waardoor vreemdeling eenvoudig en snel Belg konden worden. Dat gaan wij nu ook doen: vreemdelingen die hier een jaar zijn krijgen van ons een Belgisch paspoort. #TotZiens #AuRevoir;20.0;21.0;179.0;14K;vreemdeling;2024-09-27 20_52_32.971218;0.002595640486106;0.000034199867514;0.000403144949814;0.000036270997953;0.000027094585676;0.004362512379885;0.001071398495696;1. Against immigration, migrants, foreigners, refugees, or Muslims.
22;238506b16058bc1f;cbb7d7a6c345f0a7;f5943ac5bd53da65;2024-09-08T19:50:40.000Z;"Even op bezoek bij Huygens en de Voorburgse musea, waar mijn museumloopbaan ooit begon.

'k Wil Hofwijck als het is, 'k wil Hofwijck als 't zal wezen. De vreemdeling doen zien, de Hollander doen lezen.";;;1.0;74;vreemdeling;2024-09-27 20_52_32.971218;0.001465518143959;0.000032056650525;0.000273046054645;0.000040292321501;0.000035694865801;0.010856986045837;0.001772178919054;5. Is neutral.
23;a3e8aff6ab05a805;b53c852a3c90be88;bf410f67a0414789;2024-08-14T08:11:03.000Z;1/ Aantal overlastgevende asielzoekers verdubbeld. Meeste ’probleem-asielzoekers’ op Top-X-lijst hebben Syrische herkomst. 4 op 10 asielzoekers op die lijst zijn ama (alleenstaande minderjarige vreemdeling). Maar volgens lieden als Leo Lucassen kan de NL economie niet zonder hen.;4.0;27.0;49.0;1,8K;vreemdeling;2024-09-27 20_52_32.971218;0.162462294101715;0.000518407963682;0.000437389651779;0.001285874866880;0.003818094264716;0.039833951741457;0.000533234211616;1. Against immigration, migrants, foreigners, refugees, or Muslims.
24;6789185d7a60d33b;bdff76b3557009e3;3fa11f3d5f9c43ee;2024-08-20T10:41:02.000Z;"Oud boek, eerste helft vorige eeuw, ""De vreemdeling "", van de Algerijn  Albert Camus. Amor fati: waar je ook vandaan komt en waarheen je ook gaat,  het is vooralsnog slechts tijdelijk.";1.0;;2.0;61;vreemdeling;2024-09-27 20_52_32.971218;0.000252952711890;0.000001167582582;0.000259270920651;0.000053639974794;0.000032218194974;0.001502511673607;0.000629849557299;5. Is neutral.
25;42f1296fc4dc9a0d;5c9fbbdd54c1ec39;544cc8a62c43d612;2024-08-19T05:23:54.000Z;1/Want ik(Jezus) had honger en jullie gaven mij te eten, ik had dorst en jullie gaven mij te drinken. Ik was een vreemdeling,en jullie namen mij op, ik was naakt, en jullie kleedden mij. Ik was ziek en jullie bezochten mij, ik zat gevangen en jullie kwamen naar mij toe.” #bijbel;1.0;;;29;vreemdeling;2024-09-27 20_52_32.971218;0.000399589684093;0.000000059382565;0.000103755322925;0.018866460770368;0.000440616364358;0.001259436248802;0.000093724440376;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
26;5e4393ade60cb1ee;7dd42c0e7b6b9877;3bd3eccad9cff7ec;2024-09-13T13:56:55.000Z;Dank vreemdeling voor dit boek! #BuurtBieb;;;5.0;276;vreemdeling;2024-09-27 20_52_32.971218;0.000167264079209;0.000000186070864;0.000001836012871;0.000239498855080;0.000067323548137;0.000067169959948;0.000027763853723;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
27;3e9c940c4102ce0b;4a16c8f407320739;73b712237f23a770;2024-09-05T06:28:38.000Z;Het blijft dweilen met de kraan open. Illegaliteit moet strafbaar worden gesteld @MinisterAenM . Dan heeft de overheid een titel om illegalen op te pakken, vast te zetten en als ongewenste vreemdeling uit te zetten.;;5.0;10.0;230;vreemdeling;2024-09-27 20_52_32.971218;0.309600055217743;0.000356984237442;0.000017806327378;0.000167102625710;0.000062211533077;0.152963548898697;0.001163684413768;1. Against immigration, migrants, foreigners, refugees, or Muslims.
28;4db3db16cae2895b;5a456047bd949842;e508afdc5379c288;2024-08-08T17:17:00.000Z;Engeland. Als je in je eigen huis een vreemdeling binnenlaat voor een kopje soep en hij twee jaar later bij je slaapt met zijn hele familie, je koelkast leegeet, vertelt hoe laat je naar bed mag en je straft als je niet bidt voor Allah. Dan pleur je ze toch ook de deur uit?;;;;175;vreemdeling;2024-09-27 20_52_32.971218;0.260189920663834;0.014797192066908;0.000301061489154;0.000549648131709;0.000050840892072;0.642545342445374;0.024865303188562;1. Against immigration, migrants, foreigners, refugees, or Muslims.
29;a10c891f35cb1aec;a837cd70f8a27f92;40250c0e8b3a29e5;2024-08-29T16:38:57.000Z;"dit keukentextiel gewonnen. Handdoek & theedoek. Heel mooi, en gelukkig zijn ze ook nog echt te gebruiken 
Kan aan mij liggen, maar ben ik nou de vreemdeling??";;;1.0;60;vreemdeling;2024-09-27 20_52_32.971218;0.005390155129135;0.000001585718678;0.000045993030653;0.000045042575948;0.000000774197702;0.001662765163928;0.000083393388195;6. Other: nor for or against immigration
30;517767475b612ae2;dc339ad0595423b0;f72bb09e71c706e3;2024-09-11T14:01:40.000Z;Aldus Monique, wiens man op basis van valse papieren een verblijfsvergunning verkreeg en een tijdje daarna hun buurvrouw tijdens een beroving in haar voet schoot. Resultaat, hij is tot ongewenste vreemdeling verklaard en kreeg een gevangenisstraf van 10 jaar.;;;3.0;165;vreemdeling;2024-09-27 20_52_32.971218;0.005650853272527;0.000018570917746;0.000040074926801;0.025780126452446;0.000111633926281;0.127153337001801;0.002981638070196;1. Against immigration, migrants, foreigners, refugees, or Muslims.
31;c502ec6e00b158b8;4f66f729883be4fd;2d164ff6814fb75a;2024-09-16T07:36:53.000Z;054 - Een vreemdeling in de spiegel - Sidney Sheldon https://link.marktplaats.nl/m2158685813?utm_medium=social&utm_campaign=socialbuttons&utm_source=twitter_large… via @marktplaats;;;;28;vreemdeling;2024-09-27 20_52_32.971218;0.000693379028235;0.000005654249890;0.000312329269946;0.001442589098588;0.000215021165786;0.003391110571101;0.003173713106662;6. Other: nor for or against immigration
32;850323f8eea5ae27;4f66f729883be4fd;2d164ff6814fb75a;2024-09-16T07:38:31.000Z;054 - Een vreemdeling in de spiegel - Sidney Sheldon https://link.2dehands.be/m2158686276?utm_medium=social&utm_campaign=socialbuttons&utm_source=twitter_large… via @2dehandsBE;;;;33;vreemdeling;2024-09-27 20_52_32.971218;0.000729048450012;0.000002705639872;0.000163510543643;0.003270561341196;0.000449696177384;0.003502466250211;0.003437094390392;6. Other: nor for or against immigration
33;c33df22d4f135540;1aadf59bed9efad5;c397b31c65f0970a;2024-08-31T12:14:59.000Z;Kan iemand dat kind tot ongewenste vreemdeling verklaren...;1.0;3.0;17.0;941;vreemdeling;2024-09-27 20_52_32.971218;0.285286784172058;0.000904897111468;0.000018639815607;0.001928938436322;0.014695946127176;0.143750265240669;0.000181010138476;1. Against immigration, migrants, foreigners, refugees, or Muslims.
34;6d8342f918123a22;9fc170a11cf8af9d;447f14bd80e8634e;2024-09-15T13:30:45.000Z;Zechiel vooral is echt een vreemdeling.;13.0;1.0;189.0;53K;vreemdeling;2024-09-27 20_52_32.971218;0.035768926143646;0.000000438016258;0.000014899469534;0.000043046544306;0.000004868641554;0.000709393178113;0.000076159252785;6. Other: unclear stance on immigration.
35;36e81c262e15df2c;2dd356026300be8a;fd001196d3e985c0;2024-09-12T12:16:55.000Z;Ik vraag mij dan af of we dit soort figuren in Nederland willen huisvesten. Veroordeel ze en zet ze daarna als ongewenst vreemdeling met de HELE familie uit Nederland.;2.0;;2.0;47;vreemdeling;2024-09-27 20_52_32.971218;0.665807425975800;0.017804155126214;0.000016401447283;0.000003416657364;0.000003468268005;0.615212738513947;0.000978698721155;1. Against immigration, migrants, foreigners, refugees, or Muslims.
36;72163ced08ebe423;01c329d27b11e061;5be85047f43301e9;2024-09-09T17:39:54.000Z;"OP WEG NAAR SCHOOL 

Deze knul van slechts 11 jaar met de naam Aiden Clarke, werd vermoord op weg naar school in Springfield, Ohio. Verenigde Staten.

Zijn moordenaar was een illegale Haïtiaanse vreemdeling. Waarvan er zo rond de 100.000 van zijn binnengelaten door Biden en";10.0;14.0;34.0;789;vreemdeling;2024-09-27 20_52_32.971218;0.101073034107685;0.000321466854075;0.000007491536508;0.009090413339436;0.018482945859432;0.272787451744080;0.012490969151258;1. Against immigration, migrants, foreigners, refugees, or Muslims.
37;2dafed5f0624beef;9e70bb5c5b8bac73;8df5e20dd32e9eae;2024-09-11T20:41:55.000Z;De man die een maatschappelijk assistente verkrachtte in de gevangenis is een vreemdeling? Nee, je verwacht 't niet.;6.0;12.0;90.0;1,2K;vreemdeling;2024-09-27 20_52_32.971218;0.032963488250971;0.000009732941180;0.000004302771231;0.080210596323013;0.000090123845439;0.474548757076263;0.004933788441122;1. Against immigration, migrants, foreigners, refugees, or Muslims.
38;53777a025b91fb56;2160c79c751fdaf8;88417e4206c291ea;2024-09-17T18:28:11.000Z;de asieleisers kosten teveel ja ook dat maar heeft iemand ook verteld dat nederland ook niet meer nederland is,het is een definitieve uitschakeling van de gewone nederlandse man,want zo is het gewoon,vreemdeling in eigen land en dat moet betaald worden om dit in stand te houden;;;;2;vreemdeling;2024-09-27 20_52_32.971218;0.410466790199280;0.000995564740151;0.000285771209746;0.000013203607523;0.000006105181001;0.048644542694092;0.000809291494079;1. Against immigration, migrants, foreigners, refugees, or Muslims.
39;276fb8d4da962b2b;fe1e57851dacdce1;40fd9af009fc8d07;2024-08-31T08:00:56.000Z;"Kijk mensen, zo werd ik behandeld  “de vreemdeling” werd ik genoemd en ik moest mij melden op het politiebureau voor het aanvragen van een zelfstandige verblijfsvergunning 
Nu komen ze met bosjes binnen en worden aan alle kanten geholpen. 
Kijk je even mee @Leolucassen";;6.0;16.0;189;vreemdeling;2024-09-27 20_52_32.971218;0.035423111170530;0.000011869902664;0.000011483716662;0.000095091920230;0.000005928235169;0.003520556725562;0.000084937702923;1. Against immigration, migrants, foreigners, refugees, or Muslims.
