Language,LanguageName,Country,Items
en,English,United States,578
pt,Portuguese,Brazil,262
en,English,European Union,172
en,English,China,171
en,English,United Kingdom,164
en,English,Germany,159
fr,French,France,144
en,English,(unspecified),99
it,Italian,Italy,93
en,English,France,85
en,English,Russia,84
it,Italian,European Union,82
en,English,India,81
en,English,Australia,72
pt,Portuguese,United States,71
es,Spanish,Spain,70
en,English,Canada,69
it,Italian,United States,63
en,English,Brazil,59
pt,Portuguese,European Union,55
en,English,Iran,52
en,English,Italy,51
en,English,Turkey,48
fr,French,United States,41
pt,Portuguese,Germany,39
en,English,Pakistan,38
en,English,Egypt,35
en,English,Myanmar,34
en,English,Spain,34
pt,Portuguese,Portugal,34
fr,French,Canada,31
en,English,Philippines,29
en,English,Saudi Arabia,29
en,English,South Africa,29
es,Spanish,United States,29
fr,French,European Union,29
en,English,Indonesia,27
en,English,South Korea,27
en,English,Netherlands,24
es,Spanish,Mexico,23
en,English,Mexico,22
en,English,Thailand,22
pt,Portuguese,United Kingdom,22
en,English,Israel,21
en,English,Syria,21
fr,French,Germany,21
en,English,Ireland,20
en,English,Ukraine,20
it,Italian,Germany,20
en,English,Nigeria,19
es,Spanish,Argentina,19
en,English,Singapore,18
en,English,Soviet Union,18
es,Spanish,European Union,18
it,Italian,France,17
en,English,Japan,16
en,English,Malaysia,16
en,English,Poland,16
en,English,Vietnam,16
fr,French,United Kingdom,16
en,English,Sweden,15
en,English,Tunisia,15
en,English,United Arab Emirates,15
en,English,Hungary,14
en,English,New Zealand,14
es,Spanish,Brazil,14
en,English,Austria,13
en,English,Ethiopia,13
en,English,Kenya,13
en,English,Libya,13
en,English,Portugal,13
es,Spanish,Colombia,12
en,English,Belarus,11
en,English,Denmark,11
en,English,Lebanon,11
en,English,Norway,11
en,English,Uganda,11
fr,French,China,11
fr,French,Italy,11
pt,Portuguese,France,11
und,undetermined,United States,11
en,English,Bahrain,10
en,English,Cuba,10
en,English,Estonia,10
en,English,Finland,10
en,English,Kazakhstan,10
en,English,Palestine,10
en,English,Taiwan,10
en,English,Zimbabwe,10
und,undetermined,France,10
en,English,Jordan,9
en,English,Sudan,9
en,English,Uzbekistan,9
fr,French,Spain,9
it,Italian,United Kingdom,9
pt,Portuguese,Spain,9
en,English,Bangladesh,8
en,English,England,8
en,English,Hong Kong,8
en,English,Romania,8
en,English,Sri Lanka,8
en,English,Yemen,8
fr,French,Belgium,8
fr,French,Russia,8
it,Italian,China,8
pt,Portuguese,Australia,8
pt,Portuguese,China,8
en,English,Argentina,7
en,English,Azerbaijan,7
en,English,Colombia,7
en,English,Czechoslovakia,7
en,English,Europe,7
en,English,Switzerland,7
en,English,Venezuela,7
es,Spanish,France,7
es,Spanish,Germany,7
es,Spanish,Peru,7
fr,French,India,7
it,Italian,(unspecified),7
it,Italian,Brazil,7
pt,Portuguese,India,7
en,English,Algeria,6
en,English,Belgium,6
en,English,North Korea,6
en,English,USSR,6
es,Spanish,Chile,6
es,Spanish,Venezuela,6
fr,French,Switzerland,6
it,Italian,Russia,6
it,Italian,Spain,6
en,English,Africa,5
en,English,Cambodia,5
en,English,Czech Republic,5
en,English,Kyrgyzstan,5
en,English,Malawi,5
en,English,Morocco,5
en,English,Qatar,5
en,English,Rwanda,5
en,English,Uruguay,5
es,Spanish,India,5
es,Spanish,Portugal,5
es,Spanish,United Kingdom,5
fr,French,Egypt,5
fr,French,Philippines,5
fr,French,Portugal,5
pt,Portuguese,(unspecified),5
pt,Portuguese,Italy,5
pt,Portuguese,Russia,5
und,undetermined,China,5
en,English,Armenia,4
en,English,Burma,4
en,English,Chile,4
en,English,East Germany,4
en,English,Georgia,4
en,English,Great Britain,4
en,English,Greece,4
en,English,Iraq,4
en,English,Kuwait,4
en,English,Oman,4
en,English,Slovakia,4
es,Spanish,Italy,4
es,Spanish,Uruguay,4
fr,French,(unspecified),4
fr,French,USSR,4
it,Italian,India,4
it,Italian,Japan,4
pt,Portuguese,Canada,4
und,undetermined,Germany,4
und,undetermined,Spain,4
en,English,Afghanistan,3
en,English,Angola,3
en,English,Cameroon,3
en,English,Ecuador,3
en,English,Ghana,3
en,English,Honduras,3
en,English,Nepal,3
en,English,Tanzania,3
en,English,Turkmenistan,3
en,English,UK,3
en,English,Yugoslavia,3
en,English,Zaire,3
en,English,Zambia,3
es,Spanish,(unspecified),3
es,Spanish,Canada,3
es,Spanish,China,3
es,Spanish,Ecuador,3
es,Spanish,Hungary,3
es,Spanish,Latin America,3
es,Spanish,Soviet Union,3
fr,French,Ethiopia,3
fr,French,Myanmar,3
fr,French,Poland,3
fr,French,Romania,3
fr,French,Vatican City,3
it,Italian,Argentina,3
it,Italian,Australia,3
pt,Portuguese,Indonesia,3
pt,Portuguese,Myanmar,3
pt,Portuguese,Philippines,3
und,undetermined,European Union,3
und,undetermined,United Kingdom,3
en,English,Americas,2
en,English,Ancient Rome,2
en,English,Asia,2
en,English,Bolivia,2
en,English,Bosnia,2
en,English,Costa Rica,2
en,English,Croatia,2
en,English,Eritrea,2
en,English,German Democratic Republic,2
en,English,Guatemala,2
en,English,Iceland,2
en,English,Latvia,2
en,English,Middle East,2
en,English,Moldova,2
en,English,Ottoman Empire,2
en,English,Slovenia,2
en,English,Soviet Russia,2
en,English,The Gambia,2
en,English,Türkiye,2
en,English,USA,2
en,English,Western Europe,2
es,Spanish,Cuba,2
es,Spanish,Philippines,2
es,Spanish,Russia,2
fr,French,Bangladesh,2
fr,French,Belarus,2
fr,French,Brazil,2
fr,French,Cameroon,2
fr,French,Chad,2
fr,French,Cuba,2
fr,French,Denmark,2
fr,French,Finland,2
fr,French,Gambia,2
fr,French,Greece,2
fr,French,Hong Kong,2
fr,French,Hungary,2
fr,French,Iran,2
fr,French,Iraq,2
fr,French,Ireland,2
fr,French,Israel,2
fr,French,Pakistan,2
fr,French,Palestine,2
fr,French,South Africa,2
fr,French,Soviet Union,2
fr,French,Thailand,2
fr,French,Togo,2
fr,French,Turkey,2
fr,French,Ukraine,2
it,Italian,Austria,2
it,Italian,Myanmar,2
it,Italian,New Zealand,2
it,Italian,Philippines,2
it,Italian,Romania,2
it,Italian,Ukraine,2
pt,Portuguese,Argentina,2
pt,Portuguese,Belgium,2
pt,Portuguese,Brasil,2
pt,Portuguese,Chile,2
pt,Portuguese,Colombia,2
pt,Portuguese,Estados Unidos,2
pt,Portuguese,Iran,2
pt,Portuguese,Poland,2
pt,Portuguese,Singapore,2
pt,Portuguese,Turkey,2
und,undetermined,Brazil,2
und,undetermined,Canada,2
und,undetermined,India,2
und,undetermined,Russia,2
und,undetermined,South Africa,2
und,undetermined,Syria,2
ca,Catalan,Poland,1
ca,Catalan,Soviet Union,1
ca,Catalan,Spain,1
cy,Welsh,Spain,1
de,German,(unspecified),1
de,German,France,1
de,German,Germany,1
de,German,Russia,1
de,German,Sweden,1
de,German,Switzerland,1
de,German,USSR,1
de,German,Yemen,1
en,English,Ancient Greece,1
