Language,LanguageName,Country,Sub-topic,Items
en,English,United States,Platform governance,174
pt,Portuguese,Brazil,Platform governance,92
en,English,European Union,Platform governance,61
en,English,United States,Censorship,46
en,English,United States,Community norms and identity,45
en,English,(unspecified),Platform governance,40
en,English,Germany,Platform governance,39
en,English,United Kingdom,Platform governance,37
pt,Portuguese,Brazil,Platform regulation,33
pt,Portuguese,United States,Platform governance,29
en,English,China,Platform governance,26
en,English,India,Platform governance,26
en,English,United States,Compliance,26
en,English,Australia,Platform governance,23
pt,Portuguese,European Union,Platform governance,23
en,English,European Union,Compliance,21
it,Italian,European Union,Compliance,21
en,English,European Union,Platform regulation,20
en,English,France,Platform governance,20
en,English,United States,Debate management,20
en,English,Brazil,Platform governance,19
en,English,European Union,Censorship,19
en,English,United States,Regulative,18
it,Italian,United States,Platform governance,17
en,English,(unspecified),Community norms and identity,16
en,English,Myanmar,Platform governance,16
it,Italian,European Union,Platform governance,16
en,English,Russia,Platform governance,15
en,English,United States,Moderation as industrial labour,15
en,English,United States,Platform regulation,15
it,Italian,Italy,Platform governance,15
pt,Portuguese,Germany,Platform governance,15
it,Italian,Italy,Compliance,14
en,English,Canada,Platform governance,12
en,English,Germany,Compliance,12
it,Italian,European Union,Platform regulation,12
pt,Portuguese,Brazil,Compliance,12
pt,Portuguese,Brazil,Debate management,12
pt,Portuguese,Brazil,Regulative,11
en,English,Germany,Censorship,10
en,English,Germany,Regulative,10
en,English,Philippines,Platform governance,10
fr,French,France,Community norms and identity,10
fr,French,France,Debate management,10
fr,French,United States,Platform governance,10
pt,Portuguese,Brazil,Censorship,10
en,English,Germany,Debate management,9
en,English,Ireland,Platform governance,9
en,English,Pakistan,Platform governance,9
en,English,Turkey,Platform governance,9
fr,French,France,Platform governance,9
it,Italian,United States,Compliance,9
it,Italian,United States,Platform regulation,9
pt,Portuguese,European Union,Platform regulation,9
pt,Portuguese,Germany,Platform regulation,9
en,English,China,Regulative,8
en,English,European Union,Community norms and identity,8
en,English,United Kingdom,Censorship,8
en,English,United Kingdom,Debate management,8
it,Italian,European Union,Censorship,8
it,Italian,Italy,Platform regulation,8
pt,Portuguese,European Union,Compliance,8
pt,Portuguese,United Kingdom,Platform governance,8
pt,Portuguese,United States,Platform regulation,8
en,English,Germany,Community norms and identity,7
en,English,New Zealand,Platform governance,7
en,English,Russia,Regulative,7
en,English,United Kingdom,Community norms and identity,7
en,English,United Kingdom,Compliance,7
en,English,United Kingdom,Regulative,7
es,Spanish,United States,Platform governance,7
fr,French,France,Censorship,7
en,English,Australia,Compliance,6
en,English,Australia,Regulative,6
en,English,Canada,Debate management,6
en,English,China,Compliance,6
en,English,European Union,Regulative,6
en,English,France,Regulative,6
en,English,Indonesia,Platform governance,6
en,English,Italy,Platform governance,6
en,English,Mexico,Platform governance,6
en,English,Nigeria,Platform governance,6
en,English,Philippines,Moderation as industrial labour,6
en,English,United Kingdom,Moderating extremism,6
en,English,United States,Moderating extremism,6
es,Spanish,Brazil,Platform governance,6
fr,French,European Union,Platform governance,6
fr,French,European Union,Platform regulation,6
fr,French,France,Platform regulation,6
it,Italian,Germany,Platform governance,6
it,Italian,United States,Censorship,6
pt,Portuguese,Brazil,Community norms and identity,6
en,English,Brazil,Compliance,5
en,English,China,Community norms and identity,5
en,English,France,Community norms and identity,5
en,English,India,Community norms and identity,5
en,English,Russia,Censorship,5
en,English,Singapore,Platform governance,5
en,English,Sweden,Platform governance,5
en,English,Thailand,Platform governance,5
en,English,Ukraine,Platform governance,5
en,English,United States,Common carriage / neutral conduit,5
es,Spanish,European Union,Platform governance,5
fr,French,Canada,Platform governance,5
fr,French,France,Regulative,5
fr,French,United States,Censorship,5
it,Italian,European Union,Regulative,5
it,Italian,Italy,Censorship,5
it,Italian,Italy,Regulative,5
it,Italian,United States,Regulative,5
pt,Portuguese,Germany,Compliance,5
pt,Portuguese,United Kingdom,Platform regulation,5
pt,Portuguese,United States,Compliance,5
en,English,(unspecified),Moderation as industrial labour,4
en,English,Australia,Community norms and identity,4
en,English,Brazil,Censorship,4
en,English,Canada,Community norms and identity,4
en,English,China,Platform regulation,4
en,English,Europe,Platform governance,4
en,English,European Union,Moderating extremism,4
en,English,Germany,Moderating extremism,4
en,English,Germany,Platform regulation,4
en,English,India,Compliance,4
en,English,India,Moderation as industrial labour,4
en,English,India,Platform regulation,4
en,English,Iran,Platform governance,4
en,English,Italy,Regulative,4
en,English,Netherlands,Community norms and identity,4
en,English,Netherlands,Debate management,4
en,English,Netherlands,Platform governance,4
en,English,South Africa,Platform governance,4
en,English,South Korea,Platform governance,4
en,English,Spain,Platform governance,4
en,English,United Kingdom,Moderation as industrial labour,4
en,English,United States,Brand safety,4
es,Spanish,European Union,Platform regulation,4
es,Spanish,Mexico,Platform regulation,4
es,Spanish,Spain,Community norms and identity,4
es,Spanish,Spain,Debate management,4
es,Spanish,Spain,Regulative,4
fr,French,European Union,Regulative,4
fr,French,France,Compliance,4
it,Italian,Brazil,Platform governance,4
it,Italian,Italy,Community norms and identity,4
pt,Portuguese,European Union,Regulative,4
pt,Portuguese,Portugal,Platform governance,4
pt,Portuguese,United States,Regulative,4
en,English,(unspecified),Censorship,3
en,English,(unspecified),Compliance,3
en,English,(unspecified),Debate management,3
en,English,Africa,Platform governance,3
en,English,Australia,Censorship,3
en,English,Austria,Platform governance,3
en,English,Brazil,Community norms and identity,3
en,English,Brazil,Regulative,3
