Topic,Medium,How,Items
Content moderation,Social media platform,Removal,696
Content moderation,Social media platform,Review,618
Content moderation,Social media platform,Filtering,612
Content moderation,Social media platform,Enframing,565
Content moderation,Social media platform,Monitoring,414
Content moderation,Social media platform,Marginalisation,391
Content moderation,Social media platform,Profiling,362
Content moderation,Video sharing platform,Removal,354
Content moderation,Social media platform,Labeling,353
Content moderation,Social media platform,Blocking,334
Content moderation,Video sharing platform,Review,313
Content moderation,Video sharing platform,Filtering,309
Content moderation,Social media platform,Deplatforming,307
Content moderation,Video sharing platform,Enframing,279
Content moderation,Video sharing platform,Monitoring,223
Censorship,Print media,Self-censorship,219
Content moderation,Social media platform,Disclosure,219
Content moderation,Social media platform,Restricting access,219
Content moderation,Video sharing platform,Marginalisation,215
Censorship,Print media,Review,213
Content moderation,Social media platform,Metamoderation,213
Censorship,Print media,Filtering,210
Censorship,Print media,Modification,209
Censorship,Print media,Removal,195
Content moderation,Video sharing platform,Labeling,189
Content moderation,Video sharing platform,Profiling,181
Content moderation,Search engine,Removal,180
Content moderation,Video sharing platform,Blocking,178
Content moderation,Social media platform,Economic,172
Content moderation,Social media platform,Correcting,169
Content moderation,Search engine,Filtering,164
Content moderation,Video sharing platform,Deplatforming,158
Content moderation,Search engine,Review,153
Censorship,Print media,Removal from circulation,149
Content moderation,Search engine,Enframing,147
Censorship,Social media platform,Filtering,140
Censorship,Social media platform,Removal,138
Content moderation,Video sharing platform,Disclosure,136
Censorship,Print media,Enframing,132
Content moderation,Messaging platform,Removal,132
Content moderation,Video sharing platform,Restricting access,131
Censorship,Print media,Licensing,130
Content moderation,Video sharing platform,Economic,127
Censorship,Print media,Economic,124
Content moderation,Search engine,Monitoring,124
Censorship,Print media,Coersive,123
Content moderation,Social media platform,Rating,120
Censorship,Print media,Monitoring,118
Content moderation,Messaging platform,Filtering,116
Censorship,Social media platform,Monitoring,113
Content moderation,Messaging platform,Review,112
Content moderation,Search engine,Marginalisation,111
Content moderation,Video sharing platform,Metamoderation,110
Content moderation,Messaging platform,Enframing,109
Censorship,Print media,Blocking,108
Censorship,Print media,Profiling,106
Content moderation,Social media platform,Self-censorship,105
Content moderation,Messaging platform,Monitoring,99
Censorship,Film,Review,98
Censorship,Film,Modification,96
Content moderation,AI,Filtering,95
Content moderation,Search engine,Blocking,94
Censorship,Print media,Confiscation,93
Censorship,Social media platform,Enframing,93
Content moderation,Video sharing platform,Correcting,93
Content moderation,Search engine,Profiling,92
Censorship,Social media platform,Blocking,91
Content moderation,AI,Review,91
Censorship,Film,Self-censorship,90
Censorship,Print media,Deplatforming,90
Censorship,Social media platform,Restricting access,90
Censorship,Social media platform,Review,89
Content moderation,Social media platform,Modification,88
Censorship,Print media,Interiorisation,83
Censorship,Film,Removal,82
Content moderation,Messaging platform,Labeling,81
Content moderation,Search engine,Disclosure,81
Content moderation,Search engine,Restricting access,81
Censorship,Print media,Restricting access,80
Censorship,Social media platform,Self-censorship,80
Content moderation,Search engine,Labeling,80
Censorship,Film,Filtering,79
Content moderation,Search engine,Deplatforming,77
Content moderation,AI,Removal,75
Content moderation,Messaging platform,Blocking,75
Content moderation,Messaging platform,Marginalisation,73
Censorship,Film,Removal from circulation,71
Content moderation,Messaging platform,Deplatforming,70
Censorship,Television,Self-censorship,69
Content moderation,Social media platform,Prompting,69
Censorship,ISP,Filtering,68
Content moderation,Messaging platform,Profiling,68
Content moderation,Platforms,Removal,68
Content moderation,Social media platform,Redirection,67
Censorship,Print media,Labeling,65
