Citations,Publication Year,Discipline,Sub-topic,Title,Author,Key,Abstract Note,Language
83,1969,philosophy_ethics,Constitutive,Le conflit des interprétations,Ricœur Paul,X6G72II3,,fr
2,1972,history_book_history,Constitutive,"Communication: Censure, theatre, et Commune (1871-1914)","Parrain, Josette",ZZ7KTL3R,,fr
61,1977,sociology_anthropology,Constitutive,La censure,P Bourdieu,NCL3DLTL,Ce que je veux dire peut se resumer en une forrnule génératrice: Toute expres-sion est un &dquo; produit&dquo; d’un interet evpressif et d’une censure constituée par la structure du …,fr
43,1978,censorship_studies,Constitutive,L'amour du censeur: Essai sur l'ordre dogmatique,A Nitschke,IG7L7GB9,,fr
0,1982,censorship_studies,Constitutive,CENSURA:“O SILÊNCIO VELADO,ER Silva,XIREW92F,"… Este artigo aborda a censura como um mecanismo de controle … Inicialmente, discute-se as motivações e os contextos da censura, … A censura digital no século XXI é discutida como um …",pt
0,1989,history_book_history,Constitutive,APUNTS SOBRE LA CENSURA LITERÀRIA A CATALUNYA DURANT EL FRANQUISME,"Abellan, Manuel L",3ZNYWNGS,,pt
0,1990,sociology_anthropology,Constitutive,"Census, censor, censura","Almanza, Luis Alejandro Astorga",AJXX7NY6,The author provides a sociological analysis of censuses and discusses the range of demographic meanings intended by their creators.,en
10024,1991,sociology_anthropology,Constitutive,Language and Symbolic Power,P Bourdieu,7252JSTM,Preface Editor's Introduction General Introduction Part I The Economy of Linguistic Exchanges Introduction 1. The Production and Reproduction of Legitimate Language 2. Price Formation and the Anticipation of Profits Appendix: Did You Say 'Popular'? Part II The Social Institution of Symbolic Power Introduction 3. Authorized Language: The Social Conditions for the Effectiveness of Ritual Discourse 4. Rites of Institution 5. Description and Prescription: The Conditions of Possibility and the Limits of Political Effectiveness 6. Censorship and the Imposition of Form Part III Symbolic Power and the Political Field 7. On Symbolic Power 8. Political Representation: Elements for a Theory of the Political Field 9. Delegation and Political Fetishism 10. Identity and Representation: Elements for a Critical Reflection on the Idea of Region 11. Social Space and the Genesis of 'Classes' Note Index,en
6,1991,history_book_history,Constitutive,"Censure, morale et écriture à l'époque du""réalisme social""",G Champeau,NE5SHJYQ,"… Censure et la problématique marge de manœuvre dont pouvait jouir l'écriture, je me propose d'examiner, à partir d'un nombre limité de dossiers des Archives de la Censure … censure. Je …",fr
269,1994,sociology_anthropology,Constitutive,Self-censorship in public discourse: A theory of “political correctness” and related phenomena,GC Loury,ZCY38NJ9,"Uncertainty about what motivates “senders” of public messages leads “receivers” to “read between the lines” to discern the sender's deepest commitments. Anticipating this, senders “…",en
128,1994,arts_literary_cultural_studies,Constitutive,"The administration of aesthetics: censorship, political criticism, and the public sphere",Social Text Collective,JEJV3MU5,"… marks him as a participant in the chief mode of censorship in the United States, namely, the … with using censorship, old or new, as a tool of cultural criticism. Opposing censorship is …",en
88,1994,arts_literary_cultural_studies,Constitutive,The Administration of Aesthetics,Burt Richard,UCXU9252,,en
249,1996,history_book_history,Constitutive,Sin and censorship: The Catholic Church and the motion picture industry,F Walsh,ZUBEZX7L,"… Frank Walsh tells how the church's influence in Hollywood grew through the 1920s and reached its peak in the 1930s, when the film industry allowed Catholics to dictate the Production …",en
149,1996,arts_literary_cultural_studies,Constitutive,Modernism and the Theater of Censorship,A Parkes,QVXGPHSI,"… cultural implications of the censorship encountered by several … He situates modernism in the context of this censorship, … of censorship, Modernism and the Theater of Censorship …",en
9,1996,arts_literary_cultural_studies,Constitutive,Pornografia e censura,JM Coetzee,MSNXP8WC,"… La censura di Stato ci offre un indizio. La censura di Stato si presenta come una roccaforte … un errore: è caratteristico della logica paranoide della censura ritenere che la virtù, in quanto …",it
5,1996,censorship_studies,Constitutive,Case Against Postmodern Censorship Theory,"Gey, Steven G",EFIYEENL,,en
18,1997,history_book_history,Constitutive,"Circles of Censorship: Censorship and Its Metaphors in French History, Literature and Theory","Phillips, John; Harrison, Nicholas",LST2HX9C,"The French Revolution of 1789 bequeathed an enduring rhetoric of human rights which made it conventional to declare oneself against censorship and in favour of freedom of expression. But as this book demonstrates, the apparent consensus on this issue in modern France and elsewhere rests on a shaky sense of that rhetoric's history. And while censors have continued to the present day to charge clumsily across delicate moral and political fields, opponents of literary censorship, in particular, have frequently displayed excessive respect for censored material, mistakenly assuming that the censor can be relied upon to identify material that is disturbing, subversive, or true. Circles of Censorship focuses on key episodes in the history of literary censorship in France. It examines the Madame Bovary trial of 1857, and the prosecution a century later of Pauvert, publisher of Sade's complete works. It analyses and criticizes the Freudian-influenced attempts by the Surrealist movement and by Barthes and the Tel Quel group to subvert and evade censorship. Drawing on a wide range of disciplines and approaches including history, literary theory and feminism, Nicholas Harrison presents a provocative and timely critique of the ideas on censorship which resurfaced repeatedly in the discourse of human rights, psychoanalysis and literary culture.",en
1,1998,censorship_studies,Constitutive,Censorship and Silencing,Post Robert C.,7BRF7KDG,"In her book Excitable Speech, Judith Butler attempts to take on board Foucault’s idea of post-sovereign power and meld it with the ideas of performative speech acts and Derrida’s idea of citationality to create what she calls ‘a politics of the performative.’ Butler proposes that the combination of post-sovereignty and speech act theory affords, for perhaps the first time in history, the possibility that a previously dis-empowered speaker can resignify a previously injurious speech act.",en
193,1999,censorship_studies,Constitutive,Censorship and Silencing: Practices of Cultural Regulation,"Post, Robert C.",46IYXG2U,"Censorship was once a predictable topic, dividing liberals and conservatives down the middle on issues like obscenity and national security. Today, the debate over the regulation of speech offers no such easy dichotomy, with feminists joining forces with religious fundamentalists to control pornography, and abortion rights advocates seeking to restrict clinic demonstrations while prolife groups defend their freedom to picket. Underlying this trend is a fundamental intellectual shift--exemplified by the work of Michel Foucault--that holds that the state is not the only agent of censorship. The thirteen contributors here explore the topic of censorship from the viewpoint of numerous disciplines and viewpoints.",en
19,1999,history_book_history,Constitutive,A Censura em Portugal (1926-1974),J Barreto,NCG9SRVU,"Dispositivo repressivo crucial, de par com a polícia política, para a criação e manutenção do regime autoritário de Salazar, a instituição da censura espelha antes de tudo a longa …",pt
