Type,Category,n_items
GROUP,Content moderation,985
GROUP,Censorship,691
GROUP,Debate management,124
GROUP,Media moderation,54
GROUP,AI alignment,42
GROUP,Media regulation,15
GROUP,Algorithmic sorting,1
HOW,Filtering,1239
HOW,Removal,1159
HOW,Review,1100
HOW,Enframing,1010
HOW,Monitoring,760
HOW,Blocking,648
HOW,Profiling,629
HOW,Labeling,529
HOW,Deplatforming,505
HOW,Marginalisation,484
HOW,Modification,449
HOW,Restricting access,447
HOW,Self-censorship,439
HOW,Economic,386
HOW,Disclosure,314
HOW,Metamoderation,282
HOW,Removal from circulation,268
HOW,Correcting,251
HOW,Rating,241
HOW,Coersive,227
HOW,Licensing,202
HOW,Interiorisation,171
HOW,Prompting,158
HOW,Obfuscation,127
HOW,Redirection,126
HOW,Agenda setting,123
HOW,Intelligibility,111
HOW,Confiscation,106
HOW,Balancing,104
HOW,Coherence,90
HOW,Scheduling,71
HOW,Intermediate,70
HOW,Bridging,44
HOW,Inclusion,43
HOW,Fairness,36
HOW,Other,8
HOW,Restriction access,3
HOW,Debate management,2
HOW,Mediators,2
HOW,Restrictiong access,2
HOW,Transparency,2
HOW,Interoperability,2
HOW,Documenting,1
HOW,Flooding,1
HOW,Algorithmic moderation systems,1
HOW,Protection of children,1
HOW,Escalation,1
HOW,Debate moderators,1
HOW,Common carriage / neutral conduit,1
HOW,Moderation as industrial labour,1
HOW,Task delegation,1
HOW,Replacement,1
HOW,Transparencyreport.google.com सरकार-278? nope,1
HOW,Reporting,1
HOW,Political censorship,1
HOW,Transparency in moderation/reporting,1
HOW,Warning,1
WHAT,Content moderation,1173
WHAT,Censorship,1065
WHAT,Media moderation,273
WHAT,Debate management,271
WHAT,Other,129
WHAT,Media regulation,79
WHAT,AI alignment,42
WHAT,Algorithmic sorting,6
WHAT,Professional / industry self-governance,1
WHO,Platforms,1022
WHO,Government agencies,694
WHO,Algorithmic moderation systems,666
WHO,Users,591
WHO,Courts and prosecutors,367
WHO,Content moderators / BPO workforces,352
WHO,Legislators,303
WHO,"Schools, curricula, librarians, academia",264
WHO,Editors,245
WHO,Other,239
WHO,Regulators,210
WHO,Police / intelligence services,190
WHO,Civic advocacy & moral-pressure groups,178
WHO,Censorship boards or agencies,177
WHO,Platform oversight bodies,160
WHO,Journalists,150
WHO,Political groups,139
WHO,"Public-private partnerships (""free-speech triangle"")",136
WHO,Religious authorities,123
WHO,Fact-checkers and verification units,115
WHO,Debate moderators,90
WHO,Media owners,80
WHO,Private firms,77
WHO,Religious organisations,70
WHO,Advertisers,69
WHO,Self-censorship (analytical),66
WHO,Distributors & booksellers,66
WHO,Broadcasting regulators,61
WHO,Mediators,57
WHO,Translators / localisers,52
WHO,Cloud / infrastructure providers,50
WHO,Pre-platform moderators,45
WHO,Military censors,39
WHO,Online mobs / pile-ons,37
WHO,Public-health bodies (NGOs / WHO),37
WHO,App stores,26
WHO,AI labs as moderators,23
WHO,News agencies / wire services,16
WHO,RLHF annotators,15
WHO,Press councils & ombudsmen,15
WHO,Payment processors / financial infrastructure,9
WHO,ISPs,2
WHO,Publishers,1
WHO,Employers,1
WHO,Ethical investors / shareholders,1
WHO,Human rights bodies (NGOs / WHO),1
WHY,Compliance,712
WHY,Political control,706
WHY,Social cohesion,668
WHY,Misinformation or disinformation as harm,619
WHY,Brand safety,611
WHY,Harm principles and hate speech regulation,604
WHY,"Privacy, reputation & dignity",513
WHY,Protection of children,502
WHY,State security,450
WHY,Coherence,429
WHY,Professional / industry self-governance,425
WHY,Obscenity and decency,343
WHY,Ideological consolidation,282
WHY,Economic pressure,257
WHY,News values / editorial judgment,241
WHY,Religious moral authority,159
WHY,Harm reduction / public health,152
WHY,Democratic self-defence,112
WHY,Alignment with human values,91
WHY,Conflict transformation,83
WHY,Other,68
WHY,Consumer protection / fair competition,66
WHY,Wartime necessity,56
WHY,Clear and present danger,43
WHY,State secrets,31
WHY,Genocide prevention / dangerous speech,28
WHY,Fair trial / administration of justice,24
WHY,Fairness,14
WHY,Coersive,8
WHY,Inclusion,6
WHY,Freedom of speech or information,5
WHY,Public interest,3
WHY,Censorship,2
WHY,Moderating extremism,2
WHY,Freedom of expression,2
WHY,Obscenity and decença,1
WHY,Community norms and identity,1
WHY,Free expression,1
WHY,Intelligibility,1
WHY,Moderating extremism (rationale),1
WHY,Debate management,1
WHY,Transparency,1
