Topic,Country,Quantity
AI alignment,United States,15
AI alignment,China,11
AI alignment,European Union,7
AI alignment,Russia,3
AI alignment,Germany,3
AI alignment,Hong Kong,2
AI alignment,Taiwan,2
AI alignment,Iran,2
AI alignment,South Africa,2
AI alignment,Brazil,2
Censorship,United States,214
Censorship,France,192
Censorship,China,125
Censorship,Italy,116
Censorship,Spain,109
Censorship,United Kingdom,90
Censorship,Germany,80
Censorship,Russia,64
Censorship,Brazil,49
Censorship,Iran,44
Content moderation,United States,565
Content moderation,European Union,347
Content moderation,Brazil,311
Content moderation,Germany,175
Content moderation,France,141
Content moderation,United Kingdom,132
Content moderation,Italy,111
Content moderation,China,80
Content moderation,India,74
Content moderation,Australia,61
Debate management,Italy,2
Debate management,Spain,1
Other,United States,6
Other,China,3
Other,Canada,2
Other,Italy,2
Other,France,2
Other,US,1
Other,Netherlands,1
Other,Russia,1
Other,UK,1
Other,Burkina Faso,1
