Sub-topic,Media category,Quantity
Automated content moderation,Social media platform,20
Automated content moderation,AI,6
Automated content moderation,Video sharing platform,6
Automated content moderation,Messaging platform,3
Automated content moderation,News media,2
Automated content moderation,News aggregator,1
Automated content moderation,Russian social media platform,1
Automated content moderation,Wikis,1
Automated content moderation,Decentralized social media,1
Automated content moderation,Online fora,1
Censorship,Social media platform,149
Censorship,Video sharing platform,46
Censorship,Search engine,39
Censorship,Messaging platform,22
Censorship,AI,15
Censorship,Platforms,12
Censorship,Online fora,8
Censorship,ISP,6
Censorship,Print media,4
Censorship,News media,3
Compliance,Social media platform,4
Compliance,Video sharing platform,3
Compliance,Search engine,2
Compliance,ISP,1
Moderating extremism,Social media platform,21
Moderating extremism,Video sharing platform,19
Moderating extremism,Messaging platform,9
Moderating extremism,Alt-tech,6
Moderating extremism,Imageboard,5
Moderating extremism,Search engine,3
Moderating extremism,Platforms,3
Moderating extremism,Payment platform,2
Moderating extremism,AI,2
Moderating extremism,App store,1
Moderation as brand safety and the commercial viability of the platform,Social media platform,1
Moderation as brand safety and the commercial viability of the platform,Alt-tech,1
Moderation as brand safety and the commercial viability of the platform,Video sharing platform,1
Moderation as industrial labour,Social media platform,44
Moderation as industrial labour,Video sharing platform,19
Moderation as industrial labour,Search engine,10
Moderation as industrial labour,Platforms,5
Moderation as industrial labour,E-commerce,3
Moderation as industrial labour,Crowdsourcing platform,3
Moderation as industrial labour,Messaging platform,3
Moderation as industrial labour,Web,2
Moderation as industrial labour,AI,2
Moderation as industrial labour,Imageboard,2
Moderation as the cultivation of a democratic public sphere,Social media platform,143
Moderation as the cultivation of a democratic public sphere,Online fora,50
Moderation as the cultivation of a democratic public sphere,Video sharing platform,40
Moderation as the cultivation of a democratic public sphere,Print media,39
Moderation as the cultivation of a democratic public sphere,Messaging platform,23
Moderation as the cultivation of a democratic public sphere,News media,20
Moderation as the cultivation of a democratic public sphere,Search engine,20
Moderation as the cultivation of a democratic public sphere,Online learning platform,15
Moderation as the cultivation of a democratic public sphere,AI,14
Moderation as the cultivation of a democratic public sphere,Deliberation platform,11
Moderation as the enforcement of community norms and identity,Social media platform,77
Moderation as the enforcement of community norms and identity,Wikis,17
Moderation as the enforcement of community norms and identity,Online fora,13
Moderation as the enforcement of community norms and identity,Messaging platform,12
Moderation as the enforcement of community norms and identity,Video sharing platform,9
Moderation as the enforcement of community norms and identity,Decentralized social media,7
Moderation as the enforcement of community norms and identity,Online community,4
Moderation as the enforcement of community norms and identity,Imageboard,3
Moderation as the enforcement of community norms and identity,Video game,3
Moderation as the enforcement of community norms and identity,Portal,3
Other,Social media platform,16
Other,Messaging platform,4
Other,AI,3
Other,Video sharing platform,3
Other,Wikis,2
Other,Image,1
Other,Text,1
Other,Video,1
Other,ISP,1
Other,Search engine,1
Platform governance,Social media platform,328
Platform governance,Video sharing platform,158
Platform governance,Messaging platform,51
Platform governance,Search engine,48
Platform governance,AI,33
Platform governance,Wikis,22
Platform governance,Decentralized social media,18
Platform governance,Platforms,17
Platform governance,Alt-tech,17
Platform governance,ISP,11
Platform regulation,Social media platform,393
Platform regulation,Video sharing platform,177
Platform regulation,Search engine,136
Platform regulation,Messaging platform,79
Platform regulation,Platforms,59
Platform regulation,ISP,41
Platform regulation,AI,34
Platform regulation,E-commerce,25
Platform regulation,Wikis,21
Platform regulation,App store,14
