Topic,Media category,Quantity
AI alignment,AI,39
AI alignment,Social media platform,23
AI alignment,Search engine,5
AI alignment,E-commerce,4
AI alignment,Wikis,3
AI alignment,Video sharing platform,2
AI alignment,Imageboard,2
AI alignment,Platforms,2
AI alignment,Messaging platform,2
AI alignment,Gaming platform,1
Censorship,Print media,608
Censorship,Film,196
Censorship,Social media platform,155
Censorship,Television,135
Censorship,Radio,105
Censorship,Performing arts,104
Censorship,ISP,75
Censorship,Internet (general),55
Censorship,Search engine,54
Censorship,Video sharing platform,52
Content moderation,Social media platform,1196
Content moderation,Video sharing platform,481
Content moderation,Search engine,261
Content moderation,Messaging platform,206
Content moderation,AI,112
Content moderation,Platforms,98
Content moderation,Online fora,87
Content moderation,Wikis,75
Content moderation,Print media,67
Content moderation,ISP,61
Debate management,Social media platform,3
Other,Social media platform,9
Other,Video sharing platform,4
Other,Print media,3
Other,Messaging platform,2
Other,Search engine,2
Other,Platforms,2
Other,App store,2
Other,Review platform,1
Other,Internet (general),1
Other,Portal,1
