Kind,Topic,Keyword,Count
exclusive,Content moderation,volunteer moderators,48
exclusive,Content moderation,misinformation,25
exclusive,Content moderation,oversight board,22
exclusive,Content moderation,community guidelines,22
exclusive,Content moderation,bots,19
exclusive,Content moderation,section 230,15
exclusive,Content moderation,community-driven moderation,15
exclusive,Content moderation,platform,15
exclusive,Content moderation,inteligência artificial,13
exclusive,Content moderation,shielding a platform from legal liability,13
exclusive,Censorship,censors,18
exclusive,Censorship,constitutive,16
exclusive,Censorship,institutional,16
exclusive,Censorship,deep packet inspection,14
exclusive,Censorship,middleboxes,13
exclusive,Censorship,translators,12
exclusive,Censorship,translation,10
exclusive,Censorship,bons costumes,10
exclusive,Censorship,libraries,9
exclusive,Censorship,individuals,9
exclusive,Debate management,e-moderador,5
exclusive,Debate management,manager,4
exclusive,Debate management,intermédiaire,3
exclusive,Debate management,formateur,3
exclusive,Debate management,pace setter,3
exclusive,Debate management,débat,3
exclusive,Debate management,organizer,3
exclusive,Debate management,explainer,3
exclusive,Debate management,reconciliar opuestos,3
exclusive,Debate management,discriminator,2
exclusive,Media moderation,contrôle éditorial,2
exclusive,Media moderation,metamoderação,2
exclusive,Media moderation,responsabilité légale,2
exclusive,Media moderation,postmodération,1
exclusive,Media moderation,framing,1
exclusive,Media moderation,pré-modération,1
exclusive,Media moderation,rentabilité,1
exclusive,Media moderation,moderador das redes sociais,1
exclusive,Media moderation,representative democracy,1
exclusive,Media moderation,improve journalistic work,1
exclusive,Media regulation,ratings system,2
exclusive,Media regulation,organismos policiais,1
exclusive,Media regulation,radios,1
exclusive,Media regulation,responsabilização das empresas,1
exclusive,Media regulation,advice,1
exclusive,Media regulation,proporcionalidad,1
exclusive,Media regulation,marginalized groups,1
exclusive,Media regulation,guiding,1
exclusive,Media regulation,junta electoral regional,1
exclusive,Media regulation,good taste,1
exclusive,AI alignment,ccp,4
exclusive,AI alignment,toxicity detection,2
exclusive,AI alignment,prompt engineering,2
exclusive,AI alignment,censored content,2
exclusive,AI alignment,ai-based systems,2
exclusive,AI alignment,compliance with the state,2
exclusive,AI alignment,judicial control,2
exclusive,AI alignment,censorship rules,2
exclusive,AI alignment,developers,2
exclusive,AI alignment,scraping,2
pair,Content moderation + Censorship,social media platforms,36
pair,Content moderation + Censorship,government agencies,32
pair,Content moderation + Censorship,liability,29
pair,Content moderation + Censorship,downranking,28
pair,Content moderation + Censorship,censura privada,28
pair,Content moderation + Censorship,adjudication,28
pair,Content moderation + Censorship,shadowbanning,27
pair,Content moderation + Censorship,moral,26
pair,Content moderation + Debate management,distributed moderation,34
pair,Content moderation + Debate management,volunteer moderation,21
pair,Content moderation + Debate management,moderador,14
pair,Content moderation + Debate management,tutor,11
pair,Content moderation + Debate management,moderator,10
pair,Content moderation + Debate management,host,7
pair,Content moderation + Debate management,public sphere,6
pair,Content moderation + Debate management,ngos,6
